Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
4.0	2017-11-17	call	AMD171117C00004000	8.2	7.2	7.3	0.0	0.0	11.0	11.0	7.54687556640625	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-07 16:21:11	{'impliedVolatility': 7.54687556640625, 'contractSymbol': 'AMD171117C00004000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 7.3, 'change': 0.0, 'bid': 7.2, 'currency': 'USD', 'strike': 4.0, 'openInterest': 11, 'volume': 11, 'inTheMoney': True, 'lastPrice': 8.2, 'lastTradeDate': 1510071671, 'percentChange': 0.0}
5.0	2017-11-17	call	AMD171117C00005000	5.95	6.05	6.15	0.0	0.0	53.0	85.0	4.562504296875	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-10-31 13:38:36	{'impliedVolatility': 4.562504296875, 'contractSymbol': 'AMD171117C00005000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 6.15, 'change': 0.0, 'bid': 6.05, 'currency': 'USD', 'strike': 5.0, 'openInterest': 85, 'volume': 53, 'inTheMoney': True, 'lastPrice': 5.95, 'lastTradeDate': 1509457116, 'percentChange': 0.0}
6.0	2017-11-17	call	AMD171117C00006000	5.14	5.2	5.3	0.0	0.0	5.0	13.0	4.8593789257812485	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-09 14:52:04	{'impliedVolatility': 4.8593789257812485, 'contractSymbol': 'AMD171117C00006000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 5.3, 'change': 0.0, 'bid': 5.2, 'currency': 'USD', 'strike': 6.0, 'openInterest': 13, 'volume': 5, 'inTheMoney': True, 'lastPrice': 5.14, 'lastTradeDate': 1510239124, 'percentChange': 0.0}
7.0	2017-11-17	call	AMD171117C00007000	4.0	3.85	3.95	-0.4000001	-9.090911	6.0	264.0	1.0000000000000003e-05	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-10-30 16:00:01	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'AMD171117C00007000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 3.95, 'change': -0.4000001, 'bid': 3.85, 'currency': 'USD', 'strike': 7.0, 'openInterest': 264, 'volume': 6, 'inTheMoney': True, 'lastPrice': 4.0, 'lastTradeDate': 1509379201, 'percentChange': -9.090911}
7.5	2017-11-17	call	AMD171117C00007500	3.6	3.55	3.65	0.099999905	2.85714	2.0	10.0	2.43750390625	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-03 19:46:18	{'impliedVolatility': 2.43750390625, 'contractSymbol': 'AMD171117C00007500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 3.65, 'change': 0.099999905, 'bid': 3.55, 'currency': 'USD', 'strike': 7.5, 'openInterest': 10, 'volume': 2, 'inTheMoney': True, 'lastPrice': 3.6, 'lastTradeDate': 1509738378, 'percentChange': 2.85714}
8.0	2017-11-17	call	AMD171117C00008000	3.0	3.1	3.15	-1.1500001	-27.710846	48.0	248.0	1.5625021874999998	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 19:11:31	{'impliedVolatility': 1.5625021874999998, 'contractSymbol': 'AMD171117C00008000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 3.15, 'change': -1.1500001, 'bid': 3.1, 'currency': 'USD', 'strike': 8.0, 'openInterest': 248, 'volume': 48, 'inTheMoney': True, 'lastPrice': 3.0, 'lastTradeDate': 1510686691, 'percentChange': -27.710846}
8.5	2017-11-17	call	AMD171117C00008500	2.5	2.58	2.63	0.0	0.0	66.0	241.0	1.4375028125	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-13 17:15:03	{'impliedVolatility': 1.4375028125, 'contractSymbol': 'AMD171117C00008500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 2.63, 'change': 0.0, 'bid': 2.58, 'currency': 'USD', 'strike': 8.5, 'openInterest': 241, 'volume': 66, 'inTheMoney': True, 'lastPrice': 2.5, 'lastTradeDate': 1510593303, 'percentChange': 0.0}
9.0	2017-11-17	call	AMD171117C00009000	2.11	2.09	2.14	0.059999943	2.9268265	20.0	375.0	1.3437532812499997	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 16:07:17	{'impliedVolatility': 1.3437532812499997, 'contractSymbol': 'AMD171117C00009000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 2.14, 'change': 0.059999943, 'bid': 2.09, 'currency': 'USD', 'strike': 9.0, 'openInterest': 375, 'volume': 20, 'inTheMoney': True, 'lastPrice': 2.11, 'lastTradeDate': 1510675637, 'percentChange': 2.9268265}
9.5	2017-11-17	call	AMD171117C00009500	1.6	1.61	1.64	0.0	0.0	11.0	455.0	0.8125018749999999	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 16:07:17	{'impliedVolatility': 0.8125018749999999, 'contractSymbol': 'AMD171117C00009500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 1.64, 'change': 0.0, 'bid': 1.61, 'currency': 'USD', 'strike': 9.5, 'openInterest': 455, 'volume': 11, 'inTheMoney': True, 'lastPrice': 1.6, 'lastTradeDate': 1510675637, 'percentChange': 0.0}
10.0	2017-11-17	call	AMD171117C00010000	1.1	1.11	1.14	0.00999999	0.91743034	327.0	2458.0	0.5937540625000001	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 20:44:09	{'impliedVolatility': 0.5937540625000001, 'contractSymbol': 'AMD171117C00010000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 1.14, 'change': 0.00999999, 'bid': 1.11, 'currency': 'USD', 'strike': 10.0, 'openInterest': 2458, 'volume': 327, 'inTheMoney': True, 'lastPrice': 1.1, 'lastTradeDate': 1510692249, 'percentChange': 0.91743034}
