Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
50.0	2017-12-22	call	QCOM171222C00050000	14.65	12.6	16.85	0.0	0.0	1.0	7.0	0.7460962890625	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-11 04:46:18	{'impliedVolatility': 0.7460962890625, 'contractSymbol': 'QCOM171222C00050000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 16.85, 'change': 0.0, 'bid': 12.6, 'currency': 'USD', 'strike': 50.0, 'openInterest': 7, 'volume': 1, 'inTheMoney': True, 'lastPrice': 14.65, 'lastTradeDate': 1510375578, 'percentChange': 0.0}
53.0	2017-12-22	call	QCOM171222C00053000	9.2	6.95	11.0	0.0	0.0	3.0	2.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-04 03:48:55	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00053000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 11.0, 'change': 0.0, 'bid': 6.95, 'currency': 'USD', 'strike': 53.0, 'openInterest': 2, 'volume': 3, 'inTheMoney': True, 'lastPrice': 9.2, 'lastTradeDate': 1509767335, 'percentChange': 0.0}
54.0	2017-12-22	call	QCOM171222C00054000	2.21	7.0	10.1	0.0	0.0	14.0	1.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-04 03:48:55	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00054000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 10.1, 'change': 0.0, 'bid': 7.0, 'currency': 'USD', 'strike': 54.0, 'openInterest': 1, 'volume': 14, 'inTheMoney': True, 'lastPrice': 2.21, 'lastTradeDate': 1509767335, 'percentChange': 0.0}
55.0	2017-12-22	call	QCOM171222C00055000	9.0	8.0	10.7	0.0	0.0	3.0	19.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-07 16:22:06	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00055000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 10.7, 'change': 0.0, 'bid': 8.0, 'currency': 'USD', 'strike': 55.0, 'openInterest': 19, 'volume': 3, 'inTheMoney': True, 'lastPrice': 9.0, 'lastTradeDate': 1510071726, 'percentChange': 0.0}
56.0	2017-12-22	call	QCOM171222C00056000	8.59	7.65	9.75	0.0	0.0	1.0	29.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-09 19:43:17	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00056000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 9.75, 'change': 0.0, 'bid': 7.65, 'currency': 'USD', 'strike': 56.0, 'openInterest': 29, 'volume': 1, 'inTheMoney': True, 'lastPrice': 8.59, 'lastTradeDate': 1510256597, 'percentChange': 0.0}
57.0	2017-12-22	call	QCOM171222C00057000	9.1	7.6	10.75	0.0	0.0	5.0	44.0	0.6359899682617188	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-13 16:06:37	{'impliedVolatility': 0.6359899682617188, 'contractSymbol': 'QCOM171222C00057000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 10.75, 'change': 0.0, 'bid': 7.6, 'currency': 'USD', 'strike': 57.0, 'openInterest': 44, 'volume': 5, 'inTheMoney': True, 'lastPrice': 9.1, 'lastTradeDate': 1510589197, 'percentChange': 0.0}
58.0	2017-12-22	call	QCOM171222C00058000	0.65	3.25	7.4	0.0	0.0	6.0	0.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-04 03:48:55	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00058000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 7.4, 'change': 0.0, 'bid': 3.25, 'currency': 'USD', 'strike': 58.0, 'openInterest': 0, 'volume': 6, 'inTheMoney': True, 'lastPrice': 0.65, 'lastTradeDate': 1509767335, 'percentChange': 0.0}
59.0	2017-12-22	call	QCOM171222C00059000	5.06	5.45	6.55	0.0	0.0	10.0	23.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-06 19:14:52	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00059000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 6.55, 'change': 0.0, 'bid': 5.45, 'currency': 'USD', 'strike': 59.0, 'openInterest': 23, 'volume': 10, 'inTheMoney': True, 'lastPrice': 5.06, 'lastTradeDate': 1509995692, 'percentChange': 0.0}
60.0	2017-12-22	call	QCOM171222C00060000	4.95	4.9	5.5	0.0	0.0	10.0	20.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-11 04:46:18	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00060000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 5.5, 'change': 0.0, 'bid': 4.9, 'currency': 'USD', 'strike': 60.0, 'openInterest': 20, 'volume': 10, 'inTheMoney': True, 'lastPrice': 4.95, 'lastTradeDate': 1510375578, 'percentChange': 0.0}
61.0	2017-12-22	call	QCOM171222C00061000	5.0	4.15	4.85	0.0	0.0	5.0	11.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-11 04:46:18	{'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QCOM171222C00061000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 4.85, 'change': 0.0, 'bid': 4.15, 'currency': 'USD', 'strike': 61.0, 'openInterest': 11, 'volume': 5, 'inTheMoney': True, 'lastPrice': 5.0, 'lastTradeDate': 1510375578, 'percentChange': 0.0}
