Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
7.5	2017-11-17	call	QIWI171117C00007500	9.37	9.1	10.0	0.0	0.0	1.0	0.0	5.7812527734375	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-09-25 16:10:25	{'impliedVolatility': 5.7812527734375, 'contractSymbol': 'QIWI171117C00007500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 10.0, 'change': 0.0, 'bid': 9.1, 'currency': 'USD', 'strike': 7.5, 'openInterest': 0, 'volume': 1, 'inTheMoney': True, 'lastPrice': 9.37, 'lastTradeDate': 1506355825, 'percentChange': 0.0}
10.0	2017-11-17	call	QIWI171117C00010000	6.7	6.5	7.2	0.0	0.0	6.0	106.0	4.757816552734374	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-02 18:57:43	{'impliedVolatility': 4.757816552734374, 'contractSymbol': 'QIWI171117C00010000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 7.2, 'change': 0.0, 'bid': 6.5, 'currency': 'USD', 'strike': 10.0, 'openInterest': 106, 'volume': 6, 'inTheMoney': True, 'lastPrice': 6.7, 'lastTradeDate': 1509649063, 'percentChange': 0.0}
12.5	2017-11-17	call	QIWI171117C00012500	4.6	4.1	4.9	0.0	0.0	4.0	6.0	2.2968792578125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-10 15:13:38	{'impliedVolatility': 2.2968792578125, 'contractSymbol': 'QIWI171117C00012500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 4.9, 'change': 0.0, 'bid': 4.1, 'currency': 'USD', 'strike': 12.5, 'openInterest': 6, 'volume': 4, 'inTheMoney': True, 'lastPrice': 4.6, 'lastTradeDate': 1507648418, 'percentChange': 0.0}
15.0	2017-11-17	call	QIWI171117C00015000	1.9	1.7	1.95	0.0	0.0	1.0	50.0	0.937500625	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-06 16:34:33	{'impliedVolatility': 0.937500625, 'contractSymbol': 'QIWI171117C00015000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 1.95, 'change': 0.0, 'bid': 1.7, 'currency': 'USD', 'strike': 15.0, 'openInterest': 50, 'volume': 1, 'inTheMoney': True, 'lastPrice': 1.9, 'lastTradeDate': 1509986073, 'percentChange': 0.0}
17.5	2017-11-17	call	QIWI171117C00017500	0.35	0.3	0.4	0.14999999	74.99999	167.0	850.0	0.9687503125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-14 20:35:43	{'impliedVolatility': 0.9687503125, 'contractSymbol': 'QIWI171117C00017500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.4, 'change': 0.14999999, 'bid': 0.3, 'currency': 'USD', 'strike': 17.5, 'openInterest': 850, 'volume': 167, 'inTheMoney': False, 'lastPrice': 0.35, 'lastTradeDate': 1510691743, 'percentChange': 74.99999}
20.0	2017-11-17	call	QIWI171117C00020000	0.04	0.0	0.1	0.0	0.0	21.0	468.0	1.1875040625	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-07 17:08:39	{'impliedVolatility': 1.1875040625, 'contractSymbol': 'QIWI171117C00020000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.1, 'change': 0.0, 'bid': 0.0, 'currency': 'USD', 'strike': 20.0, 'openInterest': 468, 'volume': 21, 'inTheMoney': False, 'lastPrice': 0.04, 'lastTradeDate': 1510074519, 'percentChange': 0.0}
22.5	2017-11-17	call	QIWI171117C00022500	0.15	0.0	0.3	0.0	0.0	1.0	138.0	2.2734418164062498	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-10 16:59:07	{'impliedVolatility': 2.2734418164062498, 'contractSymbol': 'QIWI171117C00022500', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.3, 'change': 0.0, 'bid': 0.0, 'currency': 'USD', 'strike': 22.5, 'openInterest': 138, 'volume': 1, 'inTheMoney': False, 'lastPrice': 0.15, 'lastTradeDate': 1507654747, 'percentChange': 0.0}
25.0	2017-11-17	call	QIWI171117C00025000	0.06	0.0	0.1	0.0	0.0	28.0	172.0	2.2968792578125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-19 13:47:51	{'impliedVolatility': 2.2968792578125, 'contractSymbol': 'QIWI171117C00025000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.1, 'change': 0.0, 'bid': 0.0, 'currency': 'USD', 'strike': 25.0, 'openInterest': 172, 'volume': 28, 'inTheMoney': False, 'lastPrice': 0.06, 'lastTradeDate': 1508420871, 'percentChange': 0.0}
30.0	2017-11-17	call	QIWI171117C00030000	0.1	0.05	0.15	0.0	0.0	1.0	738.0	3.50781373046875	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-08-17 16:16:09	{'impliedVolatility': 3.50781373046875, 'contractSymbol': 'QIWI171117C00030000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.15, 'change': 0.0, 'bid': 0.05, 'currency': 'USD', 'strike': 30.0, 'openInterest': 738, 'volume': 1, 'inTheMoney': False, 'lastPrice': 0.1, 'lastTradeDate': 1502986569, 'percentChange': 0.0}
35.0	2017-11-17	call	QIWI171117C00035000	1.0	0.0	0.45	0.0	0.0	15.0	15.0	4.898441376953125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-07-01 03:56:01	{'impliedVolatility': 4.898441376953125, 'contractSymbol': 'QIWI171117C00035000', 'contractSize': 'REGULAR', 'expiration': 1510876800, 'ask': 0.45, 'change': 0.0, 'bid': 0.0, 'currency': 'USD', 'strike': 35.0, 'openInterest': 15, 'volume': 15, 'inTheMoney': False, 'lastPrice': 1.0, 'lastTradeDate': 1498881361, 'percentChange': 0.0}
