Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
10.0	2017-12-22	call	SNAP171222C00010000	2.52	2.72	2.95	0.0	0.0	10.0	12.0	0.7656273437500001	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-11 04:56:46	{'impliedVolatility': 0.7656273437500001, 'contractSymbol': 'SNAP171222C00010000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 2.95, 'change': 0.0, 'bid': 2.72, 'currency': 'USD', 'strike': 10.0, 'openInterest': 12, 'volume': 10, 'inTheMoney': True, 'lastPrice': 2.52, 'lastTradeDate': 1510376206, 'percentChange': 0.0}
10.5	2017-12-22	call	SNAP171222C00010500	2.1	2.28	2.55	0.0	0.0	4.0	2.0	0.7304714453125	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-11 04:56:46	{'impliedVolatility': 0.7304714453125, 'contractSymbol': 'SNAP171222C00010500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 2.55, 'change': 0.0, 'bid': 2.28, 'currency': 'USD', 'strike': 10.5, 'openInterest': 2, 'volume': 4, 'inTheMoney': True, 'lastPrice': 2.1, 'lastTradeDate': 1510376206, 'percentChange': 0.0}
11.0	2017-12-22	call	SNAP171222C00011000	1.7	1.86	2.14	0.0	0.0	15.0	15.0	0.6816438085937502	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-11 04:56:46	{'impliedVolatility': 0.6816438085937502, 'contractSymbol': 'SNAP171222C00011000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 2.14, 'change': 0.0, 'bid': 1.86, 'currency': 'USD', 'strike': 11.0, 'openInterest': 15, 'volume': 15, 'inTheMoney': True, 'lastPrice': 1.7, 'lastTradeDate': 1510376206, 'percentChange': 0.0}
11.5	2017-12-22	call	SNAP171222C00011500	1.4	1.61	1.73	0.0	0.0	2.0	2.0	0.6796907031250001	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-11 04:56:46	{'impliedVolatility': 0.6796907031250001, 'contractSymbol': 'SNAP171222C00011500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.73, 'change': 0.0, 'bid': 1.61, 'currency': 'USD', 'strike': 11.5, 'openInterest': 2, 'volume': 2, 'inTheMoney': True, 'lastPrice': 1.4, 'lastTradeDate': 1510376206, 'percentChange': 0.0}
12.0	2017-12-22	call	SNAP171222C00012000	1.06	1.07	1.16	-0.08000004	-7.0175476	21.0	22.0	0.5048877636718749	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 14:30:01	{'impliedVolatility': 0.5048877636718749, 'contractSymbol': 'SNAP171222C00012000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.16, 'change': -0.08000004, 'bid': 1.07, 'currency': 'USD', 'strike': 12.0, 'openInterest': 22, 'volume': 21, 'inTheMoney': True, 'lastPrice': 1.06, 'lastTradeDate': 1510669801, 'percentChange': -7.0175476}
12.5	2017-12-22	call	SNAP171222C00012500	0.91	0.78	0.87	0.100000024	12.345682	5.0	147.0	0.51758294921875	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 16:04:53	{'impliedVolatility': 0.51758294921875, 'contractSymbol': 'SNAP171222C00012500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.87, 'change': 0.100000024, 'bid': 0.78, 'currency': 'USD', 'strike': 12.5, 'openInterest': 147, 'volume': 5, 'inTheMoney': True, 'lastPrice': 0.91, 'lastTradeDate': 1510675493, 'percentChange': 12.345682}
13.0	2017-12-22	call	SNAP171222C00013000	0.63	0.6	0.66	0.01999998	3.2786853	4.0	335.0	0.5029346582031251	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 20:53:29	{'impliedVolatility': 0.5029346582031251, 'contractSymbol': 'SNAP171222C00013000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.66, 'change': 0.01999998, 'bid': 0.6, 'currency': 'USD', 'strike': 13.0, 'openInterest': 335, 'volume': 4, 'inTheMoney': False, 'lastPrice': 0.63, 'lastTradeDate': 1510692809, 'percentChange': 3.2786853}
13.5	2017-12-22	call	SNAP171222C00013500	0.53	0.45	0.49	-0.02000004	-3.636371	10.0	100.0	0.5107470800781251	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 15:53:04	{'impliedVolatility': 0.5107470800781251, 'contractSymbol': 'SNAP171222C00013500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.49, 'change': -0.02000004, 'bid': 0.45, 'currency': 'USD', 'strike': 13.5, 'openInterest': 100, 'volume': 10, 'inTheMoney': False, 'lastPrice': 0.53, 'lastTradeDate': 1510674784, 'percentChange': -3.636371}
14.0	2017-12-22	call	SNAP171222C00014000	0.39	0.33	0.37	0.059999973	18.18181	1.0	109.0	0.5195360546875	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 16:06:57	{'impliedVolatility': 0.5195360546875, 'contractSymbol': 'SNAP171222C00014000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.37, 'change': 0.059999973, 'bid': 0.33, 'currency': 'USD', 'strike': 14.0, 'openInterest': 109, 'volume': 1, 'inTheMoney': False, 'lastPrice': 0.39, 'lastTradeDate': 1510675617, 'percentChange': 18.18181}
14.5	2017-12-22	call	SNAP171222C00014500	0.26	0.24	0.28	-0.01000002	-3.7037113	6.0	64.0	0.5293015820312501	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 17:43:53	{'impliedVolatility': 0.5293015820312501, 'contractSymbol': 'SNAP171222C00014500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.28, 'change': -0.01000002, 'bid': 0.24, 'currency': 'USD', 'strike': 14.5, 'openInterest': 64, 'volume': 6, 'inTheMoney': False, 'lastPrice': 0.26, 'lastTradeDate': 1510681433, 'percentChange': -3.7037113}
15.0	2017-12-22	call	SNAP171222C00015000	0.2	0.18	0.21	0.019999996	11.111108	5.0	163.0	0.5410202148437502	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-14 20:34:11	{'impliedVolatility': 0.5410202148437502, 'contractSymbol': 'SNAP171222C00015000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.21, 'change': 0.019999996, 'bid': 0.18, 'currency': 'USD', 'strike': 15.0, 'openInterest': 163, 'volume': 5, 'inTheMoney': False, 'lastPrice': 0.2, 'lastTradeDate': 1510691651, 'percentChange': 11.111108}
15.5	2017-12-22	call	SNAP171222C00015500	0.17	0.13	0.16	0.0	0.0	2.0	18.0	0.5507857421875001	SNAP	False	SNAP	12.57	2017-11-14 21:00:42	2017-11-13 16:16:47	{'impliedVolatility': 0.5507857421875001, 'contractSymbol': 'SNAP171222C00015500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.16, 'change': 0.0, 'bid': 0.13, 'currency': 'USD', 'strike': 15.5, 'openInterest': 18, 'volume': 2, 'inTheMoney': False, 'lastPrice': 0.17, 'lastTradeDate': 1510589807, 'percentChange': 0.0}
