Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
250.0	2017-12-22	call	TSLA171222C00250000	60.0	58.25	62.2	6.8499985	12.88805	1.0	1.0	0.5866740551757812	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-14 17:51:34	{'impliedVolatility': 0.5866740551757812, 'contractSymbol': 'TSLA171222C00250000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 62.2, 'change': 6.8499985, 'bid': 58.25, 'currency': 'USD', 'strike': 250.0, 'openInterest': 1, 'volume': 1, 'inTheMoney': True, 'lastPrice': 60.0, 'lastTradeDate': 1510681894, 'percentChange': 12.88805}
260.0	2017-12-22	call	TSLA171222C00260000	51.13	49.15	52.95	0.0	0.0	1.0	0.0	0.5413253875732424	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-15 04:16:58	{'impliedVolatility': 0.5413253875732424, 'contractSymbol': 'TSLA171222C00260000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 52.95, 'change': 0.0, 'bid': 49.15, 'currency': 'USD', 'strike': 260.0, 'openInterest': 0, 'volume': 1, 'inTheMoney': True, 'lastPrice': 51.13, 'lastTradeDate': 1510719418, 'percentChange': 0.0}
270.0	2017-12-22	call	TSLA171222C00270000	41.0	40.7	42.7	0.0	0.0	125.0	125.0	0.4485528778076171	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-13 15:02:58	{'impliedVolatility': 0.4485528778076171, 'contractSymbol': 'TSLA171222C00270000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 42.7, 'change': 0.0, 'bid': 40.7, 'currency': 'USD', 'strike': 270.0, 'openInterest': 125, 'volume': 125, 'inTheMoney': True, 'lastPrice': 41.0, 'lastTradeDate': 1510585378, 'percentChange': 0.0}
282.5	2017-12-22	call	TSLA171222C00282500	25.8	30.8	32.2	0.0	0.0	1.0	1.0	0.4145566357421875	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-13 14:34:35	{'impliedVolatility': 0.4145566357421875, 'contractSymbol': 'TSLA171222C00282500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 32.2, 'change': 0.0, 'bid': 30.8, 'currency': 'USD', 'strike': 282.5, 'openInterest': 1, 'volume': 1, 'inTheMoney': True, 'lastPrice': 25.8, 'lastTradeDate': 1510583675, 'percentChange': 0.0}
287.5	2017-12-22	call	TSLA171222C00287500	26.1	23.5	24.55	0.0	0.0	4.0	2.0	0.2815013256835937	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-11 04:45:31	{'impliedVolatility': 0.2815013256835937, 'contractSymbol': 'TSLA171222C00287500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 24.55, 'change': 0.0, 'bid': 23.5, 'currency': 'USD', 'strike': 287.5, 'openInterest': 2, 'volume': 4, 'inTheMoney': True, 'lastPrice': 26.1, 'lastTradeDate': 1510375531, 'percentChange': 0.0}
290.0	2017-12-22	call	TSLA171222C00290000	24.65	21.95	22.9	0.0	0.0	37.0	200.0	0.2892527130126953	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-11 04:45:31	{'impliedVolatility': 0.2892527130126953, 'contractSymbol': 'TSLA171222C00290000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 22.9, 'change': 0.0, 'bid': 21.95, 'currency': 'USD', 'strike': 290.0, 'openInterest': 200, 'volume': 37, 'inTheMoney': True, 'lastPrice': 24.65, 'lastTradeDate': 1510375531, 'percentChange': 0.0}
292.5	2017-12-22	call	TSLA171222C00292500	29.25	23.45	25.0	0.0	0.0	2.0	1.0	0.4029295547485352	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-15 04:16:59	{'impliedVolatility': 0.4029295547485352, 'contractSymbol': 'TSLA171222C00292500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 25.0, 'change': 0.0, 'bid': 23.45, 'currency': 'USD', 'strike': 292.5, 'openInterest': 1, 'volume': 2, 'inTheMoney': True, 'lastPrice': 29.25, 'lastTradeDate': 1510719419, 'percentChange': 0.0}
295.0	2017-12-22	call	TSLA171222C00295000	22.9	21.95	23.3	3.42	17.556469	1.0	3.0	0.3991148956298829	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-14 18:41:37	{'impliedVolatility': 0.3991148956298829, 'contractSymbol': 'TSLA171222C00295000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 23.3, 'change': 3.42, 'bid': 21.95, 'currency': 'USD', 'strike': 295.0, 'openInterest': 3, 'volume': 1, 'inTheMoney': True, 'lastPrice': 22.9, 'lastTradeDate': 1510684897, 'percentChange': 17.556469}
297.5	2017-12-22	call	TSLA171222C00297500	16.8	17.55	18.2	0.0	0.0	20.0	4.0	0.30155117401123044	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-09 15:00:20	{'impliedVolatility': 0.30155117401123044, 'contractSymbol': 'TSLA171222C00297500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 18.2, 'change': 0.0, 'bid': 17.55, 'currency': 'USD', 'strike': 297.5, 'openInterest': 4, 'volume': 20, 'inTheMoney': True, 'lastPrice': 16.8, 'lastTradeDate': 1510239620, 'percentChange': 0.0}
300.0	2017-12-22	call	TSLA171222C00300000	19.0	18.7	20.1	-4.6000004	-19.491526	3.0	75.0	0.39227902648925783	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-14 17:56:15	{'impliedVolatility': 0.39227902648925783, 'contractSymbol': 'TSLA171222C00300000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 20.1, 'change': -4.6000004, 'bid': 18.7, 'currency': 'USD', 'strike': 300.0, 'openInterest': 75, 'volume': 3, 'inTheMoney': True, 'lastPrice': 19.0, 'lastTradeDate': 1510682175, 'percentChange': -19.491526}
