Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
15.0	2017-12-22	call	TWTR171222C00015000	5.15	5.2	5.5	0.0	0.0	300.0	0.0	0.80664255859375	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-11 04:53:33	{'impliedVolatility': 0.80664255859375, 'contractSymbol': 'TWTR171222C00015000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 5.5, 'change': 0.0, 'bid': 5.2, 'currency': 'USD', 'strike': 15.0, 'openInterest': 0, 'volume': 300, 'inTheMoney': True, 'lastPrice': 5.15, 'lastTradeDate': 1510376013, 'percentChange': 0.0}
17.0	2017-12-22	call	TWTR171222C00017000	3.13	3.45	3.6	0.0	0.0	3.0	2.0	0.65039412109375	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-11 04:53:33	{'impliedVolatility': 0.65039412109375, 'contractSymbol': 'TWTR171222C00017000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 3.6, 'change': 0.0, 'bid': 3.45, 'currency': 'USD', 'strike': 17.0, 'openInterest': 2, 'volume': 3, 'inTheMoney': True, 'lastPrice': 3.13, 'lastTradeDate': 1510376013, 'percentChange': 0.0}
17.5	2017-12-22	call	TWTR171222C00017500	3.12	3.05	3.15	0.0	0.0	3.0	0.0	0.6191444335937502	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-11 04:53:33	{'impliedVolatility': 0.6191444335937502, 'contractSymbol': 'TWTR171222C00017500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 3.15, 'change': 0.0, 'bid': 3.05, 'currency': 'USD', 'strike': 17.5, 'openInterest': 0, 'volume': 3, 'inTheMoney': True, 'lastPrice': 3.12, 'lastTradeDate': 1510376013, 'percentChange': 0.0}
18.0	2017-12-22	call	TWTR171222C00018000	2.23	2.61	2.69	0.0	0.0	10.0	63.0	0.569340244140625	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-09 16:56:49	{'impliedVolatility': 0.569340244140625, 'contractSymbol': 'TWTR171222C00018000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 2.69, 'change': 0.0, 'bid': 2.61, 'currency': 'USD', 'strike': 18.0, 'openInterest': 63, 'volume': 10, 'inTheMoney': True, 'lastPrice': 2.23, 'lastTradeDate': 1510246609, 'percentChange': 0.0}
18.5	2017-12-22	call	TWTR171222C00018500	2.06	1.93	1.97	0.0	0.0	5.0	27.0	0.40820904296875	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-13 19:38:24	{'impliedVolatility': 0.40820904296875, 'contractSymbol': 'TWTR171222C00018500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.97, 'change': 0.0, 'bid': 1.93, 'currency': 'USD', 'strike': 18.5, 'openInterest': 27, 'volume': 5, 'inTheMoney': True, 'lastPrice': 2.06, 'lastTradeDate': 1510601904, 'percentChange': 0.0}
19.0	2017-12-22	call	TWTR171222C00019000	1.58	1.56	1.61	0.0	0.0	57.0	74.0	0.397466962890625	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-13 17:22:38	{'impliedVolatility': 0.397466962890625, 'contractSymbol': 'TWTR171222C00019000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.61, 'change': 0.0, 'bid': 1.56, 'currency': 'USD', 'strike': 19.0, 'openInterest': 74, 'volume': 57, 'inTheMoney': True, 'lastPrice': 1.58, 'lastTradeDate': 1510593758, 'percentChange': 0.0}
19.5	2017-12-22	call	TWTR171222C00019500	1.34	1.26	1.3	0.00999999	0.751879	8.0	154.0	0.393560751953125	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-14 16:21:22	{'impliedVolatility': 0.393560751953125, 'contractSymbol': 'TWTR171222C00019500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.3, 'change': 0.00999999, 'bid': 1.26, 'currency': 'USD', 'strike': 19.5, 'openInterest': 154, 'volume': 8, 'inTheMoney': True, 'lastPrice': 1.34, 'lastTradeDate': 1510676482, 'percentChange': 0.751879}
20.0	2017-12-22	call	TWTR171222C00020000	1.0	0.99	1.03	-0.01999998	-1.9607825	470.0	193.0	0.389654541015625	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-14 20:31:04	{'impliedVolatility': 0.389654541015625, 'contractSymbol': 'TWTR171222C00020000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 1.03, 'change': -0.01999998, 'bid': 0.99, 'currency': 'USD', 'strike': 20.0, 'openInterest': 193, 'volume': 470, 'inTheMoney': True, 'lastPrice': 1.0, 'lastTradeDate': 1510691464, 'percentChange': -1.9607825}
20.5	2017-12-22	call	TWTR171222C00020500	0.82	0.77	0.8	0.0	0.0	1.0	76.0	0.38672488281249995	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-14 19:21:00	{'impliedVolatility': 0.38672488281249995, 'contractSymbol': 'TWTR171222C00020500', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.8, 'change': 0.0, 'bid': 0.77, 'currency': 'USD', 'strike': 20.5, 'openInterest': 76, 'volume': 1, 'inTheMoney': False, 'lastPrice': 0.82, 'lastTradeDate': 1510687260, 'percentChange': 0.0}
21.0	2017-12-22	call	TWTR171222C00021000	0.65	0.59	0.62	0.01999998	3.1746001	5.0	274.0	0.38867798828125	TWTR	False	TWTR	20.05	2017-11-14 21:00:37	2017-11-14 19:21:00	{'impliedVolatility': 0.38867798828125, 'contractSymbol': 'TWTR171222C00021000', 'contractSize': 'REGULAR', 'expiration': 1513900800, 'ask': 0.62, 'change': 0.01999998, 'bid': 0.59, 'currency': 'USD', 'strike': 21.0, 'openInterest': 274, 'volume': 5, 'inTheMoney': False, 'lastPrice': 0.65, 'lastTradeDate': 1510687260, 'percentChange': 3.1746001}
