	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2
0	2017-11-15	AAPL	169.35	2017-11-17	177.868	159.3	168.029	Flat	2017-12-17	181.458	161.222	173.245	Flat	2018-01-18	180.072	132.432	162.91	Flat
1	2017-11-15	GOOG	1019.755	2017-11-17	1058.509	923.356	1015.649	Up	2017-12-17	1092.551	955.217	1044.117	Flat	2018-01-18	1094.13	694.575	989.369	Up
2	2017-11-15	NVDA	209.9	2017-11-17	222.864	192.908	210.456	Flat	2017-12-17	228.652	191.332	208.387	Flat	2018-01-18	219.279	129.385	183.209	Flat
3	2017-11-15	AMD	10.95	2017-11-17	12.636	10.786	11.781	Flat	2017-12-17	12.889	10.25	12.291	Up	2018-01-18	14.593	9.852	13.293	Up
4	2017-11-15	QCOM	65.86	2017-11-17	65.92	62.045	65.324	Up	2017-12-17	67.999	59.631	66.172	Up	2018-01-18	68.782	50.505	60.842	Flat
5	2017-11-15	TSLA	306.995	2017-11-17	340.658	295.53	316.386	Flat	2017-12-17	334.334	276.223	319.204	Up	2018-01-18	385.595	213.216	286.86	Flat
6	2017-11-15	TWTR	20.03	2017-11-17	20.83	19.109	20.469	Up	2017-12-17	23.362	18.399	22.924	Up	2018-01-18	22.75	15.648	20.566	Up
7	2017-11-15	FB	177.485	2017-11-17	183.659	159.373	174.043	Flat	2017-12-17	187.42	167.046	176.5	Flat	2018-01-18	196.153	133.4	175.078	Flat
8	2017-11-15	BIDU	230.425	2017-11-17	248.505	225.546	238.363	Flat	2017-12-17	266.683	217.626	248.739	Flat	2018-01-18	257.575	179.178	218.803	Flat
9	2017-11-15	QIWI	16.76	2017-11-17	19.112	16.319	17.35	Flat	2017-12-17	19.176	14.095	16.968	Flat	2018-01-18	19.176	14.095	16.968	Flat
10	2017-11-15	SNAP	12.46	2017-11-17	17.097	12.249	14.555	Flat	2017-12-17	14.956	11.247	12.786	Flat	2018-01-18	19.606	11.609	15.662	Flat
11	2017-11-15	YELP	45.465	2017-11-17	48.674	39.192	44.435	Flat	2017-12-17	48.511	42.356	43.626	Down	2018-01-18	48.566	25.691	43.382	Up
12	2017-11-15	SQ	40.985	2017-11-17	40.81	36.599	39.882	Up	2017-12-17	42.188	35.827	41.871	Up	2018-01-18	41.502	28.313	37.409	Up
13	2017-11-15	JD	38.52	2017-11-17	41.329	37.916	40.066	Flat	2017-12-17	41.993	37.178	40.959	Up	2018-01-18	46.25	34.926	42.502	Flat
14	2017-11-15	GPRO	8.095	2017-11-17	11.518	8.6	9.769	Flat	2017-12-17	10.026	8.241	8.831	Flat	2018-01-18	13.197	6.275	9.806	Flat
15	2017-11-15	BABA	179.31	2017-11-17	188.107	174.495	183.057	Flat	2017-12-17	192.851	173.086	182.687	Flat	2018-01-18	194.258	135.688	175.086	Up
16	2017-11-15	MRVL	19.93	2017-11-17	20.18	18.178	19.848	Up	2017-12-17	21.629	18.872	20.578	Flat	2018-01-18	20.502	12.323	18.807	Up
17	2017-11-15	XLNX	71.295	2017-11-17	75.689	69.793	73.177	Flat	2017-12-17	87.195	66.093	76.442	Flat	2018-01-18	75.553	49.104	72.168	Up
