Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
105.0	2017-11-24	call	AAPL171124C00105000	52.17	57.2	58.8	0.0	0.0	1.0	1.0	1.0000000000000003e-05	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-10-24 16:57:04	{'bid': 57.2, 'volume': 1, 'percentChange': 0.0, 'strike': 105.0, 'openInterest': 1, 'lastPrice': 52.17, 'contractSymbol': 'AAPL171124C00105000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1508864224, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'ask': 58.8, 'change': 0.0}
120.0	2017-11-24	call	AAPL171124C00120000	50.12	49.7	50.5	-3.0900002	-5.8071795	25.0	15.0	1.37109689453125	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:43:55	{'bid': 49.7, 'volume': 25, 'percentChange': -5.8071795, 'strike': 120.0, 'openInterest': 15, 'lastPrice': 50.12, 'contractSymbol': 'AAPL171124C00120000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510951435, 'impliedVolatility': 1.37109689453125, 'inTheMoney': True, 'ask': 50.5, 'change': -3.0900002}
130.0	2017-11-24	call	AAPL171124C00130000	42.85	38.2	41.95	0.0	0.0	4.0	6.0	1.6035176074218749	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-14 15:19:34	{'bid': 38.2, 'volume': 4, 'percentChange': 0.0, 'strike': 130.0, 'openInterest': 6, 'lastPrice': 42.85, 'contractSymbol': 'AAPL171124C00130000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510672774, 'impliedVolatility': 1.6035176074218749, 'inTheMoney': True, 'ask': 41.95, 'change': 0.0}
135.0	2017-11-24	call	AAPL171124C00135000	35.94	33.2	36.95	0.0	0.0	5.0	12.0	1.4326200244140623	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 14:39:35	{'bid': 33.2, 'volume': 5, 'percentChange': 0.0, 'strike': 135.0, 'openInterest': 12, 'lastPrice': 35.94, 'contractSymbol': 'AAPL171124C00135000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510843175, 'impliedVolatility': 1.4326200244140623, 'inTheMoney': True, 'ask': 36.95, 'change': 0.0}
139.0	2017-11-24	call	AAPL171124C00139000	35.88	35.35	36.15	0.0	0.0	10.0	0.0	1.8168954467773437	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-09 19:23:46	{'bid': 35.35, 'volume': 10, 'percentChange': 0.0, 'strike': 139.0, 'openInterest': 0, 'lastPrice': 35.88, 'contractSymbol': 'AAPL171124C00139000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510255426, 'impliedVolatility': 1.8168954467773437, 'inTheMoney': True, 'ask': 36.15, 'change': 0.0}
140.0	2017-11-24	call	AAPL171124C00140000	34.88	34.35	35.15	0.0	0.0	20.0	2.0	1.7761241662597653	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-09 19:24:15	{'bid': 34.35, 'volume': 20, 'percentChange': 0.0, 'strike': 140.0, 'openInterest': 2, 'lastPrice': 34.88, 'contractSymbol': 'AAPL171124C00140000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510255455, 'impliedVolatility': 1.7761241662597653, 'inTheMoney': True, 'ask': 35.15, 'change': 0.0}
143.0	2017-11-24	call	AAPL171124C00143000	31.83	31.35	32.15	0.0	0.0	4.0	0.0	1.654298603515625	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-09 19:24:37	{'bid': 31.35, 'volume': 4, 'percentChange': 0.0, 'strike': 143.0, 'openInterest': 0, 'lastPrice': 31.83, 'contractSymbol': 'AAPL171124C00143000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510255477, 'impliedVolatility': 1.654298603515625, 'inTheMoney': True, 'ask': 32.15, 'change': 0.0}
144.0	2017-11-24	call	AAPL171124C00144000	30.96	30.4	31.2	0.0	0.0	4.0	0.0	1.621583923339844	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-11 04:58:38	{'bid': 30.4, 'volume': 4, 'percentChange': 0.0, 'strike': 144.0, 'openInterest': 0, 'lastPrice': 30.96, 'contractSymbol': 'AAPL171124C00144000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510376318, 'impliedVolatility': 1.621583923339844, 'inTheMoney': True, 'ask': 31.2, 'change': 0.0}
145.0	2017-11-24	call	AAPL171124C00145000	26.85	24.75	25.45	0.0	0.0	20.0	20.0	0.69336244140625	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 19:08:58	{'bid': 24.75, 'volume': 20, 'percentChange': 0.0, 'strike': 145.0, 'openInterest': 20, 'lastPrice': 26.85, 'contractSymbol': 'AAPL171124C00145000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510859338, 'impliedVolatility': 0.69336244140625, 'inTheMoney': True, 'ask': 25.45, 'change': 0.0}
146.0	2017-11-24	call	AAPL171124C00146000	28.96	28.35	29.15	0.0	0.0	3.0	0.0	1.5332054589843749	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-09 19:25:28	{'bid': 28.35, 'volume': 3, 'percentChange': 0.0, 'strike': 146.0, 'openInterest': 0, 'lastPrice': 28.96, 'contractSymbol': 'AAPL171124C00146000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510255528, 'impliedVolatility': 1.5332054589843749, 'inTheMoney': True, 'ask': 29.15, 'change': 0.0}
147.0	2017-11-24	call	AAPL171124C00147000	24.2	22.7	23.45	0.0	0.0	24.0	71.0	0.6445348046875	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 16:49:03	{'bid': 22.7, 'volume': 24, 'percentChange': 0.0, 'strike': 147.0, 'openInterest': 71, 'lastPrice': 24.2, 'contractSymbol': 'AAPL171124C00147000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510850943, 'impliedVolatility': 0.6445348046875, 'inTheMoney': True, 'ask': 23.45, 'change': 0.0}
148.0	2017-11-24	call	AAPL171124C00148000	23.6	21.7	22.4	0.0	0.0	5.0	8.0	0.5976602734375001	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 19:53:07	{'bid': 21.7, 'volume': 5, 'percentChange': 0.0, 'strike': 148.0, 'openInterest': 8, 'lastPrice': 23.6, 'contractSymbol': 'AAPL171124C00148000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510861987, 'impliedVolatility': 0.5976602734375001, 'inTheMoney': True, 'ask': 22.4, 'change': 0.0}
149.0	2017-11-24	call	AAPL171124C00149000	26.54	25.5	26.15	0.0	0.0	49.0	0.0	1.4230985876464843	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-09 20:36:54	{'bid': 25.5, 'volume': 49, 'percentChange': 0.0, 'strike': 149.0, 'openInterest': 0, 'lastPrice': 26.54, 'contractSymbol': 'AAPL171124C00149000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510259814, 'impliedVolatility': 1.4230985876464843, 'inTheMoney': True, 'ask': 26.15, 'change': 0.0}
150.0	2017-11-24	call	AAPL171124C00150000	21.6	19.75	22.0	0.0	0.0	5.0	56.0	0.7055693505859376	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 19:53:07	{'bid': 19.75, 'volume': 5, 'percentChange': 0.0, 'strike': 150.0, 'openInterest': 56, 'lastPrice': 21.6, 'contractSymbol': 'AAPL171124C00150000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510861987, 'impliedVolatility': 0.7055693505859376, 'inTheMoney': True, 'ask': 22.0, 'change': 0.0}
152.5	2017-11-24	call	AAPL171124C00152500	18.56	17.3	19.5	0.0	0.0	3.0	27.0	0.641605146484375	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-16 14:40:10	{'bid': 17.3, 'volume': 3, 'percentChange': 0.0, 'strike': 152.5, 'openInterest': 27, 'lastPrice': 18.56, 'contractSymbol': 'AAPL171124C00152500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510843210, 'impliedVolatility': 0.641605146484375, 'inTheMoney': True, 'ask': 19.5, 'change': 0.0}
155.0	2017-11-24	call	AAPL171124C00155000	15.15	14.75	15.45	-1.4300003	-8.624851	11.0	388.0	0.450200810546875	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 14:58:45	{'bid': 14.75, 'volume': 11, 'percentChange': -8.624851, 'strike': 155.0, 'openInterest': 388, 'lastPrice': 15.15, 'contractSymbol': 'AAPL171124C00155000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510930725, 'impliedVolatility': 0.450200810546875, 'inTheMoney': True, 'ask': 15.45, 'change': -1.4300003}
157.5	2017-11-24	call	AAPL171124C00157500	12.42	12.55	12.8	-1.0	-7.451565	218.0	238.0	0.33399103515625	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:47:16	{'bid': 12.55, 'volume': 218, 'percentChange': -7.451565, 'strike': 157.5, 'openInterest': 238, 'lastPrice': 12.42, 'contractSymbol': 'AAPL171124C00157500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510951636, 'impliedVolatility': 0.33399103515625, 'inTheMoney': True, 'ask': 12.8, 'change': -1.0}
160.0	2017-11-24	call	AAPL171124C00160000	9.95	10.05	10.35	-1.5500002	-13.478263	228.0	313.0	0.29688203124999996	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:50:00	{'bid': 10.05, 'volume': 228, 'percentChange': -13.478263, 'strike': 160.0, 'openInterest': 313, 'lastPrice': 9.95, 'contractSymbol': 'AAPL171124C00160000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510951800, 'impliedVolatility': 0.29688203124999996, 'inTheMoney': True, 'ask': 10.35, 'change': -1.5500002}
162.5	2017-11-24	call	AAPL171124C00162500	7.81	7.65	7.9	-1.3700004	-14.923752	75.0	508.0	0.25098405273437496	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:08:02	{'bid': 7.65, 'volume': 75, 'percentChange': -14.923752, 'strike': 162.5, 'openInterest': 508, 'lastPrice': 7.81, 'contractSymbol': 'AAPL171124C00162500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510949282, 'impliedVolatility': 0.25098405273437496, 'inTheMoney': True, 'ask': 7.9, 'change': -1.3700004}
165.0	2017-11-24	call	AAPL171124C00165000	5.4	5.25	5.5	-1.3499999	-19.999998	692.0	879.0	0.20728331787109372	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:59:37	{'bid': 5.25, 'volume': 692, 'percentChange': -19.999998, 'strike': 165.0, 'openInterest': 879, 'lastPrice': 5.4, 'contractSymbol': 'AAPL171124C00165000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952377, 'impliedVolatility': 0.20728331787109372, 'inTheMoney': True, 'ask': 5.5, 'change': -1.3499999}
167.5	2017-11-24	call	AAPL171124C00167500	3.05	3.05	3.25	-1.2500002	-29.069773	4043.0	2408.0	0.16993017578125003	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:58:24	{'bid': 3.05, 'volume': 4043, 'percentChange': -29.069773, 'strike': 167.5, 'openInterest': 2408, 'lastPrice': 3.05, 'contractSymbol': 'AAPL171124C00167500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952304, 'impliedVolatility': 0.16993017578125003, 'inTheMoney': True, 'ask': 3.25, 'change': -1.2500002}
170.0	2017-11-24	call	AAPL171124C00170000	1.39	1.37	1.44	-0.9900001	-41.59664	13042.0	6708.0	0.1450280810546875	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:59:57	{'bid': 1.37, 'volume': 13042, 'percentChange': -41.59664, 'strike': 170.0, 'openInterest': 6708, 'lastPrice': 1.39, 'contractSymbol': 'AAPL171124C00170000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952397, 'impliedVolatility': 0.1450280810546875, 'inTheMoney': True, 'ask': 1.44, 'change': -0.9900001}
172.5	2017-11-24	call	AAPL171124C00172500	0.47	0.48	0.49	-0.54999995	-53.921562	19365.0	8568.0	0.14283083740234376	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:59:54	{'bid': 0.48, 'volume': 19365, 'percentChange': -53.921562, 'strike': 172.5, 'openInterest': 8568, 'lastPrice': 0.47, 'contractSymbol': 'AAPL171124C00172500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952394, 'impliedVolatility': 0.14283083740234376, 'inTheMoney': False, 'ask': 0.49, 'change': -0.54999995}
175.0	2017-11-24	call	AAPL171124C00175000	0.14	0.14	0.16	-0.24	-63.15789	7293.0	12234.0	0.1538170556640625	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:58:28	{'bid': 0.14, 'volume': 7293, 'percentChange': -63.15789, 'strike': 175.0, 'openInterest': 12234, 'lastPrice': 0.14, 'contractSymbol': 'AAPL171124C00175000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952308, 'impliedVolatility': 0.1538170556640625, 'inTheMoney': False, 'ask': 0.16, 'change': -0.24}
177.5	2017-11-24	call	AAPL171124C00177500	0.04	0.06	0.07	-0.1	-71.42857	3219.0	6053.0	0.1757894921875	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:50:50	{'bid': 0.06, 'volume': 3219, 'percentChange': -71.42857, 'strike': 177.5, 'openInterest': 6053, 'lastPrice': 0.04, 'contractSymbol': 'AAPL171124C00177500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510951850, 'impliedVolatility': 0.1757894921875, 'inTheMoney': False, 'ask': 0.07, 'change': -0.1}
180.0	2017-11-24	call	AAPL171124C00180000	0.05	0.04	0.05	-0.02	-28.571426	2059.0	4648.0	0.20899228515624996	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:56:58	{'bid': 0.04, 'volume': 2059, 'percentChange': -28.571426, 'strike': 180.0, 'openInterest': 4648, 'lastPrice': 0.05, 'contractSymbol': 'AAPL171124C00180000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952218, 'impliedVolatility': 0.20899228515624996, 'inTheMoney': False, 'ask': 0.05, 'change': -0.02}
182.5	2017-11-24	call	AAPL171124C00182500	0.03	0.02	0.03	0.0	0.0	655.0	2593.0	0.23242955078125	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:57:48	{'bid': 0.02, 'volume': 655, 'percentChange': 0.0, 'strike': 182.5, 'openInterest': 2593, 'lastPrice': 0.03, 'contractSymbol': 'AAPL171124C00182500', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510952268, 'impliedVolatility': 0.23242955078125, 'inTheMoney': False, 'ask': 0.03, 'change': 0.0}
185.0	2017-11-24	call	AAPL171124C00185000	0.02	0.01	0.03	0.0	0.0	899.0	1833.0	0.27149166015625	AAPL	False	AAPL	169.94	2017-11-18 00:59:55	2017-11-17 20:12:38	{'bid': 0.01, 'volume': 899, 'percentChange': 0.0, 'strike': 185.0, 'openInterest': 1833, 'lastPrice': 0.02, 'contractSymbol': 'AAPL171124C00185000', 'contractSize': 'REGULAR', 'currency': 'USD', 'expiration': 1511481600, 'lastTradeDate': 1510949558, 'impliedVolatility': 0.27149166015625, 'inTheMoney': False, 'ask': 0.03, 'change': 0.0}
