Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
55.0	2017-11-17	call	WB171117C00055000	52.29	49.7	51.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-08 19:47:53	{'bid': 49.7, 'inTheMoney': True, 'ask': 51.0, 'lastPrice': 52.29, 'volume': 5, 'currency': 'USD', 'strike': 55.0, 'change': 0.0, 'contractSymbol': 'WB171117C00055000', 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 0, 'contractSize': 'REGULAR', 'lastTradeDate': 1510170473}
65.0	2017-11-17	call	WB171117C00065000	42.2	39.5	41.6	0.0	0.0	3.0	1.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-08 17:55:16	{'bid': 39.5, 'inTheMoney': True, 'ask': 41.6, 'lastPrice': 42.2, 'volume': 3, 'currency': 'USD', 'strike': 65.0, 'change': 0.0, 'contractSymbol': 'WB171117C00065000', 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 1, 'contractSize': 'REGULAR', 'lastTradeDate': 1510163716}
70.0	2017-11-17	call	WB171117C00070000	44.5	46.5	47.5	0.0	0.0	1.0	8.0	4.789066513671875	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-16 14:32:07	{'bid': 46.5, 'inTheMoney': True, 'ask': 47.5, 'lastPrice': 44.5, 'volume': 1, 'currency': 'USD', 'strike': 70.0, 'change': 0.0, 'contractSymbol': 'WB171117C00070000', 'percentChange': 0.0, 'impliedVolatility': 4.789066513671875, 'expiration': 1510876800, 'openInterest': 8, 'contractSize': 'REGULAR', 'lastTradeDate': 1510842727}
75.0	2017-11-17	call	WB171117C00075000	14.6	14.9	17.5	-9.5	-39.419086	2.0	5.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-10-27 14:09:32	{'bid': 14.9, 'inTheMoney': True, 'ask': 17.5, 'lastPrice': 14.6, 'volume': 2, 'currency': 'USD', 'strike': 75.0, 'change': -9.5, 'contractSymbol': 'WB171117C00075000', 'percentChange': -39.419086, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 5, 'contractSize': 'REGULAR', 'lastTradeDate': 1509113372}
80.0	2017-11-17	call	WB171117C00080000	36.85	36.5	37.3	0.0	0.0	10.0	21.0	3.2187519531249995	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-16 16:44:46	{'bid': 36.5, 'inTheMoney': True, 'ask': 37.3, 'lastPrice': 36.85, 'volume': 10, 'currency': 'USD', 'strike': 80.0, 'change': 0.0, 'contractSymbol': 'WB171117C00080000', 'percentChange': 0.0, 'impliedVolatility': 3.2187519531249995, 'expiration': 1510876800, 'openInterest': 21, 'contractSize': 'REGULAR', 'lastTradeDate': 1510850686}
85.0	2017-11-17	call	WB171117C00085000	33.46	31.5	32.3	0.5400009	1.6403431	2.0	144.0	2.7656280859375	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-17 14:30:01	{'bid': 31.5, 'inTheMoney': True, 'ask': 32.3, 'lastPrice': 33.46, 'volume': 2, 'currency': 'USD', 'strike': 85.0, 'change': 0.5400009, 'contractSymbol': 'WB171117C00085000', 'percentChange': 1.6403431, 'impliedVolatility': 2.7656280859375, 'expiration': 1510876800, 'openInterest': 144, 'contractSize': 'REGULAR', 'lastTradeDate': 1510929001}
90.0	2017-11-17	call	WB171117C00090000	26.5	26.5	27.4	0.0	0.0	2.0	180.0	2.5156287109374995	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-16 16:27:32	{'bid': 26.5, 'inTheMoney': True, 'ask': 27.4, 'lastPrice': 26.5, 'volume': 2, 'currency': 'USD', 'strike': 90.0, 'change': 0.0, 'contractSymbol': 'WB171117C00090000', 'percentChange': 0.0, 'impliedVolatility': 2.5156287109374995, 'expiration': 1510876800, 'openInterest': 180, 'contractSize': 'REGULAR', 'lastTradeDate': 1510849652}
90.5	2017-11-17	call	WB171117C00090500	9.0	14.3	15.8	0.0	0.0	1.0	105.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-07 20:04:50	{'bid': 14.3, 'inTheMoney': True, 'ask': 15.8, 'lastPrice': 9.0, 'volume': 1, 'currency': 'USD', 'strike': 90.5, 'change': 0.0, 'contractSymbol': 'WB171117C00090500', 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 105, 'contractSize': 'REGULAR', 'lastTradeDate': 1510085090}
91.0	2017-11-17	call	WB171117C00091000	9.4	13.6	14.9	0.0	0.0	4.0	11.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-07 20:30:09	{'bid': 13.6, 'inTheMoney': True, 'ask': 14.9, 'lastPrice': 9.4, 'volume': 4, 'currency': 'USD', 'strike': 91.0, 'change': 0.0, 'contractSymbol': 'WB171117C00091000', 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 11, 'contractSize': 'REGULAR', 'lastTradeDate': 1510086609}
91.5	2017-11-17	call	WB171117C00091500	7.3	6.9	7.6	0.0	0.0	1.0	5.0	1.0000000000000003e-05	WB	False	WB	116.83	2017-11-17 18:29:40	2017-11-02 15:20:00	{'bid': 6.9, 'inTheMoney': True, 'ask': 7.6, 'lastPrice': 7.3, 'volume': 1, 'currency': 'USD', 'strike': 91.5, 'change': 0.0, 'contractSymbol': 'WB171117C00091500', 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1510876800, 'openInterest': 5, 'contractSize': 'REGULAR', 'lastTradeDate': 1509636000}
