Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
45.0	2017-11-24	call	QCOM171124C00045000	21.23	20.9	22.65	0.0	0.0	1.0	23.0	1.5625021874999998	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-14 15:39:07	{'strike': 45.0, 'lastTradeDate': 1510673947, 'impliedVolatility': 1.5625021874999998, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00045000', 'bid': 20.9, 'expiration': 1511481600, 'lastPrice': 21.23, 'volume': 1, 'ask': 22.65, 'openInterest': 23}
46.0	2017-11-24	call	QCOM171124C00046000	5.45	13.8	18.4	0.0	0.0	3.0	3.0	1.0000000000000003e-05	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-10-31 14:23:43	{'strike': 46.0, 'lastTradeDate': 1509459823, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00046000', 'bid': 13.8, 'expiration': 1511481600, 'lastPrice': 5.45, 'volume': 3, 'ask': 18.4, 'openInterest': 3}
48.0	2017-11-24	call	QCOM171124C00048000	5.25	12.1	16.4	0.0	0.0	5.0	104.0	1.0000000000000003e-05	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-01 19:05:11	{'strike': 48.0, 'lastTradeDate': 1509563111, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00048000', 'bid': 12.1, 'expiration': 1511481600, 'lastPrice': 5.25, 'volume': 5, 'ask': 16.4, 'openInterest': 104}
49.0	2017-11-24	call	QCOM171124C00049000	6.35	10.8	15.35	0.0	0.0	7.0	6.0	1.0000000000000003e-05	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-02 14:28:53	{'strike': 49.0, 'lastTradeDate': 1509632933, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00049000', 'bid': 10.8, 'expiration': 1511481600, 'lastPrice': 6.35, 'volume': 7, 'ask': 15.35, 'openInterest': 6}
50.0	2017-11-24	call	QCOM171124C00050000	16.32	15.9	17.85	0.26000023	1.6189305	2.0	12.0	1.41015919921875	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-17 14:59:11	{'strike': 50.0, 'lastTradeDate': 1510930751, 'impliedVolatility': 1.41015919921875, 'percentChange': 1.6189305, 'inTheMoney': True, 'currency': 'USD', 'change': 0.26000023, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00050000', 'bid': 15.9, 'expiration': 1511481600, 'lastPrice': 16.32, 'volume': 2, 'ask': 17.85, 'openInterest': 12}
51.0	2017-11-24	call	QCOM171124C00051000	15.6	14.7	16.65	0.0	0.0	2.0	9.0	2.057622043457031	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-14 15:00:09	{'strike': 51.0, 'lastTradeDate': 1510671609, 'impliedVolatility': 2.057622043457031, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00051000', 'bid': 14.7, 'expiration': 1511481600, 'lastPrice': 15.6, 'volume': 2, 'ask': 16.65, 'openInterest': 9}
52.0	2017-11-24	call	QCOM171124C00052000	14.75	13.75	15.85	2.8999996	24.47257	2.0	113.0	1.109379453125	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-17 20:47:30	{'strike': 52.0, 'lastTradeDate': 1510951650, 'impliedVolatility': 1.109379453125, 'percentChange': 24.47257, 'inTheMoney': True, 'currency': 'USD', 'change': 2.8999996, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00052000', 'bid': 13.75, 'expiration': 1511481600, 'lastPrice': 14.75, 'volume': 2, 'ask': 15.85, 'openInterest': 113}
53.0	2017-11-24	call	QCOM171124C00053000	13.5	13.5	15.05	0.0	0.0	1.0	230.0	1.5761739941406248	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-14 15:20:51	{'strike': 53.0, 'lastTradeDate': 1510672851, 'impliedVolatility': 1.5761739941406248, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'change': 0.0, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00053000', 'bid': 13.5, 'expiration': 1511481600, 'lastPrice': 13.5, 'volume': 1, 'ask': 15.05, 'openInterest': 230}
54.0	2017-11-24	call	QCOM171124C00054000	12.28	12.1	13.75	0.47999954	4.067793	4.0	134.0	1.15625421875	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-17 16:25:22	{'strike': 54.0, 'lastTradeDate': 1510935922, 'impliedVolatility': 1.15625421875, 'percentChange': 4.067793, 'inTheMoney': True, 'currency': 'USD', 'change': 0.47999954, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00054000', 'bid': 12.1, 'expiration': 1511481600, 'lastPrice': 12.28, 'volume': 4, 'ask': 13.75, 'openInterest': 134}
55.0	2017-11-24	call	QCOM171124C00055000	11.8	11.45	12.95	0.9000006	8.2568865	2.0	1037.0	1.3261752441406247	QCOM	False	QCOM	66.72	2017-11-17 21:00:00	2017-11-17 20:54:38	{'strike': 55.0, 'lastTradeDate': 1510952078, 'impliedVolatility': 1.3261752441406247, 'percentChange': 8.2568865, 'inTheMoney': True, 'currency': 'USD', 'change': 0.9000006, 'contractSize': 'REGULAR', 'contractSymbol': 'QCOM171124C00055000', 'bid': 11.45, 'expiration': 1511481600, 'lastPrice': 11.8, 'volume': 2, 'ask': 12.95, 'openInterest': 1037}
