	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1	OpDate_2	callEst_2	putEst_2	combEst_2	Trend_2	OpDate_3	callEst_3	putEst_3	combEst_3	Trend_3
0	2017-11-19	AAPL	170.515	2017-11-17	175.284	163.349	170.21	Flat	2017-11-24	175.284	163.349	170.21	Flat	2017-12-17	181.915	162.195	174.346	Flat	2018-01-18	179.171	135.543	165.938	Up
1	2017-11-19	AMBA	54.03	2017-11-17	56.455	52.545	53.21	Down	2017-11-24	56.455	52.545	53.21	Down	2017-12-17	60.77	49.884	57.884	Up	2018-01-18	68.07	44.026	62.81	Up
2	2017-11-19	AMCN	2.09	2017-11-17	3.472	2.6	3.472	Up	2017-11-24	3.472	2.6	3.472	Up	2017-12-17	3.535	1.862	2.548	Flat	2018-01-18	3.535	1.862	2.548	Flat
3	2017-11-19	AMD	11.515	2017-11-17	12.637	11.083	12.323	Up	2017-11-24	12.637	11.083	12.323	Up	2017-12-17	12.954	10.403	12.444	Up	2018-01-18	13.894	10.451	13.114	Up
4	2017-11-19	ATHM	59.97	2017-11-17	64.428	51.815	54.71	Down	2017-11-24	64.428	51.815	54.71	Down	2017-12-17	66.273	39.596	58.864	Up	2018-01-18	66.273	39.596	58.864	Up
5	2017-11-19	ATVI	63.81	2017-11-17	65.293	58.844	64.362	Up	2017-11-24	65.293	58.844	64.362	Up	2017-12-17	66.874	56.188	63.262	Flat	2018-01-18	66.888	49.234	62.868	Up
6	2017-11-19	BABA	185.585	2017-11-17	189.687	177.879	184.818	Flat	2017-11-24	189.687	177.879	184.818	Flat	2017-12-17	194.62	176.431	184.818	Flat	2018-01-18	193.741	152.951	183.247	Up
7	2017-11-19	BIDU	241.025	2017-11-17	247.732	225.157	239.496	Flat	2017-11-24	247.732	225.157	239.496	Flat	2017-12-17	264.486	221.705	247.639	Flat	2018-01-18	256.907	188.27	236.122	Up
8	2017-11-19	CTRP	47.69	2017-11-17	48.809	46.396	48.176	Up	2017-11-24	48.809	46.396	48.176	Up	2017-12-17	49.375	44.213	47.095	Flat	2018-01-18	53.625	44.191	49.654	Flat
9	2017-11-19	FB	179.44	2017-11-17	182.203	171.558	178.047	Flat	2017-11-24	182.203	171.558	178.047	Flat	2017-12-17	186.988	168.287	178.041	Flat	2018-01-18	193.408	133.448	174.64	Up
10	2017-11-19	FIT	6.135	2017-11-17	6.548	5.578	6.195	Flat	2017-11-24	6.548	5.578	6.195	Flat	2017-12-17	6.802	5.843	6.351	Flat	2018-01-18	10.549	4.564	7.334	Flat
11	2017-11-19	GME	16.365	2017-11-17	18.708	16.372	16.574	Down	2017-11-24	18.708	16.372	16.574	Down	2017-12-17	17.739	15.054	17.554	Up	2018-01-18	23.088	15.802	18.098	Down
12	2017-11-19	GOOG	1026.085	2017-11-17	1053.58	1000.651	1032.058	Flat	2017-11-24	1053.58	1000.651	1032.058	Flat	2017-12-17	1108.602	920.89	1038.812	Flat	2018-01-18	1085.746	716.287	991.145	Up
13	2017-11-19	GPRO	8.36	2017-11-17	9.881	8.525	9.402	Flat	2017-11-24	9.881	8.525	9.402	Flat	2017-12-17	10.002	8.378	9.007	Flat	2018-01-18	12.98	6.372	9.214	Flat
14	2017-11-19	GRMN	61.18	2017-11-17	61.705	56.253	61.599	Up	2017-11-24	61.705	56.253	61.599	Up	2017-12-17	62.375	57.193	60.043	Flat	2018-01-18	62.194	39.953	53.214	Flat
15	2017-11-19	GRPN	5.48	2017-11-17	5.593	4.804	5.422	Up	2017-11-24	5.593	4.804	5.422	Up	2017-12-17	5.98	4.927	5.827	Up	2018-01-18	5.776	4.614	5.655	Up
16	2017-11-19	INTL	42.52	2017-11-17	44.646	39.955	40.014	Down	2017-11-24	44.646	39.955	40.014	Down	2017-12-17	43.401	27.035	41.325	Up	2018-01-18	43.401	27.035	41.325	Up
17	2017-11-19	JD	40.34	2017-11-17	41.352	38.18	40.631	Up	2017-11-24	41.352	38.18	40.631	Up	2017-12-17	42.121	37.754	41.177	Up	2018-01-18	44.481	36.225	41.853	Up
18	2017-11-19	LC	4.3	2017-11-17	4.964	4.209	4.56	Flat	2017-11-24	4.964	4.209	4.56	Flat	2017-12-17	7.408	4.039	6.326	Up	2018-01-18	7.408	4.039	6.326	Up
19	2017-11-19	LSCC	6.23	2017-11-17	7.288	5.573	7.059	Up	2017-11-24	7.288	5.573	7.059	Up	2017-12-17	7.116	4.63	7.032	Up	2018-01-18	7.116	4.63	7.032	Up
20	2017-11-19	MOMO	32.25	2017-11-17	32.365	29.433	31.721	Up	2017-11-24	32.365	29.433	31.721	Up	2017-12-17	34.547	26.866	32.419	Up	2018-01-18	42.755	28.962	37.565	Flat
21	2017-11-19	MRVL	20.345	2017-11-17	20.345	19.608	20.083	Flat	2017-11-24	20.345	19.608	20.083	Flat	2017-12-17	21.526	18.962	20.617	Flat	2018-01-18	20.469	13.835	18.827	Up
22	2017-11-19	MSFT	82.68	2017-11-17	84.145	80.497	82.033	Flat	2017-11-24	84.145	80.497	82.033	Flat	2017-12-17	85.871	79.665	83.296	Flat	2018-01-18	85.079	58.596	72.109	Flat
23	2017-11-19	NFLX	194.3	2017-11-17	200.348	184.519	192.235	Flat	2017-11-24	200.348	184.519	192.235	Flat	2017-12-17	203.341	183.095	193.944	Flat	2018-01-18	205.501	121.219	164.378	Flat
24	2017-11-19	NKE	58.95	2017-11-17	57.999	53.351	55.731	Flat	2017-11-24	57.999	53.351	55.731	Flat	2017-12-17	59.008	53.793	57.853	Up	2018-01-18	60.795	51.224	55.448	Flat
25	2017-11-19	NQ	4.07	2017-11-17	4.049	3.765	4.046	Up	2017-11-24	4.049	3.765	4.046	Up	2017-12-17	4.027	4.355	4.088	Up	2018-01-18	4.624	2.787	4.236	Up
26	2017-11-19	NTES	357.55	2017-11-17	354.534	291.549	328.361	Flat	2017-11-24	354.534	291.549	328.361	Flat	2017-12-17	370.93	264.956	343.166	Up	2018-01-18	377.953	245.694	320.379	Flat
27	2017-11-19	NVDA	213.05	2017-11-17	220.32	202.977	213.138	Flat	2017-11-24	220.32	202.977	213.138	Flat	2017-12-17	229.324	193.556	210.65	Flat	2018-01-18	219.481	141.002	194.343	Up
28	2017-11-19	PSTG	17.215	2017-11-17	18.226	14.8	16.323	Flat	2017-11-24	18.226	14.8	16.323	Flat	2017-12-17	18.247	10.694	17.003	Up	2018-01-18	18.247	10.694	17.003	Up
29	2017-11-19	PYPL	76.905	2017-11-17	78.037	69.767	75.344	Up	2017-11-24	78.037	69.767	75.344	Up	2017-12-17	80.18	68.855	74.814	Flat	2018-01-18	77.298	54.366	69.553	Flat
30	2017-11-19	QCOM	66.475	2017-11-17	67.445	64.465	66.178	Flat	2017-11-24	67.445	64.465	66.178	Flat	2017-12-17	68.925	60.208	66.614	Up	2018-01-18	69.235	52.961	63.207	Flat
31	2017-11-19	QD	22.39	2017-11-17	28.961	20.828	27.288	Up	2017-11-24	28.961	20.828	27.288	Up	2017-12-17	30.246	19.006	27.251	Up	2018-01-18	30.246	19.006	27.251	Up
32	2017-11-19	QIWI	16.82	2017-11-17	18.189	15.384	17.242	Flat	2017-11-24	18.189	15.384	17.242	Flat	2017-12-17	19.21	14.506	16.965	Flat	2018-01-18	19.21	14.506	16.965	Flat
33	2017-11-19	RACE	109.375	2017-11-17	115.121	108.385	109.376	Down	2017-11-24	115.121	108.385	109.376	Down	2017-12-17	122.99	107.237	119.298	Up	2018-01-18	118.015	87.258	108.96	Up
34	2017-11-19	RENN	9.905	2017-11-17	11.262	9.652	10.994	Up	2017-11-24	11.262	9.652	10.994	Up	2017-12-17	10.826	7.595	10.49	Up	2018-01-18	10.826	7.595	10.49	Up
35	2017-11-19	SFUN	4.96	2017-11-17	4.916	4.187	4.66	Flat	2017-11-24	4.916	4.187	4.66	Flat	2017-12-17	5.955	4.26	5.715	Up	2018-01-18	5.955	4.26	5.715	Up
36	2017-11-19	SINA	107.74	2017-11-17	123.011	89.783	108.201	Flat	2017-11-24	123.011	89.783	108.201	Flat	2017-12-17	124.464	81.068	113.237	Up	2018-01-18	124.464	81.068	113.237	Up
37	2017-11-19	SNAP	12.76	2017-11-17	15.566	12.597	14.403	Flat	2017-11-24	15.566	12.597	14.403	Flat	2017-12-17	14.607	11.578	12.377	Down	2018-01-18	17.091	12.073	13.714	Down
38	2017-11-19	SQ	44.09	2017-11-17	44.099	40.163	43.422	Up	2017-11-24	44.099	40.163	43.422	Up	2017-12-17	44.906	38.783	44.723	Up	2018-01-18	44.778	31.739	40.72	Up
39	2017-11-19	TSLA	319.91	2017-11-17	331.861	297.433	320.321	Flat	2017-11-24	331.861	297.433	320.321	Flat	2017-12-17	337.589	289.76	316.664	Flat	2018-01-18	370.85	245.112	312.174	Flat
40	2017-11-19	TWTR	20.52	2017-11-17	22.143	19.797	21.697	Up	2017-11-24	22.143	19.797	21.697	Up	2017-12-17	23.753	18.509	22.688	Up	2018-01-18	24.417	15.561	21.729	Up
41	2017-11-19	VIPS	9.84	2017-11-17	9.84	8.4	9.8	Up	2017-11-24	9.84	8.4	9.8	Up	2017-12-17	10.085	8.87	9.873	Up	2018-01-18	11.599	8.143	10.543	Up
42	2017-11-19	VRX	14.525	2017-11-17	15.315	13.074	14.807	Up	2017-11-24	15.315	13.074	14.807	Up	2017-12-17	15.983	13.352	15.506	Up	2018-01-18	25.949	12.367	20.381	Flat
43	2017-11-19	WB	116.425	2017-11-17	116.167	105.919	112.982	Up	2017-11-24	116.167	105.919	112.982	Up	2017-12-17	112.359	95.434	110.183	Up	2018-01-18	118.648	64.896	96.974	Flat
44	2017-11-19	XLNX	72.295	2017-11-17	74.158	68.142	71.934	Flat	2017-11-24	74.158	68.142	71.934	Flat	2017-12-17	87.106	66.351	76.304	Flat	2018-01-18	75.974	54.21	72.547	Up
45	2017-11-19	YELP	46.335	2017-11-17	49.148	44.835	46.505	Flat	2017-11-24	49.148	44.835	46.505	Flat	2017-12-17	48.575	42.655	44.101	Down	2018-01-18	48.819	27.869	43.819	Up
