Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
17.5	2018-04-20	call	MOMO180420C00017500	15.3	12.4	16.8	0.0	0.0	1.0	9.0	1.0205127099609377	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-09-27 15:50:54	{'change': 0.0, 'lastPrice': 15.3, 'openInterest': 9, 'volume': 1, 'bid': 12.4, 'currency': 'USD', 'percentChange': 0.0, 'inTheMoney': True, 'strike': 17.5, 'expiration': 1524182400, 'lastTradeDate': 1506527454, 'ask': 16.8, 'contractSymbol': 'MOMO180420C00017500', 'contractSize': 'REGULAR', 'impliedVolatility': 1.0205127099609377}
20.0	2018-04-20	call	MOMO180420C00020000	12.5	11.0	12.9	-0.19999981	-1.5748017	19.0	32.0	1.0000000000000003e-05	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-17 15:50:33	{'change': -0.19999981, 'lastPrice': 12.5, 'openInterest': 32, 'volume': 19, 'bid': 11.0, 'currency': 'USD', 'percentChange': -1.5748017, 'inTheMoney': True, 'strike': 20.0, 'expiration': 1524182400, 'lastTradeDate': 1510933833, 'ask': 12.9, 'contractSymbol': 'MOMO180420C00020000', 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
22.5	2018-04-20	call	MOMO180420C00022500	11.81	11.2	12.0	1.3100004	12.476194	51.0	340.0	0.6621127539062501	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 16:27:47	{'change': 1.3100004, 'lastPrice': 11.81, 'openInterest': 340, 'volume': 51, 'bid': 11.2, 'currency': 'USD', 'percentChange': 12.476194, 'inTheMoney': True, 'strike': 22.5, 'expiration': 1524182400, 'lastTradeDate': 1511195267, 'ask': 12.0, 'contractSymbol': 'MOMO180420C00022500', 'contractSize': 'REGULAR', 'impliedVolatility': 0.6621127539062501}
25.0	2018-04-20	call	MOMO180420C00025000	9.58	9.3	9.9	0.77999973	8.863633	15.0	160.0	0.6235389208984375	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 15:19:20	{'change': 0.77999973, 'lastPrice': 9.58, 'openInterest': 160, 'volume': 15, 'bid': 9.3, 'currency': 'USD', 'percentChange': 8.863633, 'inTheMoney': True, 'strike': 25.0, 'expiration': 1524182400, 'lastTradeDate': 1511191160, 'ask': 9.9, 'contractSymbol': 'MOMO180420C00025000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.6235389208984375}
30.0	2018-04-20	call	MOMO180420C00030000	6.4	6.2	6.7	1.0999999	20.754715	69.0	1102.0	0.6032754516601564	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 20:52:55	{'change': 1.0999999, 'lastPrice': 6.4, 'openInterest': 1102, 'volume': 69, 'bid': 6.2, 'currency': 'USD', 'percentChange': 20.754715, 'inTheMoney': True, 'strike': 30.0, 'expiration': 1524182400, 'lastTradeDate': 1511211175, 'ask': 6.7, 'contractSymbol': 'MOMO180420C00030000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.6032754516601564}
35.0	2018-04-20	call	MOMO180420C00035000	4.23	4.0	4.3	0.93000007	28.181822	126.0	2088.0	0.5903361279296876	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 20:43:20	{'change': 0.93000007, 'lastPrice': 4.23, 'openInterest': 2088, 'volume': 126, 'bid': 4.0, 'currency': 'USD', 'percentChange': 28.181822, 'inTheMoney': False, 'strike': 35.0, 'expiration': 1524182400, 'lastTradeDate': 1511210600, 'ask': 4.3, 'contractSymbol': 'MOMO180420C00035000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.5903361279296876}
40.0	2018-04-20	call	MOMO180420C00040000	2.66	2.55	2.85	0.5400002	25.471708	216.0	3119.0	0.5961954443359375	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 20:41:11	{'change': 0.5400002, 'lastPrice': 2.66, 'openInterest': 3119, 'volume': 216, 'bid': 2.55, 'currency': 'USD', 'percentChange': 25.471708, 'inTheMoney': False, 'strike': 40.0, 'expiration': 1524182400, 'lastTradeDate': 1511210471, 'ask': 2.85, 'contractSymbol': 'MOMO180420C00040000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.5961954443359375}
45.0	2018-04-20	call	MOMO180420C00045000	1.67	1.45	1.9	0.39	30.46875	6.0	1385.0	0.5905802661132813	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 16:57:23	{'change': 0.39, 'lastPrice': 1.67, 'openInterest': 1385, 'volume': 6, 'bid': 1.45, 'currency': 'USD', 'percentChange': 30.46875, 'inTheMoney': False, 'strike': 45.0, 'expiration': 1524182400, 'lastTradeDate': 1511197043, 'ask': 1.9, 'contractSymbol': 'MOMO180420C00045000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.5905802661132813}
50.0	2018-04-20	call	MOMO180420C00050000	1.09	0.9	1.2	0.32000005	41.55845	9.0	1931.0	0.5908244042968751	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 20:45:23	{'change': 0.32000005, 'lastPrice': 1.09, 'openInterest': 1931, 'volume': 9, 'bid': 0.9, 'currency': 'USD', 'percentChange': 41.55845, 'inTheMoney': False, 'strike': 50.0, 'expiration': 1524182400, 'lastTradeDate': 1511210723, 'ask': 1.2, 'contractSymbol': 'MOMO180420C00050000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.5908244042968751}
55.0	2018-04-20	call	MOMO180420C00055000	0.6	0.55	0.9	-0.089999974	-13.043475	1.0	246.0	0.6066933862304689	MOMO	False	MOMO	32.94	2017-11-20 21:00:00	2017-11-20 19:22:35	{'change': -0.089999974, 'lastPrice': 0.6, 'openInterest': 246, 'volume': 1, 'bid': 0.55, 'currency': 'USD', 'percentChange': -13.043475, 'inTheMoney': False, 'strike': 55.0, 'expiration': 1524182400, 'lastTradeDate': 1511205755, 'ask': 0.9, 'contractSymbol': 'MOMO180420C00055000', 'contractSize': 'REGULAR', 'impliedVolatility': 0.6066933862304689}
