Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
0.5	2018-01-19	call	LC180119C00000500	5.03	5.0	5.3	0.0	0.0	10.0	10.0	0.0	LC	False	LC	4.28	2017-11-22 20:53:58	2017-06-03 03:52:26	{'strike': 0.5, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 5.0, 'lastPrice': 5.03, 'lastTradeDate': 1496461946, 'volume': 10, 'currency': 'USD', 'openInterest': 10, 'change': 0.0, 'ask': 5.3, 'inTheMoney': True, 'contractSymbol': 'LC180119C00000500', 'impliedVolatility': 0.0}
1.0	2018-01-19	call	LC180119C00001000	4.5	4.9	5.1	0.0	0.0	10.0	186.0	0.0	LC	False	LC	4.28	2017-11-22 20:53:58	2017-06-03 03:52:26	{'strike': 1.0, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 4.9, 'lastPrice': 4.5, 'lastTradeDate': 1496461946, 'volume': 10, 'currency': 'USD', 'openInterest': 186, 'change': 0.0, 'ask': 5.1, 'inTheMoney': True, 'contractSymbol': 'LC180119C00001000', 'impliedVolatility': 0.0}
1.5	2018-01-19	call	LC180119C00001500	4.6	4.0	4.2	0.0	0.0	5.0	10.0	8.906254433593748	LC	False	LC	4.28	2017-11-22 20:53:58	2017-06-03 03:52:26	{'strike': 1.5, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 4.0, 'lastPrice': 4.6, 'lastTradeDate': 1496461946, 'volume': 5, 'currency': 'USD', 'openInterest': 10, 'change': 0.0, 'ask': 4.2, 'inTheMoney': True, 'contractSymbol': 'LC180119C00001500', 'impliedVolatility': 8.906254433593748}
2.0	2018-01-19	call	LC180119C00002000	3.8	3.5	3.8	0.0	0.0	1.0	3.0	6.07812740234375	LC	False	LC	4.28	2017-11-22 20:53:58	2017-06-03 03:52:26	{'strike': 2.0, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 3.5, 'lastPrice': 3.8, 'lastTradeDate': 1496461946, 'volume': 1, 'currency': 'USD', 'openInterest': 3, 'change': 0.0, 'ask': 3.8, 'inTheMoney': True, 'contractSymbol': 'LC180119C00002000', 'impliedVolatility': 6.07812740234375}
2.5	2018-01-19	call	LC180119C00002500	2.04	1.75	1.85	0.0	0.0	6.0	1947.0	0.79687703125	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-08 20:37:06	{'strike': 2.5, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 1.75, 'lastPrice': 2.04, 'lastTradeDate': 1510173426, 'volume': 6, 'currency': 'USD', 'openInterest': 1947, 'change': 0.0, 'ask': 1.85, 'inTheMoney': True, 'contractSymbol': 'LC180119C00002500', 'impliedVolatility': 0.79687703125}
3.0	2018-01-19	call	LC180119C00003000	1.23	1.3	1.4	0.0	0.0	8.0	5516.0	0.773439765625	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-14 17:12:10	{'strike': 3.0, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 1.3, 'lastPrice': 1.23, 'lastTradeDate': 1510679530, 'volume': 8, 'currency': 'USD', 'openInterest': 5516, 'change': 0.0, 'ask': 1.4, 'inTheMoney': True, 'contractSymbol': 'LC180119C00003000', 'impliedVolatility': 0.773439765625}
3.5	2018-01-19	call	LC180119C00003500	2.5	2.45	2.6	0.0	0.0	5.0	678.0	3.7148444628906248	LC	False	LC	4.28	2017-11-22 20:53:58	2017-08-10 14:56:59	{'strike': 3.5, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 2.45, 'lastPrice': 2.5, 'lastTradeDate': 1502377019, 'volume': 5, 'currency': 'USD', 'openInterest': 678, 'change': 0.0, 'ask': 2.6, 'inTheMoney': True, 'contractSymbol': 'LC180119C00003500', 'impliedVolatility': 3.7148444628906248}
4.0	2018-01-19	call	LC180119C00004000	0.5	0.45	0.5	-0.19999999	-28.571426	5.0	1080.0	0.51562984375	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-22 15:04:27	{'strike': 4.0, 'expiration': 1516320000, 'percentChange': -28.571426, 'contractSize': 'REGULAR', 'bid': 0.45, 'lastPrice': 0.5, 'lastTradeDate': 1511363067, 'volume': 5, 'currency': 'USD', 'openInterest': 1080, 'change': -0.19999999, 'ask': 0.5, 'inTheMoney': True, 'contractSymbol': 'LC180119C00004000', 'impliedVolatility': 0.51562984375}
4.5	2018-01-19	call	LC180119C00004500	0.25	0.2	0.25	0.0	0.0	20.0	2456.0	0.49609878906250005	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-21 18:23:51	{'strike': 4.5, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 0.2, 'lastPrice': 0.25, 'lastTradeDate': 1511288631, 'volume': 20, 'currency': 'USD', 'openInterest': 2456, 'change': 0.0, 'ask': 0.25, 'inTheMoney': False, 'contractSymbol': 'LC180119C00004500', 'impliedVolatility': 0.49609878906250005}
5.0	2018-01-19	call	LC180119C00005000	0.11	0.1	0.15	-0.009999998	-8.333332	22.0	9270.0	0.51562984375	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-22 16:32:59	{'strike': 5.0, 'expiration': 1516320000, 'percentChange': -8.333332, 'contractSize': 'REGULAR', 'bid': 0.1, 'lastPrice': 0.11, 'lastTradeDate': 1511368379, 'volume': 22, 'currency': 'USD', 'openInterest': 9270, 'change': -0.009999998, 'ask': 0.15, 'inTheMoney': False, 'contractSymbol': 'LC180119C00005000', 'impliedVolatility': 0.51562984375}
5.5	2018-01-19	call	LC180119C00005500	0.08	0.05	0.1	0.029999997	59.999996	12.0	10734.0	0.5664105859375	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-17 17:25:59	{'strike': 5.5, 'expiration': 1516320000, 'percentChange': 59.999996, 'contractSize': 'REGULAR', 'bid': 0.05, 'lastPrice': 0.08, 'lastTradeDate': 1510939559, 'volume': 12, 'currency': 'USD', 'openInterest': 10734, 'change': 0.029999997, 'ask': 0.1, 'inTheMoney': False, 'contractSymbol': 'LC180119C00005500', 'impliedVolatility': 0.5664105859375}
6.0	2018-01-19	call	LC180119C00006000	0.02	0.0	0.05	0.0	0.0	5.0	12655.0	0.523442265625	LC	False	LC	4.28	2017-11-22 20:53:58	2017-11-21 18:43:25	{'strike': 6.0, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'bid': 0.0, 'lastPrice': 0.02, 'lastTradeDate': 1511289805, 'volume': 5, 'currency': 'USD', 'openInterest': 12655, 'change': 0.0, 'ask': 0.05, 'inTheMoney': False, 'contractSymbol': 'LC180119C00006000', 'impliedVolatility': 0.523442265625}
