Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
0.5	2018-01-19	call	GRPN180119C00000500	3.01	4.25	4.35	0.0	0.0	1.0	1.0	1.0000000000000003e-05	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-06-03 03:56:52	{'strike': 0.5, 'percentChange': 0.0, 'volume': 1, 'contractSize': 'REGULAR', 'bid': 4.25, 'lastTradeDate': 1496462212, 'openInterest': 1, 'ask': 4.35, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00000500', 'lastPrice': 3.01, 'currency': 'USD', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05}
1.0	2018-01-19	call	GRPN180119C00001000	4.5	4.35	4.45	0.0	0.0	1.0	26.0	1.0000000000000003e-05	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-06 17:08:00	{'strike': 1.0, 'percentChange': 0.0, 'volume': 1, 'contractSize': 'REGULAR', 'bid': 4.35, 'lastTradeDate': 1509988080, 'openInterest': 26, 'ask': 4.45, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00001000', 'lastPrice': 4.5, 'currency': 'USD', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05}
1.5	2018-01-19	call	GRPN180119C00001500	3.75	3.9	4.0	0.0	0.0	70.0	66.0	1.0000000000000003e-05	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-15 16:41:12	{'strike': 1.5, 'percentChange': 0.0, 'volume': 70, 'contractSize': 'REGULAR', 'bid': 3.9, 'lastTradeDate': 1510764072, 'openInterest': 66, 'ask': 4.0, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00001500', 'lastPrice': 3.75, 'currency': 'USD', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05}
2.0	2018-01-19	call	GRPN180119C00002000	3.5	3.2	3.55	-0.049999952	-1.4084494	10.0	495.0	1.0000000000000003e-05	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-17 14:31:46	{'strike': 2.0, 'percentChange': -1.4084494, 'volume': 10, 'contractSize': 'REGULAR', 'bid': 3.2, 'lastTradeDate': 1510929106, 'openInterest': 495, 'ask': 3.55, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00002000', 'lastPrice': 3.5, 'currency': 'USD', 'change': -0.049999952, 'impliedVolatility': 1.0000000000000003e-05}
2.5	2018-01-19	call	GRPN180119C00002500	2.79	2.91	3.0	0.0	0.0	8.0	277.0	1.0000000000000003e-05	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-16 16:21:02	{'strike': 2.5, 'percentChange': 0.0, 'volume': 8, 'contractSize': 'REGULAR', 'bid': 2.91, 'lastTradeDate': 1510849262, 'openInterest': 277, 'ask': 3.0, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00002500', 'lastPrice': 2.79, 'currency': 'USD', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05}
3.0	2018-01-19	call	GRPN180119C00003000	2.68	2.7	2.75	0.0	0.0	10.0	4091.0	1.0234423828125	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-22 19:37:43	{'strike': 3.0, 'percentChange': 0.0, 'volume': 10, 'contractSize': 'REGULAR', 'bid': 2.7, 'lastTradeDate': 1511379463, 'openInterest': 4091, 'ask': 2.75, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00003000', 'lastPrice': 2.68, 'currency': 'USD', 'change': 0.0, 'impliedVolatility': 1.0234423828125}
3.5	2018-01-19	call	GRPN180119C00003500	2.25	2.19	2.25	0.1500001	7.142862	5.0	3123.0	0.7812521875	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-24 14:31:36	{'strike': 3.5, 'percentChange': 7.142862, 'volume': 5, 'contractSize': 'REGULAR', 'bid': 2.19, 'lastTradeDate': 1511533896, 'openInterest': 3123, 'ask': 2.25, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00003500', 'lastPrice': 2.25, 'currency': 'USD', 'change': 0.1500001, 'impliedVolatility': 0.7812521875}
4.0	2018-01-19	call	GRPN180119C00004000	1.73	1.68	1.76	-0.00999999	-0.5747121	10.0	4431.0	0.6015664843750002	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-27 20:30:31	{'strike': 4.0, 'percentChange': -0.5747121, 'volume': 10, 'contractSize': 'REGULAR', 'bid': 1.68, 'lastTradeDate': 1511814631, 'openInterest': 4431, 'ask': 1.76, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00004000', 'lastPrice': 1.73, 'currency': 'USD', 'change': -0.00999999, 'impliedVolatility': 0.6015664843750002}
4.5	2018-01-19	call	GRPN180119C00004500	1.14	1.2	1.28	-0.13999999	-10.937499	8.0	3142.0	0.5898478515625001	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-27 16:53:36	{'strike': 4.5, 'percentChange': -10.937499, 'volume': 8, 'contractSize': 'REGULAR', 'bid': 1.2, 'lastTradeDate': 1511801616, 'openInterest': 3142, 'ask': 1.28, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00004500', 'lastPrice': 1.14, 'currency': 'USD', 'change': -0.13999999, 'impliedVolatility': 0.5898478515625001}
5.0	2018-01-19	call	GRPN180119C00005000	0.78	0.77	0.79	-0.02000004	-2.500005	257.0	22119.0	0.414068359375	GRPN	False	GRPN	5.69	2017-11-27 21:00:01	2017-11-27 20:50:22	{'strike': 5.0, 'percentChange': -2.500005, 'volume': 257, 'contractSize': 'REGULAR', 'bid': 0.77, 'lastTradeDate': 1511815822, 'openInterest': 22119, 'ask': 0.79, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'GRPN180119C00005000', 'lastPrice': 0.78, 'currency': 'USD', 'change': -0.02000004, 'impliedVolatility': 0.414068359375}
