Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
27.5	2018-01-19	call	NKE180119C00027500	26.2	25.55	25.65	0.0	0.0	1.0	5.0	1.0000000000000003e-05	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-09-22 14:39:49	{'strike': 27.5, 'lastTradeDate': 1506091189, 'contractSize': 'REGULAR', 'bid': 25.55, 'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 5, 'ask': 25.65, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00027500', 'lastPrice': 26.2, 'change': 0.0}
30.0	2018-01-19	call	NKE180119C00030000	26.1	25.0	26.2	-0.29999924	-1.1363608	2.0	64.0	1.0000000000000003e-05	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-10 20:23:29	{'strike': 30.0, 'lastTradeDate': 1510345409, 'contractSize': 'REGULAR', 'bid': 25.0, 'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 64, 'ask': 26.2, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': -1.1363608, 'contractSymbol': 'NKE180119C00030000', 'lastPrice': 26.1, 'change': -0.29999924}
32.5	2018-01-19	call	NKE180119C00032500	25.5	23.8	27.65	1.0	4.0816326	20.0	23.0	1.0546922265625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-03-17 13:44:42	{'strike': 32.5, 'lastTradeDate': 1489758282, 'contractSize': 'REGULAR', 'bid': 23.8, 'inTheMoney': True, 'currency': 'USD', 'volume': 20, 'openInterest': 23, 'ask': 27.65, 'impliedVolatility': 1.0546922265625, 'expiration': 1516320000, 'percentChange': 4.0816326, 'contractSymbol': 'NKE180119C00032500', 'lastPrice': 25.5, 'change': 1.0}
35.0	2018-01-19	call	NKE180119C00035000	20.92	23.7	24.75	0.0	0.0	4.0	116.0	0.70898728515625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-14 15:58:46	{'strike': 35.0, 'lastTradeDate': 1510675126, 'contractSize': 'REGULAR', 'bid': 23.7, 'inTheMoney': True, 'currency': 'USD', 'volume': 4, 'openInterest': 116, 'ask': 24.75, 'impliedVolatility': 0.70898728515625, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00035000', 'lastPrice': 20.92, 'change': 0.0}
37.5	2018-01-19	call	NKE180119C00037500	21.21	21.55	22.3	2.209999	11.631575	2.0	274.0	0.6679720703125002	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-17 16:38:46	{'strike': 37.5, 'lastTradeDate': 1510936726, 'contractSize': 'REGULAR', 'bid': 21.55, 'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 274, 'ask': 22.3, 'impliedVolatility': 0.6679720703125002, 'expiration': 1516320000, 'percentChange': 11.631575, 'contractSymbol': 'NKE180119C00037500', 'lastPrice': 21.21, 'change': 2.209999}
40.0	2018-01-19	call	NKE180119C00040000	19.5	19.55	19.9	0.20000076	1.0362734	10.0	1330.0	0.5312546875	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 15:20:15	{'strike': 40.0, 'lastTradeDate': 1511796015, 'contractSize': 'REGULAR', 'bid': 19.55, 'inTheMoney': True, 'currency': 'USD', 'volume': 10, 'openInterest': 1330, 'ask': 19.9, 'impliedVolatility': 0.5312546875, 'expiration': 1516320000, 'percentChange': 1.0362734, 'contractSymbol': 'NKE180119C00040000', 'lastPrice': 19.5, 'change': 0.20000076}
42.5	2018-01-19	call	NKE180119C00042500	16.73	16.5	17.1	0.0	0.0	1.0	1571.0	1.0000000000000003e-05	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-21 15:36:03	{'strike': 42.5, 'lastTradeDate': 1511278563, 'contractSize': 'REGULAR', 'bid': 16.5, 'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 1571, 'ask': 17.1, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00042500', 'lastPrice': 16.73, 'change': 0.0}
45.0	2018-01-19	call	NKE180119C00045000	14.62	14.6	14.8	0.3699999	2.5964904	21.0	5872.0	0.437505625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:32:44	{'strike': 45.0, 'lastTradeDate': 1511814764, 'contractSize': 'REGULAR', 'bid': 14.6, 'inTheMoney': True, 'currency': 'USD', 'volume': 21, 'openInterest': 5872, 'ask': 14.8, 'impliedVolatility': 0.437505625, 'expiration': 1516320000, 'percentChange': 2.5964904, 'contractSymbol': 'NKE180119C00045000', 'lastPrice': 14.62, 'change': 0.3699999}
47.5	2018-01-19	call	NKE180119C00047500	11.78	11.6	12.3	0.0	0.0	13.0	1407.0	0.367193828125	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-21 17:33:48	{'strike': 47.5, 'lastTradeDate': 1511285628, 'contractSize': 'REGULAR', 'bid': 11.6, 'inTheMoney': True, 'currency': 'USD', 'volume': 13, 'openInterest': 1407, 'ask': 12.3, 'impliedVolatility': 0.367193828125, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00047500', 'lastPrice': 11.78, 'change': 0.0}
50.0	2018-01-19	call	NKE180119C00050000	9.66	9.65	9.95	0.26000023	2.76596	12.0	4692.0	0.34766277343749996	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:20:05	{'strike': 50.0, 'lastTradeDate': 1511814005, 'contractSize': 'REGULAR', 'bid': 9.65, 'inTheMoney': True, 'currency': 'USD', 'volume': 12, 'openInterest': 4692, 'ask': 9.95, 'impliedVolatility': 0.34766277343749996, 'expiration': 1516320000, 'percentChange': 2.76596, 'contractSymbol': 'NKE180119C00050000', 'lastPrice': 9.66, 'change': 0.26000023}
52.5	2018-01-19	call	NKE180119C00052500	7.3	7.25	7.45	0.3000002	4.285717	11.0	12978.0	0.27246821289062495	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:48:02	{'strike': 52.5, 'lastTradeDate': 1511815682, 'contractSize': 'REGULAR', 'bid': 7.25, 'inTheMoney': True, 'currency': 'USD', 'volume': 11, 'openInterest': 12978, 'ask': 7.45, 'impliedVolatility': 0.27246821289062495, 'expiration': 1516320000, 'percentChange': 4.285717, 'contractSymbol': 'NKE180119C00052500', 'lastPrice': 7.3, 'change': 0.3000002}
55.0	2018-01-19	call	NKE180119C00055000	5.12	5.1	5.2	0.25	5.1334705	235.0	27361.0	0.24243921630859372	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:39:00	{'strike': 55.0, 'lastTradeDate': 1511815140, 'contractSize': 'REGULAR', 'bid': 5.1, 'inTheMoney': True, 'currency': 'USD', 'volume': 235, 'openInterest': 27361, 'ask': 5.2, 'impliedVolatility': 0.24243921630859372, 'expiration': 1516320000, 'percentChange': 5.1334705, 'contractSymbol': 'NKE180119C00055000', 'lastPrice': 5.12, 'change': 0.25}
57.5	2018-01-19	call	NKE180119C00057500	3.25	3.2	3.35	0.17000008	5.519483	129.0	24190.0	0.2356033471679687	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:52:31	{'strike': 57.5, 'lastTradeDate': 1511815951, 'contractSize': 'REGULAR', 'bid': 3.2, 'inTheMoney': True, 'currency': 'USD', 'volume': 129, 'openInterest': 24190, 'ask': 3.35, 'impliedVolatility': 0.2356033471679687, 'expiration': 1516320000, 'percentChange': 5.519483, 'contractSymbol': 'NKE180119C00057500', 'lastPrice': 3.25, 'change': 0.17000008}
60.0	2018-01-19	call	NKE180119C00060000	1.83	1.79	1.9	0.16000009	9.580844	2309.0	17529.0	0.22657023437499998	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:59:39	{'strike': 60.0, 'lastTradeDate': 1511816379, 'contractSize': 'REGULAR', 'bid': 1.79, 'inTheMoney': False, 'currency': 'USD', 'volume': 2309, 'openInterest': 17529, 'ask': 1.9, 'impliedVolatility': 0.22657023437499998, 'expiration': 1516320000, 'percentChange': 9.580844, 'contractSymbol': 'NKE180119C00060000', 'lastPrice': 1.83, 'change': 0.16000009}
62.5	2018-01-19	call	NKE180119C00062500	0.86	0.86	0.9	0.030000031	3.614462	294.0	8561.0	0.21558401611328126	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:37:27	{'strike': 62.5, 'lastTradeDate': 1511815047, 'contractSize': 'REGULAR', 'bid': 0.86, 'inTheMoney': False, 'currency': 'USD', 'volume': 294, 'openInterest': 8561, 'ask': 0.9, 'impliedVolatility': 0.21558401611328126, 'expiration': 1516320000, 'percentChange': 3.614462, 'contractSymbol': 'NKE180119C00062500', 'lastPrice': 0.86, 'change': 0.030000031}
65.0	2018-01-19	call	NKE180119C00065000	0.37	0.36	0.39	0.03999999	12.121209	139.0	6769.0	0.21411918701171873	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 20:36:28	{'strike': 65.0, 'lastTradeDate': 1511814988, 'contractSize': 'REGULAR', 'bid': 0.36, 'inTheMoney': False, 'currency': 'USD', 'volume': 139, 'openInterest': 6769, 'ask': 0.39, 'impliedVolatility': 0.21411918701171873, 'expiration': 1516320000, 'percentChange': 12.121209, 'contractSymbol': 'NKE180119C00065000', 'lastPrice': 0.37, 'change': 0.03999999}
67.5	2018-01-19	call	NKE180119C00067500	0.15	0.12	0.17	-0.030000001	-16.666668	21.0	2494.0	0.21973436523437498	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-24 16:10:25	{'strike': 67.5, 'lastTradeDate': 1511539825, 'contractSize': 'REGULAR', 'bid': 0.12, 'inTheMoney': False, 'currency': 'USD', 'volume': 21, 'openInterest': 2494, 'ask': 0.17, 'impliedVolatility': 0.21973436523437498, 'expiration': 1516320000, 'percentChange': -16.666668, 'contractSymbol': 'NKE180119C00067500', 'lastPrice': 0.15, 'change': -0.030000001}
70.0	2018-01-19	call	NKE180119C00070000	0.02	0.04	0.11	-0.07000001	-77.77779	210.0	5510.0	0.24463645996093752	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-24 16:57:54	{'strike': 70.0, 'lastTradeDate': 1511542674, 'contractSize': 'REGULAR', 'bid': 0.04, 'inTheMoney': False, 'currency': 'USD', 'volume': 210, 'openInterest': 5510, 'ask': 0.11, 'impliedVolatility': 0.24463645996093752, 'expiration': 1516320000, 'percentChange': -77.77779, 'contractSymbol': 'NKE180119C00070000', 'lastPrice': 0.02, 'change': -0.07000001}
72.5	2018-01-19	call	NKE180119C00072500	0.02	0.02	0.07	-0.04	-66.66667	10.0	1022.0	0.264655791015625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 17:49:10	{'strike': 72.5, 'lastTradeDate': 1511804950, 'contractSize': 'REGULAR', 'bid': 0.02, 'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 1022, 'ask': 0.07, 'impliedVolatility': 0.264655791015625, 'expiration': 1516320000, 'percentChange': -66.66667, 'contractSymbol': 'NKE180119C00072500', 'lastPrice': 0.02, 'change': -0.04}
75.0	2018-01-19	call	NKE180119C00075000	0.03	0.02	0.03	-0.01	-25.0	50.0	943.0	0.26563234375	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-27 18:11:40	{'strike': 75.0, 'lastTradeDate': 1511806300, 'contractSize': 'REGULAR', 'bid': 0.02, 'inTheMoney': False, 'currency': 'USD', 'volume': 50, 'openInterest': 943, 'ask': 0.03, 'impliedVolatility': 0.26563234375, 'expiration': 1516320000, 'percentChange': -25.0, 'contractSymbol': 'NKE180119C00075000', 'lastPrice': 0.03, 'change': -0.01}
77.5	2018-01-19	call	NKE180119C00077500	0.01	0.01	0.03	-0.02	-66.66667	2.0	433.0	0.29883513671874995	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-10-20 14:59:33	{'strike': 77.5, 'lastTradeDate': 1508511573, 'contractSize': 'REGULAR', 'bid': 0.01, 'inTheMoney': False, 'currency': 'USD', 'volume': 2, 'openInterest': 433, 'ask': 0.03, 'impliedVolatility': 0.29883513671874995, 'expiration': 1516320000, 'percentChange': -66.66667, 'contractSymbol': 'NKE180119C00077500', 'lastPrice': 0.01, 'change': -0.02}
80.0	2018-01-19	call	NKE180119C00080000	0.01	0.0	0.04	0.0	0.0	20.0	701.0	0.34180345703125	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-11-01 15:23:35	{'strike': 80.0, 'lastTradeDate': 1509549815, 'contractSize': 'REGULAR', 'bid': 0.0, 'inTheMoney': False, 'currency': 'USD', 'volume': 20, 'openInterest': 701, 'ask': 0.04, 'impliedVolatility': 0.34180345703125, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00080000', 'lastPrice': 0.01, 'change': 0.0}
82.5	2018-01-19	call	NKE180119C00082500	0.01	0.0	0.03	0.0	0.0	10.0	122.0	0.35938140625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-10-09 13:30:28	{'strike': 82.5, 'lastTradeDate': 1507555828, 'contractSize': 'REGULAR', 'bid': 0.0, 'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 122, 'ask': 0.03, 'impliedVolatility': 0.35938140625, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00082500', 'lastPrice': 0.01, 'change': 0.0}
85.0	2018-01-19	call	NKE180119C00085000	0.01	0.0	0.03	-0.04	-79.99999	2.0	568.0	0.38672488281249995	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-10-20 13:56:11	{'strike': 85.0, 'lastTradeDate': 1508507771, 'contractSize': 'REGULAR', 'bid': 0.0, 'inTheMoney': False, 'currency': 'USD', 'volume': 2, 'openInterest': 568, 'ask': 0.03, 'impliedVolatility': 0.38672488281249995, 'expiration': 1516320000, 'percentChange': -79.99999, 'contractSymbol': 'NKE180119C00085000', 'lastPrice': 0.01, 'change': -0.04}
87.5	2018-01-19	call	NKE180119C00087500	0.03	0.01	0.04	0.0	0.0	2.0	278.0	0.42774009765625004	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-04-18 13:39:50	{'strike': 87.5, 'lastTradeDate': 1492522790, 'contractSize': 'REGULAR', 'bid': 0.01, 'inTheMoney': False, 'currency': 'USD', 'volume': 2, 'openInterest': 278, 'ask': 0.04, 'impliedVolatility': 0.42774009765625004, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00087500', 'lastPrice': 0.03, 'change': 0.0}
90.0	2018-01-19	call	NKE180119C00090000	1.08	0.01	0.03	0.0	0.0	1.0	600.0	0.437505625	NKE	False	NKE	59.63	2017-11-27 21:01:07	2017-08-21 13:33:12	{'strike': 90.0, 'lastTradeDate': 1503322392, 'contractSize': 'REGULAR', 'bid': 0.01, 'inTheMoney': False, 'currency': 'USD', 'volume': 1, 'openInterest': 600, 'ask': 0.03, 'impliedVolatility': 0.437505625, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'NKE180119C00090000', 'lastPrice': 1.08, 'change': 0.0}
