Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
20.0	2018-01-19	call	TSLA180119C00020000	289.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-04-24 14:21:23	{'strike': 20.0, 'lastTradeDate': 1493043683, 'contractSize': 'REGULAR', 'bid': 0.0, 'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 0, 'ask': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00020000', 'lastPrice': 289.0, 'change': 0.0}
25.0	2018-01-19	call	TSLA180119C00025000	175.0	206.55	211.5	0.0	0.0	0.0	0.0	1.0000000000000003e-05	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2016-03-21 22:08:28	{'strike': 25.0, 'lastTradeDate': 1458598108, 'contractSize': 'REGULAR', 'bid': 206.55, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'openInterest': 0, 'ask': 211.5, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00025000', 'lastPrice': 175.0, 'change': 0.0}
30.0	2018-01-19	call	TSLA180119C00030000	325.15	313.3	316.25	0.0	0.0	4.0	0.0	11.804690122070314	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-06-12 13:30:37	{'strike': 30.0, 'lastTradeDate': 1497274237, 'contractSize': 'REGULAR', 'bid': 313.3, 'inTheMoney': True, 'currency': 'USD', 'volume': 4, 'openInterest': 0, 'ask': 316.25, 'impliedVolatility': 11.804690122070314, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00030000', 'lastPrice': 325.15, 'change': 0.0}
40.0	2018-01-19	call	TSLA180119C00040000	261.0	264.1	267.6	0.0	0.0	10.0	262.0	1.0000000000000003e-05	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-11-02 14:25:20	{'strike': 40.0, 'lastTradeDate': 1509632720, 'contractSize': 'REGULAR', 'bid': 264.1, 'inTheMoney': True, 'currency': 'USD', 'volume': 10, 'openInterest': 262, 'ask': 267.6, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00040000', 'lastPrice': 261.0, 'change': 0.0}
50.0	2018-01-19	call	TSLA180119C00050000	261.0	262.6	267.4	0.0	0.0	1.0	50.0	2.2460981347656244	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-11-13 16:56:54	{'strike': 50.0, 'lastTradeDate': 1510592214, 'contractSize': 'REGULAR', 'bid': 262.6, 'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 50, 'ask': 267.4, 'impliedVolatility': 2.2460981347656244, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00050000', 'lastPrice': 261.0, 'change': 0.0}
55.0	2018-01-19	call	TSLA180119C00055000	194.5	288.3	291.25	0.0	0.0	2.0	0.0	6.109865643920897	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-06-03 03:51:28	{'strike': 55.0, 'lastTradeDate': 1496461888, 'contractSize': 'REGULAR', 'bid': 288.3, 'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 0, 'ask': 291.25, 'impliedVolatility': 6.109865643920897, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00055000', 'lastPrice': 194.5, 'change': 0.0}
60.0	2018-01-19	call	TSLA180119C00060000	141.89	146.0	150.5	0.0	0.0	6.0	6.0	1.0000000000000003e-05	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2016-09-21 17:38:45	{'strike': 60.0, 'lastTradeDate': 1474479525, 'contractSize': 'REGULAR', 'bid': 146.0, 'inTheMoney': True, 'currency': 'USD', 'volume': 6, 'openInterest': 6, 'ask': 150.5, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00060000', 'lastPrice': 141.89, 'change': 0.0}
65.0	2018-01-19	call	TSLA180119C00065000	247.5	229.9	234.0	0.0	0.0	1.0	37.0	1.0000000000000003e-05	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-04-10 14:03:02	{'strike': 65.0, 'lastTradeDate': 1491832982, 'contractSize': 'REGULAR', 'bid': 229.9, 'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 37, 'ask': 234.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00065000', 'lastPrice': 247.5, 'change': 0.0}
70.0	2018-01-19	call	TSLA180119C00070000	129.0	272.6	276.3	0.0	0.0	0.0	3.0	5.0490759542846675	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-06-03 03:51:28	{'strike': 70.0, 'lastTradeDate': 1496461888, 'contractSize': 'REGULAR', 'bid': 272.6, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'openInterest': 3, 'ask': 276.3, 'impliedVolatility': 5.0490759542846675, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00070000', 'lastPrice': 129.0, 'change': 0.0}
75.0	2018-01-19	call	TSLA180119C00075000	255.79	267.5	271.4	0.0	0.0	2.0	3.0	4.791019636230469	TSLA	False	TSLA	316.81	2017-11-27 21:00:01	2017-07-31 14:49:46	{'strike': 75.0, 'lastTradeDate': 1501512586, 'contractSize': 'REGULAR', 'bid': 267.5, 'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 3, 'ask': 271.4, 'impliedVolatility': 4.791019636230469, 'expiration': 1516320000, 'percentChange': 0.0, 'contractSymbol': 'TSLA180119C00075000', 'lastPrice': 255.79, 'change': 0.0}
