Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
15.0	2018-01-19	call	ATVI180119C00015000	51.15	50.75	51.45	1.800003	3.6474228	3.0	37.0	1.65625171875	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-24 17:25:49	{'lastTradeDate': 1511544349, 'expiration': 1516320000, 'bid': 50.75, 'contractSymbol': 'ATVI180119C00015000', 'change': 1.800003, 'strike': 15.0, 'percentChange': 3.6474228, 'lastPrice': 51.15, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 37, 'volume': 3, 'ask': 51.45, 'contractSize': 'REGULAR', 'impliedVolatility': 1.65625171875}
18.0	2018-01-19	call	ATVI180119C00018000	43.5	43.9	46.4	0.0	0.0	1.0	15.0	1.0000000000000003e-05	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-10-23 19:16:28	{'lastTradeDate': 1508786188, 'expiration': 1516320000, 'bid': 43.9, 'contractSymbol': 'ATVI180119C00018000', 'change': 0.0, 'strike': 18.0, 'percentChange': 0.0, 'lastPrice': 43.5, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 15, 'volume': 1, 'ask': 46.4, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
20.0	2018-01-19	call	ATVI180119C00020000	44.4	45.75	46.4	0.0	0.0	4.0	110.0	1.2578162109375	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-21 19:56:27	{'lastTradeDate': 1511294187, 'expiration': 1516320000, 'bid': 45.75, 'contractSymbol': 'ATVI180119C00020000', 'change': 0.0, 'strike': 20.0, 'percentChange': 0.0, 'lastPrice': 44.4, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 110, 'volume': 4, 'ask': 46.4, 'contractSize': 'REGULAR', 'impliedVolatility': 1.2578162109375}
23.0	2018-01-19	call	ATVI180119C00023000	40.8	39.5	42.05	0.8999977	2.2556334	2.0	167.0	1.0000000000000003e-05	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-17 18:25:58	{'lastTradeDate': 1510943158, 'expiration': 1516320000, 'bid': 39.5, 'contractSymbol': 'ATVI180119C00023000', 'change': 0.8999977, 'strike': 23.0, 'percentChange': 2.2556334, 'lastPrice': 40.8, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 167, 'volume': 2, 'ask': 42.05, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
25.0	2018-01-19	call	ATVI180119C00025000	41.08	41.0	41.4	0.70000076	1.7335333	6.0	131.0	1.2695349023437497	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-24 17:57:25	{'lastTradeDate': 1511546245, 'expiration': 1516320000, 'bid': 41.0, 'contractSymbol': 'ATVI180119C00025000', 'change': 0.70000076, 'strike': 25.0, 'percentChange': 1.7335333, 'lastPrice': 41.08, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 131, 'volume': 6, 'ask': 41.4, 'contractSize': 'REGULAR', 'impliedVolatility': 1.2695349023437497}
28.0	2018-01-19	call	ATVI180119C00028000	34.1	34.65	34.9	0.0	0.0	1.0	80.0	1.0000000000000003e-05	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-10-18 17:52:47	{'lastTradeDate': 1508349167, 'expiration': 1516320000, 'bid': 34.65, 'contractSymbol': 'ATVI180119C00028000', 'change': 0.0, 'strike': 28.0, 'percentChange': 0.0, 'lastPrice': 34.1, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 80, 'volume': 1, 'ask': 34.9, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
30.0	2018-01-19	call	ATVI180119C00030000	36.15	36.0	36.45	0.6000023	1.6877701	4.0	211.0	1.0742233789062503	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-24 16:16:02	{'lastTradeDate': 1511540162, 'expiration': 1516320000, 'bid': 36.0, 'contractSymbol': 'ATVI180119C00030000', 'change': 0.6000023, 'strike': 30.0, 'percentChange': 1.6877701, 'lastPrice': 36.15, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 211, 'volume': 4, 'ask': 36.45, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0742233789062503}
32.0	2018-01-19	call	ATVI180119C00032000	33.99	32.2	35.9	0.7900009	2.379521	10.0	252.0	0.6875031250000001	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-27 15:25:03	{'lastTradeDate': 1511796303, 'expiration': 1516320000, 'bid': 32.2, 'contractSymbol': 'ATVI180119C00032000', 'change': 0.7900009, 'strike': 32.0, 'percentChange': 2.379521, 'lastPrice': 33.99, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 252, 'volume': 10, 'ask': 35.9, 'contractSize': 'REGULAR', 'impliedVolatility': 0.6875031250000001}
35.0	2018-01-19	call	ATVI180119C00035000	31.5	31.15	31.45	3.6100006	12.94371	2.0	2079.0	0.93945373046875	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-28 18:00:04	{'lastTradeDate': 1511892004, 'expiration': 1516320000, 'bid': 31.15, 'contractSymbol': 'ATVI180119C00035000', 'change': 3.6100006, 'strike': 35.0, 'percentChange': 12.94371, 'lastPrice': 31.5, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 2079, 'volume': 2, 'ask': 31.45, 'contractSize': 'REGULAR', 'impliedVolatility': 0.93945373046875}
37.0	2018-01-19	call	ATVI180119C00037000	26.1	25.55	27.45	0.0	0.0	1.0	901.0	1.0000000000000003e-05	ATVI	False	ATVI	66.04	2017-11-28 19:00:41	2017-11-15 19:33:32	{'lastTradeDate': 1510774412, 'expiration': 1516320000, 'bid': 25.55, 'contractSymbol': 'ATVI180119C00037000', 'change': 0.0, 'strike': 37.0, 'percentChange': 0.0, 'lastPrice': 26.1, 'inTheMoney': True, 'currency': 'USD', 'openInterest': 901, 'volume': 1, 'ask': 27.45, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
