Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
10.0	2018-01-19	call	GME180119C00010000	9.41	9.15	9.8	0.0	0.0	5.0	0.0	1.3007847460937496	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-29 21:24:23	{'currency': 'USD', 'contractSymbol': 'GME180119C00010000', 'expiration': 1516320000, 'impliedVolatility': 1.3007847460937496, 'ask': 9.8, 'strike': 10.0, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 9.41, 'bid': 9.15, 'volume': 5, 'openInterest': 0, 'lastTradeDate': 1511990663, 'change': 0.0, 'inTheMoney': True}
11.0	2018-01-19	call	GME180119C00011000	8.7	8.2	8.65	2.33	36.57771	240.0	84.0	1.083988955078125	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-29 18:09:53	{'currency': 'USD', 'contractSymbol': 'GME180119C00011000', 'expiration': 1516320000, 'impliedVolatility': 1.083988955078125, 'ask': 8.65, 'strike': 11.0, 'percentChange': 36.57771, 'contractSize': 'REGULAR', 'lastPrice': 8.7, 'bid': 8.2, 'volume': 240, 'openInterest': 84, 'lastTradeDate': 1511978993, 'change': 2.33, 'inTheMoney': True}
12.0	2018-01-19	call	GME180119C00012000	7.56	7.35	7.65	0.36000013	5.000002	6.0	7.0	1.01953615234375	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-29 19:15:35	{'currency': 'USD', 'contractSymbol': 'GME180119C00012000', 'expiration': 1516320000, 'impliedVolatility': 1.01953615234375, 'ask': 7.65, 'strike': 12.0, 'percentChange': 5.000002, 'contractSize': 'REGULAR', 'lastPrice': 7.56, 'bid': 7.35, 'volume': 6, 'openInterest': 7, 'lastTradeDate': 1511982935, 'change': 0.36000013, 'inTheMoney': True}
13.0	2018-01-19	call	GME180119C00013000	6.58	6.35	6.65	2.78	73.1579	24.0	31.0	0.8818371191406249	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-29 19:14:35	{'currency': 'USD', 'contractSymbol': 'GME180119C00013000', 'expiration': 1516320000, 'impliedVolatility': 0.8818371191406249, 'ask': 6.65, 'strike': 13.0, 'percentChange': 73.1579, 'contractSize': 'REGULAR', 'lastPrice': 6.58, 'bid': 6.35, 'volume': 24, 'openInterest': 31, 'lastTradeDate': 1511982875, 'change': 2.78, 'inTheMoney': True}
14.0	2018-01-19	call	GME180119C00014000	5.6	5.3	5.65	1.29	29.930395	24.0	64.0	0.7324245507812499	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-29 19:20:37	{'currency': 'USD', 'contractSymbol': 'GME180119C00014000', 'expiration': 1516320000, 'impliedVolatility': 0.7324245507812499, 'ask': 5.65, 'strike': 14.0, 'percentChange': 29.930395, 'contractSize': 'REGULAR', 'lastPrice': 5.6, 'bid': 5.3, 'volume': 24, 'openInterest': 64, 'lastTradeDate': 1511983237, 'change': 1.29, 'inTheMoney': True}
15.0	2018-01-19	call	GME180119C00015000	4.46	4.3	4.45	1.4100001	46.22951	16.0	116.0	0.53320779296875	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-30 16:06:14	{'currency': 'USD', 'contractSymbol': 'GME180119C00015000', 'expiration': 1516320000, 'impliedVolatility': 0.53320779296875, 'ask': 4.45, 'strike': 15.0, 'percentChange': 46.22951, 'contractSize': 'REGULAR', 'lastPrice': 4.46, 'bid': 4.3, 'volume': 16, 'openInterest': 116, 'lastTradeDate': 1512057974, 'change': 1.4100001, 'inTheMoney': True}
16.0	2018-01-19	call	GME180119C00016000	3.47	3.4	3.6	1.24	55.60538	28.0	87.0	0.508793974609375	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-30 15:09:24	{'currency': 'USD', 'contractSymbol': 'GME180119C00016000', 'expiration': 1516320000, 'impliedVolatility': 0.508793974609375, 'ask': 3.6, 'strike': 16.0, 'percentChange': 55.60538, 'contractSize': 'REGULAR', 'lastPrice': 3.47, 'bid': 3.4, 'volume': 28, 'openInterest': 87, 'lastTradeDate': 1512054564, 'change': 1.24, 'inTheMoney': True}
17.0	2018-01-19	call	GME180119C00017000	2.63	2.63	2.78	1.2900001	96.26866	5.0	1900.0	0.526371923828125	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-30 16:42:49	{'currency': 'USD', 'contractSymbol': 'GME180119C00017000', 'expiration': 1516320000, 'impliedVolatility': 0.526371923828125, 'ask': 2.78, 'strike': 17.0, 'percentChange': 96.26866, 'contractSize': 'REGULAR', 'lastPrice': 2.63, 'bid': 2.63, 'volume': 5, 'openInterest': 1900, 'lastTradeDate': 1512060169, 'change': 1.2900001, 'inTheMoney': True}
18.0	2018-01-19	call	GME180119C00018000	1.93	1.89	1.94	1.0799999	127.058815	107.0	2215.0	0.45117736328125	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-30 17:44:57	{'currency': 'USD', 'contractSymbol': 'GME180119C00018000', 'expiration': 1516320000, 'impliedVolatility': 0.45117736328125, 'ask': 1.94, 'strike': 18.0, 'percentChange': 127.058815, 'contractSize': 'REGULAR', 'lastPrice': 1.93, 'bid': 1.89, 'volume': 107, 'openInterest': 2215, 'lastTradeDate': 1512063897, 'change': 1.0799999, 'inTheMoney': True}
19.0	2018-01-19	call	GME180119C00019000	1.3	1.28	1.35	0.67999995	109.677414	13.0	1924.0	0.43848217773437503	GME	False	GME	19.2	2017-11-30 18:26:00	2017-11-30 16:53:31	{'currency': 'USD', 'contractSymbol': 'GME180119C00019000', 'expiration': 1516320000, 'impliedVolatility': 0.43848217773437503, 'ask': 1.35, 'strike': 19.0, 'percentChange': 109.677414, 'contractSize': 'REGULAR', 'lastPrice': 1.3, 'bid': 1.28, 'volume': 13, 'openInterest': 1924, 'lastTradeDate': 1512060811, 'change': 0.67999995, 'inTheMoney': True}
