Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
17.5	2018-01-19	call	GRMN180119C00017500	0.0	19.5	23.6	0.0	0.0	0.0	0.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	1970-01-01 00:00:00	{'openInterest': 0, 'ask': 23.6, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 0, 'bid': 19.5, 'strike': 17.5, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 0.0, 'contractSymbol': 'GRMN180119C00017500', 'volume': 0, 'change': 0.0, 'contractSize': 'REGULAR'}
20.0	2018-01-19	call	GRMN180119C00020000	32.67	35.7	35.95	0.0	0.0	80.0	0.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-09-12 17:28:04	{'openInterest': 0, 'ask': 35.95, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1505237284, 'bid': 35.7, 'strike': 20.0, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 32.67, 'contractSymbol': 'GRMN180119C00020000', 'volume': 80, 'change': 0.0, 'contractSize': 'REGULAR'}
22.5	2018-01-19	call	GRMN180119C00022500	39.04	39.2	39.5	0.0	0.0	8.0	26.0	1.716798291015625	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-11-20 14:47:43	{'openInterest': 26, 'ask': 39.5, 'impliedVolatility': 1.716798291015625, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1511189263, 'bid': 39.2, 'strike': 22.5, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 39.04, 'contractSymbol': 'GRMN180119C00022500', 'volume': 8, 'change': 0.0, 'contractSize': 'REGULAR'}
25.0	2018-01-19	call	GRMN180119C00025000	30.8	30.65	30.95	1.1199989	3.7735813	4.0	41.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-10-20 17:54:39	{'openInterest': 41, 'ask': 30.95, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1508522079, 'bid': 30.65, 'strike': 25.0, 'currency': 'USD', 'percentChange': 3.7735813, 'lastPrice': 30.8, 'contractSymbol': 'GRMN180119C00025000', 'volume': 4, 'change': 1.1199989, 'contractSize': 'REGULAR'}
27.5	2018-01-19	call	GRMN180119C00027500	24.0	21.85	25.15	0.0	0.0	325.0	0.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-06-14 18:05:10	{'openInterest': 0, 'ask': 25.15, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1497463510, 'bid': 21.85, 'strike': 27.5, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 24.0, 'contractSymbol': 'GRMN180119C00027500', 'volume': 325, 'change': 0.0, 'contractSize': 'REGULAR'}
30.0	2018-01-19	call	GRMN180119C00030000	31.53	31.7	31.95	0.0	0.0	5.0	327.0	1.25390998046875	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-11-22 20:06:49	{'openInterest': 327, 'ask': 31.95, 'impliedVolatility': 1.25390998046875, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1511381209, 'bid': 31.7, 'strike': 30.0, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 31.53, 'contractSymbol': 'GRMN180119C00030000', 'volume': 5, 'change': 0.0, 'contractSize': 'REGULAR'}
32.5	2018-01-19	call	GRMN180119C00032500	19.9	18.45	22.7	0.0	0.0	200.0	1.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-06-03 03:56:29	{'openInterest': 1, 'ask': 22.7, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1496462189, 'bid': 18.45, 'strike': 32.5, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 19.9, 'contractSymbol': 'GRMN180119C00032500', 'volume': 200, 'change': 0.0, 'contractSize': 'REGULAR'}
35.0	2018-01-19	call	GRMN180119C00035000	25.82	26.3	26.95	0.0	0.0	1.0	48.0	0.8896495410156249	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-11-14 15:30:10	{'openInterest': 48, 'ask': 26.95, 'impliedVolatility': 0.8896495410156249, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1510673410, 'bid': 26.3, 'strike': 35.0, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 25.82, 'contractSymbol': 'GRMN180119C00035000', 'volume': 1, 'change': 0.0, 'contractSize': 'REGULAR'}
37.5	2018-01-19	call	GRMN180119C00037500	23.36	23.8	24.45	0.0	0.0	1.0	52.0	0.7939473730468749	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-11-14 15:30:10	{'openInterest': 52, 'ask': 24.45, 'impliedVolatility': 0.7939473730468749, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1510673410, 'bid': 23.8, 'strike': 37.5, 'currency': 'USD', 'percentChange': 0.0, 'lastPrice': 23.36, 'contractSymbol': 'GRMN180119C00037500', 'volume': 1, 'change': 0.0, 'contractSize': 'REGULAR'}
40.0	2018-01-19	call	GRMN180119C00040000	15.9	15.75	16.0	3.7299995	30.649134	1.0	7.0	1.0000000000000003e-05	GRMN	False	GRMN	61.42	2017-12-06 19:04:17	2017-10-20 17:54:12	{'openInterest': 7, 'ask': 16.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'inTheMoney': True, 'lastTradeDate': 1508522052, 'bid': 15.75, 'strike': 40.0, 'currency': 'USD', 'percentChange': 30.649134, 'lastPrice': 15.9, 'contractSymbol': 'GRMN180119C00040000', 'volume': 1, 'change': 3.7299995, 'contractSize': 'REGULAR'}
