Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
55.0	2017-12-15	call	SINA171215C00055000	47.85	41.15	43.35	0.0	0.0	1.0	1.0	2.1425827685546874	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-06-03 03:51:05	{'strike': 55.0, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 2.1425827685546874, 'lastTradeDate': 1496461865, 'contractSymbol': 'SINA171215C00055000', 'lastPrice': 47.85, 'bid': 41.15, 'ask': 43.35, 'expiration': 1513296000, 'openInterest': 1, 'volume': 1, 'change': 0.0}
60.0	2017-12-15	call	SINA171215C00060000	51.33	50.2	51.0	15.830002	44.591557	10.0	10.0	6.909669331665039	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-10-20 17:42:48	{'strike': 60.0, 'percentChange': 44.591557, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 6.909669331665039, 'lastTradeDate': 1508521368, 'contractSymbol': 'SINA171215C00060000', 'lastPrice': 51.33, 'bid': 50.2, 'ask': 51.0, 'expiration': 1513296000, 'openInterest': 10, 'volume': 10, 'change': 15.830002}
65.0	2017-12-15	call	SINA171215C00065000	38.05	31.35	34.7	0.0	0.0	1.0	1.0	2.1699264501953124	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-06-03 03:51:05	{'strike': 65.0, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 2.1699264501953124, 'lastTradeDate': 1496461865, 'contractSymbol': 'SINA171215C00065000', 'lastPrice': 38.05, 'bid': 31.35, 'ask': 34.7, 'expiration': 1513296000, 'openInterest': 1, 'volume': 1, 'change': 0.0}
67.5	2017-12-15	call	SINA171215C00067500	35.2	29.15	32.75	0.0	0.0	1.0	1.0	2.2138716528320304	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-06-03 03:51:06	{'strike': 67.5, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 2.2138716528320304, 'lastTradeDate': 1496461866, 'contractSymbol': 'SINA171215C00067500', 'lastPrice': 35.2, 'bid': 29.15, 'ask': 32.75, 'expiration': 1513296000, 'openInterest': 1, 'volume': 1, 'change': 0.0}
70.0	2017-12-15	call	SINA171215C00070000	35.47	39.55	41.5	0.0	0.0	5.0	12.0	5.533206208496093	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-09-01 15:47:56	{'strike': 70.0, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 5.533206208496093, 'lastTradeDate': 1504280876, 'contractSymbol': 'SINA171215C00070000', 'lastPrice': 35.47, 'bid': 39.55, 'ask': 41.5, 'expiration': 1513296000, 'openInterest': 12, 'volume': 5, 'change': 0.0}
75.0	2017-12-15	call	SINA171215C00075000	42.92	35.0	36.75	0.0	0.0	5.0	11.0	5.012699046630859	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-09-13 15:04:50	{'strike': 75.0, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 5.012699046630859, 'lastTradeDate': 1505315090, 'contractSymbol': 'SINA171215C00075000', 'lastPrice': 42.92, 'bid': 35.0, 'ask': 36.75, 'expiration': 1513296000, 'openInterest': 11, 'volume': 5, 'change': 0.0}
77.5	2017-12-15	call	SINA171215C00077500	9.06	21.9	23.25	0.0	0.0	4.0	4.0	2.069340764160156	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-06-03 03:51:06	{'strike': 77.5, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 2.069340764160156, 'lastTradeDate': 1496461866, 'contractSymbol': 'SINA171215C00077500', 'lastPrice': 9.06, 'bid': 21.9, 'ask': 23.25, 'expiration': 1513296000, 'openInterest': 4, 'volume': 4, 'change': 0.0}
80.0	2017-12-15	call	SINA171215C00080000	26.6	15.2	17.4	0.0	0.0	10.0	60.0	0.9580082324218748	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-11-09 14:42:08	{'strike': 80.0, 'percentChange': 0.0, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 0.9580082324218748, 'lastTradeDate': 1510238528, 'contractSymbol': 'SINA171215C00080000', 'lastPrice': 26.6, 'bid': 15.2, 'ask': 17.4, 'expiration': 1513296000, 'openInterest': 60, 'volume': 10, 'change': 0.0}
85.0	2017-12-15	call	SINA171215C00085000	10.72	9.9	12.5	-3.54	-24.824684	1.0	36.0	0.7617211328125001	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-12-06 17:15:14	{'strike': 85.0, 'percentChange': -24.824684, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 0.7617211328125001, 'lastTradeDate': 1512580514, 'contractSymbol': 'SINA171215C00085000', 'lastPrice': 10.72, 'bid': 9.9, 'ask': 12.5, 'expiration': 1513296000, 'openInterest': 36, 'volume': 1, 'change': -3.54}
87.5	2017-12-15	call	SINA171215C00087500	8.3	7.3	9.4	-6.7	-44.666664	5.0	69.0	1.0000000000000003e-05	SINA	False	SINA	97.6829	2017-12-08 21:11:20	2017-12-06 20:59:02	{'strike': 87.5, 'percentChange': -44.666664, 'inTheMoney': True, 'currency': 'USD', 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'lastTradeDate': 1512593942, 'contractSymbol': 'SINA171215C00087500', 'lastPrice': 8.3, 'bid': 7.3, 'ask': 9.4, 'expiration': 1513296000, 'openInterest': 69, 'volume': 5, 'change': -6.7}
