Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
5.0	2018-01-19	call	SNAP180119C00005000	10.05	10.0	10.15	1.9000006	23.312893	51.0	105.0	1.0000000000000003e-05	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-08 20:48:31	{'contractSymbol': 'SNAP180119C00005000', 'openInterest': 105, 'contractSize': 'REGULAR', 'lastTradeDate': 1512766111, 'change': 1.9000006, 'ask': 10.15, 'volume': 51, 'lastPrice': 10.05, 'strike': 5.0, 'currency': 'USD', 'bid': 10.0, 'expiration': 1516320000, 'percentChange': 23.312893, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05}
6.0	2018-01-19	call	SNAP180119C00006000	7.15	9.45	9.75	0.0	0.0	2.0	2.0	1.0000000000000003e-05	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-08-11 21:11:40	{'contractSymbol': 'SNAP180119C00006000', 'openInterest': 2, 'contractSize': 'REGULAR', 'lastTradeDate': 1502485900, 'change': 0.0, 'ask': 9.75, 'volume': 2, 'lastPrice': 7.15, 'strike': 6.0, 'currency': 'USD', 'bid': 9.45, 'expiration': 1516320000, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05}
7.0	2018-01-19	call	SNAP180119C00007000	5.99	5.9	6.2	0.0	0.0	1.0	15.0	1.0000000000000003e-05	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-11-20 14:33:13	{'contractSymbol': 'SNAP180119C00007000', 'openInterest': 15, 'contractSize': 'REGULAR', 'lastTradeDate': 1511188393, 'change': 0.0, 'ask': 6.2, 'volume': 1, 'lastPrice': 5.99, 'strike': 7.0, 'currency': 'USD', 'bid': 5.9, 'expiration': 1516320000, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05}
8.0	2018-01-19	call	SNAP180119C00008000	6.65	6.65	6.75	0.75	12.711864	19.0	105.0	1.0000000000000003e-05	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-07 15:52:18	{'contractSymbol': 'SNAP180119C00008000', 'openInterest': 105, 'contractSize': 'REGULAR', 'lastTradeDate': 1512661938, 'change': 0.75, 'ask': 6.75, 'volume': 19, 'lastPrice': 6.65, 'strike': 8.0, 'currency': 'USD', 'bid': 6.65, 'expiration': 1516320000, 'percentChange': 12.711864, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05}
9.0	2018-01-19	call	SNAP180119C00009000	4.34	4.65	4.75	0.59000015	15.733337	83.0	223.0	1.0000000000000003e-05	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-11-29 15:33:05	{'contractSymbol': 'SNAP180119C00009000', 'openInterest': 223, 'contractSize': 'REGULAR', 'lastTradeDate': 1511969585, 'change': 0.59000015, 'ask': 4.75, 'volume': 83, 'lastPrice': 4.34, 'strike': 9.0, 'currency': 'USD', 'bid': 4.65, 'expiration': 1516320000, 'percentChange': 15.733337, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05}
10.0	2018-01-19	call	SNAP180119C00010000	6.25	6.1	6.25	1.3499999	27.55102	71.0	5748.0	0.7578149218750001	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-11 20:21:00	{'contractSymbol': 'SNAP180119C00010000', 'openInterest': 5748, 'contractSize': 'REGULAR', 'lastTradeDate': 1513023660, 'change': 1.3499999, 'ask': 6.25, 'volume': 71, 'lastPrice': 6.25, 'strike': 10.0, 'currency': 'USD', 'bid': 6.1, 'expiration': 1516320000, 'percentChange': 27.55102, 'inTheMoney': True, 'impliedVolatility': 0.7578149218750001}
11.0	2018-01-19	call	SNAP180119C00011000	5.2	5.1	5.25	1.1699996	29.032246	83.0	970.0	0.6250037500000001	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-11 20:42:13	{'contractSymbol': 'SNAP180119C00011000', 'openInterest': 970, 'contractSize': 'REGULAR', 'lastTradeDate': 1513024933, 'change': 1.1699996, 'ask': 5.25, 'volume': 83, 'lastPrice': 5.2, 'strike': 11.0, 'currency': 'USD', 'bid': 5.1, 'expiration': 1516320000, 'percentChange': 29.032246, 'inTheMoney': True, 'impliedVolatility': 0.6250037500000001}
12.0	2018-01-19	call	SNAP180119C00012000	4.25	4.15	4.3	1.21	39.802635	47.0	3161.0	0.6113320117187502	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-11 20:04:02	{'contractSymbol': 'SNAP180119C00012000', 'openInterest': 3161, 'contractSize': 'REGULAR', 'lastTradeDate': 1513022642, 'change': 1.21, 'ask': 4.3, 'volume': 47, 'lastPrice': 4.25, 'strike': 12.0, 'currency': 'USD', 'bid': 4.15, 'expiration': 1516320000, 'percentChange': 39.802635, 'inTheMoney': True, 'impliedVolatility': 0.6113320117187502}
13.0	2018-01-19	call	SNAP180119C00013000	3.3	3.2	3.35	1.03	45.374447	1004.0	17223.0	0.5410202148437502	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-11 20:59:04	{'contractSymbol': 'SNAP180119C00013000', 'openInterest': 17223, 'contractSize': 'REGULAR', 'lastTradeDate': 1513025944, 'change': 1.03, 'ask': 3.35, 'volume': 1004, 'lastPrice': 3.3, 'strike': 13.0, 'currency': 'USD', 'bid': 3.2, 'expiration': 1516320000, 'percentChange': 45.374447, 'inTheMoney': True, 'impliedVolatility': 0.5410202148437502}
14.0	2018-01-19	call	SNAP180119C00014000	2.4	2.37	2.44	0.8700001	56.862755	806.0	9124.0	0.47852083984375	SNAP	False	SNAP	16.11	2017-12-12 00:59:11	2017-12-11 20:49:03	{'contractSymbol': 'SNAP180119C00014000', 'openInterest': 9124, 'contractSize': 'REGULAR', 'lastTradeDate': 1513025343, 'change': 0.8700001, 'ask': 2.44, 'volume': 806, 'lastPrice': 2.4, 'strike': 14.0, 'currency': 'USD', 'bid': 2.37, 'expiration': 1516320000, 'percentChange': 56.862755, 'inTheMoney': True, 'impliedVolatility': 0.47852083984375}
