Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
4.0	2017-12-15	call	GPRO171215C00004000	5.88	5.9	7.8	0.0	0.0	1.0	1.0	23.171877758789066	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-10-28 03:58:46	{'lastPrice': 5.88, 'openInterest': 1, 'impliedVolatility': 23.171877758789066, 'strike': 4.0, 'ask': 7.8, 'contractSymbol': 'GPRO171215C00004000', 'bid': 5.9, 'percentChange': 0.0, 'lastTradeDate': 1509163126, 'currency': 'USD', 'volume': 1, 'change': 0.0, 'contractSize': 'REGULAR', 'inTheMoney': True, 'expiration': 1513296000}
6.5	2017-12-15	call	GPRO171215C00006500	2.21	1.89	2.88	0.0	0.0	20.0	0.0	4.812503984374999	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-02 04:49:33	{'lastPrice': 2.21, 'openInterest': 0, 'impliedVolatility': 4.812503984374999, 'strike': 6.5, 'ask': 2.88, 'contractSymbol': 'GPRO171215C00006500', 'bid': 1.89, 'percentChange': 0.0, 'lastTradeDate': 1512190173, 'currency': 'USD', 'volume': 20, 'change': 0.0, 'contractSize': 'REGULAR', 'inTheMoney': True, 'expiration': 1513296000}
7.0	2017-12-15	call	GPRO171215C00007000	1.1	0.98	1.03	-0.6	-35.294117	5.0	35.0	1.0000000000000003e-05	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-05 15:01:49	{'lastPrice': 1.1, 'openInterest': 35, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 7.0, 'ask': 1.03, 'contractSymbol': 'GPRO171215C00007000', 'bid': 0.98, 'percentChange': -35.294117, 'lastTradeDate': 1512486109, 'currency': 'USD', 'volume': 5, 'change': -0.6, 'contractSize': 'REGULAR', 'inTheMoney': True, 'expiration': 1513296000}
7.5	2017-12-15	call	GPRO171215C00007500	0.55	0.6	0.66	0.0	0.0	10.0	93.0	0.6250037500000001	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-11 14:30:02	{'lastPrice': 0.55, 'openInterest': 93, 'impliedVolatility': 0.6250037500000001, 'strike': 7.5, 'ask': 0.66, 'contractSymbol': 'GPRO171215C00007500', 'bid': 0.6, 'percentChange': 0.0, 'lastTradeDate': 1513002602, 'currency': 'USD', 'volume': 10, 'change': 0.0, 'contractSize': 'REGULAR', 'inTheMoney': True, 'expiration': 1513296000}
8.0	2017-12-15	call	GPRO171215C00008000	0.26	0.2	0.24	-0.04000002	-13.33334	2.0	1164.0	0.5546919531250001	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-12 14:43:34	{'lastPrice': 0.26, 'openInterest': 1164, 'impliedVolatility': 0.5546919531250001, 'strike': 8.0, 'ask': 0.24, 'contractSymbol': 'GPRO171215C00008000', 'bid': 0.2, 'percentChange': -13.33334, 'lastTradeDate': 1513089814, 'currency': 'USD', 'volume': 2, 'change': -0.04000002, 'contractSize': 'REGULAR', 'inTheMoney': True, 'expiration': 1513296000}
8.5	2017-12-15	call	GPRO171215C00008500	0.03	0.02	0.04	-0.03	-50.0	101.0	934.0	0.49219257812500006	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-12 18:23:46	{'lastPrice': 0.03, 'openInterest': 934, 'impliedVolatility': 0.49219257812500006, 'strike': 8.5, 'ask': 0.04, 'contractSymbol': 'GPRO171215C00008500', 'bid': 0.02, 'percentChange': -50.0, 'lastTradeDate': 1513103026, 'currency': 'USD', 'volume': 101, 'change': -0.03, 'contractSize': 'REGULAR', 'inTheMoney': False, 'expiration': 1513296000}
9.0	2017-12-15	call	GPRO171215C00009000	0.03	0.01	0.02	0.02	200.0	1.0	2706.0	0.6562534375000001	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-12 14:48:19	{'lastPrice': 0.03, 'openInterest': 2706, 'impliedVolatility': 0.6562534375000001, 'strike': 9.0, 'ask': 0.02, 'contractSymbol': 'GPRO171215C00009000', 'bid': 0.01, 'percentChange': 200.0, 'lastTradeDate': 1513090099, 'currency': 'USD', 'volume': 1, 'change': 0.02, 'contractSize': 'REGULAR', 'inTheMoney': False, 'expiration': 1513296000}
9.5	2017-12-15	call	GPRO171215C00009500	0.02	0.0	0.03	-0.06	-75.0	10.0	107.0	0.9062509375	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-05 16:41:48	{'lastPrice': 0.02, 'openInterest': 107, 'impliedVolatility': 0.9062509375, 'strike': 9.5, 'ask': 0.03, 'contractSymbol': 'GPRO171215C00009500', 'bid': 0.0, 'percentChange': -75.0, 'lastTradeDate': 1512492108, 'currency': 'USD', 'volume': 10, 'change': -0.06, 'contractSize': 'REGULAR', 'inTheMoney': False, 'expiration': 1513296000}
10.0	2017-12-15	call	GPRO171215C00010000	0.01	0.0	0.02	-0.01	-50.0	10.0	1851.0	1.0312548437500002	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-08 14:30:02	{'lastPrice': 0.01, 'openInterest': 1851, 'impliedVolatility': 1.0312548437500002, 'strike': 10.0, 'ask': 0.02, 'contractSymbol': 'GPRO171215C00010000', 'bid': 0.0, 'percentChange': -50.0, 'lastTradeDate': 1512743402, 'currency': 'USD', 'volume': 10, 'change': -0.01, 'contractSize': 'REGULAR', 'inTheMoney': False, 'expiration': 1513296000}
11.0	2017-12-15	call	GPRO171215C00011000	0.02	0.0	0.03	0.01	100.0	11.0	7964.0	1.5000025	GPRO	False	GPRO	8.1	2017-12-12 18:54:34	2017-12-01 15:37:53	{'lastPrice': 0.02, 'openInterest': 7964, 'impliedVolatility': 1.5000025, 'strike': 11.0, 'ask': 0.03, 'contractSymbol': 'GPRO171215C00011000', 'bid': 0.0, 'percentChange': 100.0, 'lastTradeDate': 1512142673, 'currency': 'USD', 'volume': 11, 'change': 0.01, 'contractSize': 'REGULAR', 'inTheMoney': False, 'expiration': 1513296000}
