Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
3.0	2018-01-19	call	DDD180119C00003000	6.1	5.95	6.05	0.0	0.0	6.0	44.0	1.0000000000000003e-05	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-11-02 13:55:02	{'contractSymbol': 'DDD180119C00003000', 'inTheMoney': True, 'change': 0.0, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 0.0, 'openInterest': 44, 'expiration': 1516320000, 'impliedVolatility': 1.0000000000000003e-05, 'lastPrice': 6.1, 'strike': 3.0, 'lastTradeDate': 1509630902, 'volume': 6, 'ask': 6.05, 'bid': 5.95}
5.0	2018-01-19	call	DDD180119C00005000	3.95	3.7	3.85	-0.089999914	-2.2277207	6.0	314.0	1.0000000000000003e-05	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-04 14:30:03	{'contractSymbol': 'DDD180119C00005000', 'inTheMoney': True, 'change': -0.089999914, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': -2.2277207, 'openInterest': 314, 'expiration': 1516320000, 'impliedVolatility': 1.0000000000000003e-05, 'lastPrice': 3.95, 'strike': 5.0, 'lastTradeDate': 1512397803, 'volume': 6, 'ask': 3.85, 'bid': 3.7}
6.0	2018-01-19	call	DDD180119C00006000	3.65	3.75	4.0	-0.099999905	-2.6666641	10.0	132.0	1.0546922265625	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 17:46:03	{'contractSymbol': 'DDD180119C00006000', 'inTheMoney': True, 'change': -0.099999905, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': -2.6666641, 'openInterest': 132, 'expiration': 1516320000, 'impliedVolatility': 1.0546922265625, 'lastPrice': 3.65, 'strike': 6.0, 'lastTradeDate': 1513187163, 'volume': 10, 'ask': 4.0, 'bid': 3.75}
7.0	2018-01-19	call	DDD180119C00007000	2.65	2.77	3.0	0.0	0.0	1.0	220.0	0.7812521875	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-11 16:13:04	{'contractSymbol': 'DDD180119C00007000', 'inTheMoney': True, 'change': 0.0, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 0.0, 'openInterest': 220, 'expiration': 1516320000, 'impliedVolatility': 0.7812521875, 'lastPrice': 2.65, 'strike': 7.0, 'lastTradeDate': 1513008784, 'volume': 1, 'ask': 3.0, 'bid': 2.77}
8.0	2018-01-19	call	DDD180119C00008000	1.91	1.66	2.02	0.35000002	22.4359	2.0	1033.0	0.5742230078125	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 18:10:44	{'contractSymbol': 'DDD180119C00008000', 'inTheMoney': True, 'change': 0.35000002, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 22.4359, 'openInterest': 1033, 'expiration': 1516320000, 'impliedVolatility': 0.5742230078125, 'lastPrice': 1.91, 'strike': 8.0, 'lastTradeDate': 1513188644, 'volume': 2, 'ask': 2.02, 'bid': 1.66}
9.0	2018-01-19	call	DDD180119C00009000	1.05	1.01	1.1	0.29999995	39.999996	4.0	950.0	0.42383388671875	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 18:04:08	{'contractSymbol': 'DDD180119C00009000', 'inTheMoney': True, 'change': 0.29999995, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 39.999996, 'openInterest': 950, 'expiration': 1516320000, 'impliedVolatility': 0.42383388671875, 'lastPrice': 1.05, 'strike': 9.0, 'lastTradeDate': 1513188248, 'volume': 4, 'ask': 1.1, 'bid': 1.01}
10.0	2018-01-19	call	DDD180119C00010000	0.53	0.52	0.59	0.18999997	55.88234	635.0	3554.0	0.49121602539062503	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 18:24:35	{'contractSymbol': 'DDD180119C00010000', 'inTheMoney': False, 'change': 0.18999997, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 55.88234, 'openInterest': 3554, 'expiration': 1516320000, 'impliedVolatility': 0.49121602539062503, 'lastPrice': 0.53, 'strike': 10.0, 'lastTradeDate': 1513189475, 'volume': 635, 'ask': 0.59, 'bid': 0.52}
11.0	2018-01-19	call	DDD180119C00011000	0.23	0.22	0.23	0.08	53.33333	265.0	2684.0	0.46680220703125	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 18:23:01	{'contractSymbol': 'DDD180119C00011000', 'inTheMoney': False, 'change': 0.08, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 53.33333, 'openInterest': 2684, 'expiration': 1516320000, 'impliedVolatility': 0.46680220703125, 'lastPrice': 0.23, 'strike': 11.0, 'lastTradeDate': 1513189381, 'volume': 265, 'ask': 0.23, 'bid': 0.22}
12.0	2018-01-19	call	DDD180119C00012000	0.06	0.06	0.11	0.009999998	19.999996	26.0	3224.0	0.5117236328125	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-13 17:04:39	{'contractSymbol': 'DDD180119C00012000', 'inTheMoney': False, 'change': 0.009999998, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 19.999996, 'openInterest': 3224, 'expiration': 1516320000, 'impliedVolatility': 0.5117236328125, 'lastPrice': 0.06, 'strike': 12.0, 'lastTradeDate': 1513184679, 'volume': 26, 'ask': 0.11, 'bid': 0.06}
13.0	2018-01-19	call	DDD180119C00013000	0.03	0.0	0.06	0.0	0.0	5.0	612.0	0.5585981640625001	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-12 15:29:26	{'contractSymbol': 'DDD180119C00013000', 'inTheMoney': False, 'change': 0.0, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 0.0, 'openInterest': 612, 'expiration': 1516320000, 'impliedVolatility': 0.5585981640625001, 'lastPrice': 0.03, 'strike': 13.0, 'lastTradeDate': 1513092566, 'volume': 5, 'ask': 0.06, 'bid': 0.0}
14.0	2018-01-19	call	DDD180119C00014000	0.04	0.01	0.2	0.01	33.333336	2.0	2727.0	0.7617211328125001	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-05 18:20:09	{'contractSymbol': 'DDD180119C00014000', 'inTheMoney': False, 'change': 0.01, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': 33.333336, 'openInterest': 2727, 'expiration': 1516320000, 'impliedVolatility': 0.7617211328125001, 'lastPrice': 0.04, 'strike': 14.0, 'lastTradeDate': 1512498009, 'volume': 2, 'ask': 0.2, 'bid': 0.01}
15.0	2018-01-19	call	DDD180119C00015000	0.01	0.01	0.05	-0.03	-75.0	1000.0	3952.0	0.6796907031250001	DDD	False	DDD	9.92	2017-12-13 18:43:42	2017-12-07 20:33:45	{'contractSymbol': 'DDD180119C00015000', 'inTheMoney': False, 'change': -0.03, 'contractSize': 'REGULAR', 'currency': 'USD', 'percentChange': -75.0, 'openInterest': 3952, 'expiration': 1516320000, 'impliedVolatility': 0.6796907031250001, 'lastPrice': 0.01, 'strike': 15.0, 'lastTradeDate': 1512678825, 'volume': 1000, 'ask': 0.05, 'bid': 0.01}
