Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
1.0	2017-12-15	call	FIT171215C00001000	6.2	5.95	6.15	0.0	0.0	29.0	32.0	14.125001171875	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-11 14:39:38	{'lastTradeDate': 1513003178, 'currency': 'USD', 'ask': 6.15, 'volume': 29, 'bid': 5.95, 'expiration': 1513296000, 'lastPrice': 6.2, 'contractSymbol': 'FIT171215C00001000', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 32, 'inTheMoney': True, 'strike': 1.0, 'contractSize': 'REGULAR', 'impliedVolatility': 14.125001171875}
4.0	2017-12-15	call	FIT171215C00004000	2.9	2.76	2.81	0.05000019	1.7543926	10.0	24.0	1.0000000000000003e-05	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-01 15:40:59	{'lastTradeDate': 1512142859, 'currency': 'USD', 'ask': 2.81, 'volume': 10, 'bid': 2.76, 'expiration': 1513296000, 'lastPrice': 2.9, 'contractSymbol': 'FIT171215C00004000', 'percentChange': 1.7543926, 'change': 0.05000019, 'openInterest': 24, 'inTheMoney': True, 'strike': 4.0, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
4.5	2017-12-15	call	FIT171215C00004500	2.71	1.91	2.92	0.0	0.0	1.0	3.0	7.79687525390625	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-12 14:32:49	{'lastTradeDate': 1513089169, 'currency': 'USD', 'ask': 2.92, 'volume': 1, 'bid': 1.91, 'expiration': 1513296000, 'lastPrice': 2.71, 'contractSymbol': 'FIT171215C00004500', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 3, 'inTheMoney': True, 'strike': 4.5, 'contractSize': 'REGULAR', 'impliedVolatility': 7.79687525390625}
5.0	2017-12-15	call	FIT171215C00005000	1.89	1.76	1.81	0.0	0.0	7.0	264.0	1.0000000000000003e-05	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-11-30 20:25:28	{'lastTradeDate': 1512073528, 'currency': 'USD', 'ask': 1.81, 'volume': 7, 'bid': 1.76, 'expiration': 1513296000, 'lastPrice': 1.89, 'contractSymbol': 'FIT171215C00005000', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 264, 'inTheMoney': True, 'strike': 5.0, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
5.5	2017-12-15	call	FIT171215C00005500	1.74	0.91	1.57	0.0	0.0	1.0	164.0	2.50000375	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-11 16:19:39	{'lastTradeDate': 1513009179, 'currency': 'USD', 'ask': 1.57, 'volume': 1, 'bid': 0.91, 'expiration': 1513296000, 'lastPrice': 1.74, 'contractSymbol': 'FIT171215C00005500', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 164, 'inTheMoney': True, 'strike': 5.5, 'contractSize': 'REGULAR', 'impliedVolatility': 2.50000375}
6.0	2017-12-15	call	FIT171215C00006000	1.03	1.02	1.07	0.01999998	1.9801961	31.0	2902.0	1.5000025	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-13 17:53:57	{'lastTradeDate': 1513187637, 'currency': 'USD', 'ask': 1.07, 'volume': 31, 'bid': 1.02, 'expiration': 1513296000, 'lastPrice': 1.03, 'contractSymbol': 'FIT171215C00006000', 'percentChange': 1.9801961, 'change': 0.01999998, 'openInterest': 2902, 'inTheMoney': True, 'strike': 6.0, 'contractSize': 'REGULAR', 'impliedVolatility': 1.5000025}
6.5	2017-12-15	call	FIT171215C00006500	0.52	0.52	0.57	0.0	0.0	51.0	1579.0	0.87500125	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-12 20:22:23	{'lastTradeDate': 1513110143, 'currency': 'USD', 'ask': 0.57, 'volume': 51, 'bid': 0.52, 'expiration': 1513296000, 'lastPrice': 0.52, 'contractSymbol': 'FIT171215C00006500', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 1579, 'inTheMoney': True, 'strike': 6.5, 'contractSize': 'REGULAR', 'impliedVolatility': 0.87500125}
7.0	2017-12-15	call	FIT171215C00007000	0.13	0.11	0.13	0.009999998	8.333332	349.0	3876.0	0.5312546875	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-13 20:42:53	{'lastTradeDate': 1513197773, 'currency': 'USD', 'ask': 0.13, 'volume': 349, 'bid': 0.11, 'expiration': 1513296000, 'lastPrice': 0.13, 'contractSymbol': 'FIT171215C00007000', 'percentChange': 8.333332, 'change': 0.009999998, 'openInterest': 3876, 'inTheMoney': True, 'strike': 7.0, 'contractSize': 'REGULAR', 'impliedVolatility': 0.5312546875}
7.5	2017-12-15	call	FIT171215C00007500	0.01	0.01	0.03	-0.02	-66.66667	16.0	2669.0	0.7187528125	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-13 20:53:30	{'lastTradeDate': 1513198410, 'currency': 'USD', 'ask': 0.03, 'volume': 16, 'bid': 0.01, 'expiration': 1513296000, 'lastPrice': 0.01, 'contractSymbol': 'FIT171215C00007500', 'percentChange': -66.66667, 'change': -0.02, 'openInterest': 2669, 'inTheMoney': False, 'strike': 7.5, 'contractSize': 'REGULAR', 'impliedVolatility': 0.7187528125}
8.0	2017-12-15	call	FIT171215C00008000	0.01	0.0	0.02	0.0	0.0	1876.0	1890.0	1.0312548437500002	FIT	False	FIT	7.02	2017-12-13 21:03:00	2017-12-11 20:59:43	{'lastTradeDate': 1513025983, 'currency': 'USD', 'ask': 0.02, 'volume': 1876, 'bid': 0.0, 'expiration': 1513296000, 'lastPrice': 0.01, 'contractSymbol': 'FIT171215C00008000', 'percentChange': 0.0, 'change': 0.0, 'openInterest': 1890, 'inTheMoney': False, 'strike': 8.0, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0312548437500002}
