Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
17.5	2018-01-19	call	AMBA180119C00017500	33.6	35.2	35.5	0.0	0.0	2.0	5.0	1.0000000000000003e-05	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-08-07 14:14:23	{'percentChange': 0.0, 'change': 0.0, 'bid': 35.2, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00017500', 'impliedVolatility': 1.0000000000000003e-05, 'strike': 17.5, 'lastTradeDate': 1502115263, 'currency': 'USD', 'lastPrice': 33.6, 'contractSize': 'REGULAR', 'volume': 2, 'openInterest': 5, 'ask': 35.5}
20.0	2018-01-19	call	AMBA180119C00020000	38.89	37.5	38.8	0.0	0.0	2.0	2.0	2.02344244140625	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-12-13 17:40:41	{'percentChange': 0.0, 'change': 0.0, 'bid': 37.5, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00020000', 'impliedVolatility': 2.02344244140625, 'strike': 20.0, 'lastTradeDate': 1513186841, 'currency': 'USD', 'lastPrice': 38.89, 'contractSize': 'REGULAR', 'volume': 2, 'openInterest': 2, 'ask': 38.8}
22.5	2018-01-19	call	AMBA180119C00022500	28.0	30.2	30.5	0.0	0.0	3.0	4.0	1.0000000000000003e-05	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-06-03 03:51:12	{'percentChange': 0.0, 'change': 0.0, 'bid': 30.2, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00022500', 'impliedVolatility': 1.0000000000000003e-05, 'strike': 22.5, 'lastTradeDate': 1496461872, 'currency': 'USD', 'lastPrice': 28.0, 'contractSize': 'REGULAR', 'volume': 3, 'openInterest': 4, 'ask': 30.5}
25.0	2018-01-19	call	AMBA180119C00025000	28.94	27.4	29.9	0.20000076	0.69589686	1.0	24.0	1.0000000000000003e-05	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-11-17 14:41:55	{'percentChange': 0.69589686, 'change': 0.20000076, 'bid': 27.4, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00025000', 'impliedVolatility': 1.0000000000000003e-05, 'strike': 25.0, 'lastTradeDate': 1510929715, 'currency': 'USD', 'lastPrice': 28.94, 'contractSize': 'REGULAR', 'volume': 1, 'openInterest': 24, 'ask': 29.9}
27.5	2018-01-19	call	AMBA180119C00027500	22.12	25.3	25.6	0.0	0.0	1.0	2.0	1.0000000000000003e-05	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-10-05 15:33:19	{'percentChange': 0.0, 'change': 0.0, 'bid': 25.3, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00027500', 'impliedVolatility': 1.0000000000000003e-05, 'strike': 27.5, 'lastTradeDate': 1507217599, 'currency': 'USD', 'lastPrice': 22.12, 'contractSize': 'REGULAR', 'volume': 1, 'openInterest': 2, 'ask': 25.6}
30.0	2018-01-19	call	AMBA180119C00030000	33.15	31.9	32.4	6.750002	25.56819	9.0	291.0	2.7211946032714844	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-12-01 14:40:16	{'percentChange': 25.56819, 'change': 6.750002, 'bid': 31.9, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00030000', 'impliedVolatility': 2.7211946032714844, 'strike': 30.0, 'lastTradeDate': 1512139216, 'currency': 'USD', 'lastPrice': 33.15, 'contractSize': 'REGULAR', 'volume': 9, 'openInterest': 291, 'ask': 32.4}
32.5	2018-01-19	call	AMBA180119C00032500	22.3	21.2	23.4	7.5999994	51.700676	9.0	51.0	1.0000000000000003e-05	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-10-30 19:58:32	{'percentChange': 51.700676, 'change': 7.5999994, 'bid': 21.2, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00032500', 'impliedVolatility': 1.0000000000000003e-05, 'strike': 32.5, 'lastTradeDate': 1509393512, 'currency': 'USD', 'lastPrice': 22.3, 'contractSize': 'REGULAR', 'volume': 9, 'openInterest': 51, 'ask': 23.4}
35.0	2018-01-19	call	AMBA180119C00035000	29.5	25.2	29.4	9.0	43.90244	1.0	74.0	2.2827191369628905	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-12-01 15:17:19	{'percentChange': 43.90244, 'change': 9.0, 'bid': 25.2, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00035000', 'impliedVolatility': 2.2827191369628905, 'strike': 35.0, 'lastTradeDate': 1512141439, 'currency': 'USD', 'lastPrice': 29.5, 'contractSize': 'REGULAR', 'volume': 1, 'openInterest': 74, 'ask': 29.4}
37.5	2018-01-19	call	AMBA180119C00037500	19.33	20.0	21.0	0.5300007	2.8191528	2.0	89.0	0.8466812207031249	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-12-07 15:24:23	{'percentChange': 2.8191528, 'change': 0.5300007, 'bid': 20.0, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00037500', 'impliedVolatility': 0.8466812207031249, 'strike': 37.5, 'lastTradeDate': 1512660263, 'currency': 'USD', 'lastPrice': 19.33, 'contractSize': 'REGULAR', 'volume': 2, 'openInterest': 89, 'ask': 21.0}
40.0	2018-01-19	call	AMBA180119C00040000	20.1	18.7	20.7	5.700001	39.58334	10.0	218.0	1.2915074487304685	AMBA	False	AMBA	57.71	2017-12-14 19:13:07	2017-12-04 15:23:45	{'percentChange': 39.58334, 'change': 5.700001, 'bid': 18.7, 'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'AMBA180119C00040000', 'impliedVolatility': 1.2915074487304685, 'strike': 40.0, 'lastTradeDate': 1512401025, 'currency': 'USD', 'lastPrice': 20.1, 'contractSize': 'REGULAR', 'volume': 10, 'openInterest': 218, 'ask': 20.7}
