	Date	Symbol	TodayPrice	OpDate_0	callEst_0	putEst_0	combEst_0	Trend_0	OpDate_1	callEst_1	putEst_1	combEst_1	Trend_1
0	2017-12-14	AAPL	172.39	2017-12-15	182.471	164.944	177.149	Up	2018-01-19	178.435	144.889	164.837	Flat
1	2017-12-14	AKAO	11.24	2017-12-15	17.169	11.284	15.656	Up	2018-01-19	14.704	10.259	14.086	Up
2	2017-12-14	AMBA	58.165	2017-12-15	60.469	53.223	56.447	Flat	2018-01-19	68.332	46.101	63.936	Up
3	2017-12-14	AMCN	1.87	2017-12-15	3.314	2.151	3.284	Up	2018-01-19	2.55		2.55	Flat
4	2017-12-14	AMD	10.065	2017-12-15	11.088	10.028	10.611	Flat	2018-01-19	13.033	9.178	11.66	Flat
5	2017-12-14	APRN	4.155	2017-12-15	4.45	3.917	4.075	Down	2018-01-19	7.177	4.183	4.617	Down
6	2017-12-14	ATHM	60.31	2017-12-15	61.733	55.624	58.415	Flat	2018-01-19	62.553	54.124	59.013	Flat
7	2017-12-14	ATVI	64.995	2017-12-15	66.115	60.979	64.161	Flat	2018-01-19	66.465	50.572	62.287	Up
8	2017-12-14	BA	294.71	2017-12-15	294.365	263.18	278.414	Flat	2018-01-19	297.772	197.97	237.342	Flat
9	2017-12-14	BABA	171.5	2017-12-15	187.047	168.727	180.343	Flat	2018-01-19	183.637	147.503	170.684	Flat
10	2017-12-14	BBY	64.41	2017-12-15	65.106	54.556	56.65	Down	2018-01-19	66.217	47.55	54.798	Flat
11	2017-12-14	BIDU	230.48	2017-12-15	252.033	215.67	234.87	Flat	2018-01-19	249.611	192.552	225.0	Flat
12	2017-12-14	CTRP	43.48	2017-12-15	53.28	44.255	48.289	Flat	2018-01-19	49.921	42.766	45.148	Flat
13	2017-12-14	DDD	10.145	2017-12-15	10.107	9.697	9.905	Flat	2018-01-19	12.404	9.683	10.721	Flat
14	2017-12-14	DFS	74.065	2017-12-15	73.817	72.757	73.422	Flat	2018-01-19	74.715	40.797	64.123	Up
15	2017-12-14	DLB	61.475	2017-12-15	63.714	53.924	62.412	Up	2018-01-19	65.7	0.0	65.7	Up
16	2017-12-14	EFX	118.13	2017-12-15	119.01	107.716	109.793	Down	2018-01-19	125.855	103.276	115.174	Flat
17	2017-12-14	FB	179.02	2017-12-15	183.333	160.622	174.129	Flat	2018-01-19	188.493	143.884	173.311	Flat
18	2017-12-14	FIT	6.985	2017-12-15	7.211	6.427	6.999	Up	2018-01-19	9.879	4.79	6.989	Flat
19	2017-12-14	FL	44.87	2017-12-15	44.399	36.952	41.764	Flat	2018-01-19	48.294	37.305	43.784	Flat
20	2017-12-14	GLID		2017-12-15	0.0	0.0	0.0	Flat	2018-01-19	0.0	0.0	0.0	Flat
21	2017-12-14	GLUU	4.79	2017-12-15	4.799	3.015	4.245	Up	2018-01-19	4.897	3.177	4.601	Up
22	2017-12-14	GME	18.635	2017-12-15	19.331	17.774	18.254	Down	2018-01-19	22.314	17.951	18.753	Down
23	2017-12-14	GOOG	1050.805	2017-12-15	1137.738	977.997	1074.208	Flat	2018-01-19	1097.418	845.55	1016.402	Up
24	2017-12-14	GPRO	8.0	2017-12-15	10.133	7.932	9.085	Flat	2018-01-19	12.259	6.76	8.451	Down
25	2017-12-14	GRMN	60.125	2017-12-15	64.078	58.981	62.479	Up	2018-01-19	61.61	46.543	56.856	Up
26	2017-12-14	GRPN	5.45	2017-12-15	5.442	5.271	5.344	Flat	2018-01-19	5.817	3.934	5.368	Up
27	2017-12-14	GRUB	71.845	2017-12-15	70.895	53.381	63.675	Flat	2018-01-19	71.237	51.995	70.664	Up
28	2017-12-14	INTL	41.23	2017-12-15	44.592	40.005	40.108	Down	2018-01-19	43.437	31.37	40.27	Up
29	2017-12-14	JD	40.435	2017-12-15	40.933	39.001	40.182	Flat	2018-01-19	41.445	36.398	39.441	Flat
30	2017-12-14	KMK		2017-12-15	0.0	0.0	0.0	Flat	2018-01-19	0.0	0.0	0.0	Flat
31	2017-12-14	LC	4.045	2017-12-15	5.748	4.158	5.573	Up	2018-01-19	6.279	3.651	5.252	Flat
32	2017-12-14	LOGI	33.375	2017-12-15	37.29	32.397	34.11	Flat	2018-01-19	36.109	31.296	32.002	Down
33	2017-12-14	LSCC	5.765	2017-12-15	7.161	5.342	6.919	Up	2018-01-19	7.418	0.0	7.418	Up
34	2017-12-14	LUV	64.195	2017-12-15	64.437	56.014	60.657	Flat	2018-01-19	65.149	50.968	61.644	Up
35	2017-12-14	M	25.195	2017-12-15	26.065	21.314	22.92	Flat	2018-01-19	29.139	22.556	25.764	Flat
36	2017-12-14	MOMO	24.74	2017-12-15	30.912	24.497	28.349	Flat	2018-01-19	34.57	24.21	28.156	Flat
37	2017-12-14	MRVL	21.8	2017-12-15	22.702	20.971	22.108	Flat	2018-01-19	21.982	14.861	20.13	Up
38	2017-12-14	MSFT	85.255	2017-12-15	85.593	80.403	82.893	Flat	2018-01-19	86.231	68.0	76.858	Flat
39	2017-12-14	NFLX	189.92	2017-12-15	194.893	178.861	189.83	Up	2018-01-19	201.974	136.575	170.777	Flat
40	2017-12-14	NKE	64.45	2017-12-15	64.693	56.919	61.96	Flat	2018-01-19	66.15	53.295	60.028	Flat
41	2017-12-14	NQ	4.12	2017-12-15	4.264	3.753	4.194	Up	2018-01-19	4.634	2.826	4.31	Up
42	2017-12-14	NTES	359.155	2017-12-15	373.447	303.429	338.851	Flat	2018-01-19	378.305	268.204	337.185	Flat
43	2017-12-14	NVDA	186.97	2017-12-15	199.565	178.815	189.622	Flat	2018-01-19	202.73	155.356	181.656	Flat
44	2017-12-14	PSTG	16.77	2017-12-15	17.446	15.56	16.617	Flat	2018-01-19	18.055	14.79	15.432	Down
45	2017-12-14	PYPL	75.0	2017-12-15	76.752	70.066	73.728	Flat	2018-01-19	76.759	53.416	68.494	Flat
46	2017-12-14	QCOM	64.855	2017-12-15	68.355	64.065	66.985	Up	2018-01-19	68.638	60.416	66.786	Up
47	2017-12-14	QD	13.49	2017-12-15	18.473	12.709	15.246	Flat	2018-01-19	15.347	11.784	13.976	Flat
48	2017-12-14	QIWI	13.95	2017-12-15	17.24	14.192	15.886	Flat	2018-01-19	15.32	13.228	14.018	Flat
49	2017-12-14	RACE	106.18	2017-12-15	111.346	96.72	104.256	Flat	2018-01-19	112.403	91.84	103.812	Flat
50	2017-12-14	RCL	121.95	2017-12-15	125.309	110.97	113.66	Down	2018-01-19	126.406	79.673	108.265	Flat
51	2017-12-14	RDFN	25.12	2017-12-15	27.122	20.844	23.323	Flat	2018-01-19	28.75	22.678	25.524	Flat
52	2017-12-14	RENN	10.14	2017-12-15	10.684	9.303	10.482	Up	2018-01-19	10.14	8.172	9.792	Up
53	2017-12-14	ROKU	47.325	2017-12-15	48.461	42.39	45.726	Flat	2018-01-19	52.461	28.855	41.01	Flat
54	2017-12-14	SFUN	4.255	2017-12-15	4.638	4.183	4.47	Flat	2018-01-19	5.792	4.224	5.523	Up
55	2017-12-14	SINA	100.125	2017-12-15	117.548	91.793	104.728	Flat	2018-01-19	123.279	86.869	108.113	Flat
56	2017-12-14	SNAP	16.105	2017-12-15	16.554	15.781	16.18	Flat	2018-01-19	19.0	14.37	16.412	Flat
57	2017-12-14	SQ	36.67	2017-12-15	38.043	36.388	37.161	Flat	2018-01-19	40.499	33.95	38.093	Flat
58	2017-12-14	TSLA	343.235	2017-12-15	353.689	327.596	342.494	Flat	2018-01-19	374.421	230.79	296.183	Flat
59	2017-12-14	TWTR	22.43	2017-12-15	23.151	20.977	22.86	Up	2018-01-19	24.733	19.606	23.631	Up
60	2017-12-14	VIPS	8.53	2017-12-15	9.256	8.291	9.008	Up	2018-01-19	10.494	7.948	9.546	Flat
61	2017-12-14	VRX	20.57	2017-12-15	20.329	19.01	20.042	Up	2018-01-19	23.919	14.583	20.092	Flat
62	2017-12-14	WB	103.52	2017-12-15	110.787	98.269	104.642	Flat	2018-01-19	111.161	72.995	95.929	Flat
63	2017-12-14	XLNX	68.26	2017-12-15	71.428	64.473	68.556	Flat	2018-01-19	73.018	58.296	68.351	Up
64	2017-12-14	YELP	42.38	2017-12-15	44.968	41.894	43.727	Flat	2018-01-19	45.657	30.882	40.816	Up
65	2017-12-14	YRD	40.295	2017-12-15	47.046	35.26	40.411	Flat	2018-01-19	46.215	33.955	37.365	Down
66	2017-12-14	ZNGA	4.02	2017-12-15	4.053	3.774	3.805	Down	2018-01-19	4.132	3.367	3.802	Flat
67	2017-12-14	ZTO	15.195	2017-12-15	18.279	15.019	17.208	Up	2018-01-19	16.282	14.093	15.757	Up
