Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
1.0	2018-01-19	call	APRN180119C00001000	2.5	2.05	2.3	0.0	0.0	5.0	6.0	1.0000000000000003e-05	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-11-07 18:35:44	{'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'APRN180119C00001000', 'lastTradeDate': 1510079744, 'strike': 1.0, 'volume': 5, 'ask': 2.3, 'lastPrice': 2.5, 'percentChange': 0.0, 'change': 0.0, 'bid': 2.05, 'currency': 'USD', 'openInterest': 6, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05}
2.5	2018-01-19	call	APRN180119C00002500	1.45	1.1	2.05	-0.049999952	-3.3333302	5.0	106.0	2.2578168554687497	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-08 17:52:20	{'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'APRN180119C00002500', 'lastTradeDate': 1512755540, 'strike': 2.5, 'volume': 5, 'ask': 2.05, 'lastPrice': 1.45, 'percentChange': -3.3333302, 'change': -0.049999952, 'bid': 1.1, 'currency': 'USD', 'openInterest': 106, 'contractSize': 'REGULAR', 'impliedVolatility': 2.2578168554687497}
3.0	2018-01-19	call	APRN180119C00003000	1.2	1.1	1.8	-0.14999998	-11.111109	4.0	213.0	1.3750031249999999	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-15 19:33:46	{'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'APRN180119C00003000', 'lastTradeDate': 1513366426, 'strike': 3.0, 'volume': 4, 'ask': 1.8, 'lastPrice': 1.2, 'percentChange': -11.111109, 'change': -0.14999998, 'bid': 1.1, 'currency': 'USD', 'openInterest': 213, 'contractSize': 'REGULAR', 'impliedVolatility': 1.3750031249999999}
3.5	2018-01-19	call	APRN180119C00003500	0.8	0.7	1.0	0.0	0.0	73.0	229.0	0.632816171875	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-18 18:33:36	{'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'APRN180119C00003500', 'lastTradeDate': 1513622016, 'strike': 3.5, 'volume': 73, 'ask': 1.0, 'lastPrice': 0.8, 'percentChange': 0.0, 'change': 0.0, 'bid': 0.7, 'currency': 'USD', 'openInterest': 229, 'contractSize': 'REGULAR', 'impliedVolatility': 0.632816171875}
4.0	2018-01-19	call	APRN180119C00004000	0.45	0.4	0.5	-0.050000012	-10.000002	342.0	1773.0	0.5625043750000001	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-18 16:59:39	{'expiration': 1516320000, 'inTheMoney': True, 'contractSymbol': 'APRN180119C00004000', 'lastTradeDate': 1513616379, 'strike': 4.0, 'volume': 342, 'ask': 0.5, 'lastPrice': 0.45, 'percentChange': -10.000002, 'change': -0.050000012, 'bid': 0.4, 'currency': 'USD', 'openInterest': 1773, 'contractSize': 'REGULAR', 'impliedVolatility': 0.5625043750000001}
4.5	2018-01-19	call	APRN180119C00004500	0.2	0.15	0.25	0.0	0.0	604.0	607.0	0.5585981640625001	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-18 20:10:11	{'expiration': 1516320000, 'inTheMoney': False, 'contractSymbol': 'APRN180119C00004500', 'lastTradeDate': 1513627811, 'strike': 4.5, 'volume': 604, 'ask': 0.25, 'lastPrice': 0.2, 'percentChange': 0.0, 'change': 0.0, 'bid': 0.15, 'currency': 'USD', 'openInterest': 607, 'contractSize': 'REGULAR', 'impliedVolatility': 0.5585981640625001}
5.0	2018-01-19	call	APRN180119C00005000	0.09	0.05	0.1	-0.019999996	-18.181814	428.0	2800.0	0.5585981640625001	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-18 18:52:49	{'expiration': 1516320000, 'inTheMoney': False, 'contractSymbol': 'APRN180119C00005000', 'lastTradeDate': 1513623169, 'strike': 5.0, 'volume': 428, 'ask': 0.1, 'lastPrice': 0.09, 'percentChange': -18.181814, 'change': -0.019999996, 'bid': 0.05, 'currency': 'USD', 'openInterest': 2800, 'contractSize': 'REGULAR', 'impliedVolatility': 0.5585981640625001}
6.0	2018-01-19	call	APRN180119C00006000	0.01	0.0	0.05	-0.04	-79.99999	5.0	3970.0	0.70312796875	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-07 20:07:22	{'expiration': 1516320000, 'inTheMoney': False, 'contractSymbol': 'APRN180119C00006000', 'lastTradeDate': 1512677242, 'strike': 6.0, 'volume': 5, 'ask': 0.05, 'lastPrice': 0.01, 'percentChange': -79.99999, 'change': -0.04, 'bid': 0.0, 'currency': 'USD', 'openInterest': 3970, 'contractSize': 'REGULAR', 'impliedVolatility': 0.70312796875}
7.0	2018-01-19	call	APRN180119C00007000	0.02	0.0	0.05	0.0	0.0	23.0	3085.0	0.937500625	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-14 15:55:41	{'expiration': 1516320000, 'inTheMoney': False, 'contractSymbol': 'APRN180119C00007000', 'lastTradeDate': 1513266941, 'strike': 7.0, 'volume': 23, 'ask': 0.05, 'lastPrice': 0.02, 'percentChange': 0.0, 'change': 0.0, 'bid': 0.0, 'currency': 'USD', 'openInterest': 3085, 'contractSize': 'REGULAR', 'impliedVolatility': 0.937500625}
8.0	2018-01-19	call	APRN180119C00008000	0.05	0.0	0.05	0.030000001	150.00002	1.0	29922.0	1.140629296875	APRN	False	APRN	4.25	2017-12-18 22:25:37	2017-12-01 17:33:47	{'expiration': 1516320000, 'inTheMoney': False, 'contractSymbol': 'APRN180119C00008000', 'lastTradeDate': 1512149627, 'strike': 8.0, 'volume': 1, 'ask': 0.05, 'lastPrice': 0.05, 'percentChange': 150.00002, 'change': 0.030000001, 'bid': 0.0, 'currency': 'USD', 'openInterest': 29922, 'contractSize': 'REGULAR', 'impliedVolatility': 1.140629296875}
