Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
0.5	2018-01-19	call	GLUU180119C00000500	2.22	3.6	4.1	0.0	0.0	3.0	20.0	0.0	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-06-03 03:55:50	{'lastPrice': 2.22, 'contractSize': 'REGULAR', 'bid': 3.6, 'change': 0.0, 'lastTradeDate': 1496462150, 'currency': 'USD', 'impliedVolatility': 0.0, 'contractSymbol': 'GLUU180119C00000500', 'openInterest': 20, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 3, 'expiration': 1516320000, 'ask': 4.1, 'strike': 0.5}
1.0	2018-01-19	call	GLUU180119C00001000	2.99	2.6	2.7	0.0	0.0	15.0	68.0	2.4062539843749997	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-18 17:17:53	{'lastPrice': 2.99, 'contractSize': 'REGULAR', 'bid': 2.6, 'change': 0.0, 'lastTradeDate': 1513617473, 'currency': 'USD', 'impliedVolatility': 2.4062539843749997, 'contractSymbol': 'GLUU180119C00001000', 'openInterest': 68, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 15, 'expiration': 1516320000, 'ask': 2.7, 'strike': 1.0}
1.5	2018-01-19	call	GLUU180119C00001500	2.45	2.1	2.25	0.10000014	4.2553253	1.0	123.0	2.2968792578125	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 15:43:55	{'lastPrice': 2.45, 'contractSize': 'REGULAR', 'bid': 2.1, 'change': 0.10000014, 'lastTradeDate': 1513698235, 'currency': 'USD', 'impliedVolatility': 2.2968792578125, 'contractSymbol': 'GLUU180119C00001500', 'openInterest': 123, 'inTheMoney': True, 'percentChange': 4.2553253, 'volume': 1, 'expiration': 1516320000, 'ask': 2.25, 'strike': 1.5}
2.0	2018-01-19	call	GLUU180119C00002000	1.7	1.65	1.75	-0.8399999	-33.07086	5.0	1567.0	1.21875390625	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 18:15:45	{'lastPrice': 1.7, 'contractSize': 'REGULAR', 'bid': 1.65, 'change': -0.8399999, 'lastTradeDate': 1513707345, 'currency': 'USD', 'impliedVolatility': 1.21875390625, 'contractSymbol': 'GLUU180119C00002000', 'openInterest': 1567, 'inTheMoney': True, 'percentChange': -33.07086, 'volume': 5, 'expiration': 1516320000, 'ask': 1.75, 'strike': 2.0}
2.5	2018-01-19	call	GLUU180119C00002500	1.15	1.1	1.25	-0.9	-43.90244	18.0	2236.0	1.1640666796875	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 18:16:11	{'lastPrice': 1.15, 'contractSize': 'REGULAR', 'bid': 1.1, 'change': -0.9, 'lastTradeDate': 1513707371, 'currency': 'USD', 'impliedVolatility': 1.1640666796875, 'contractSymbol': 'GLUU180119C00002500', 'openInterest': 2236, 'inTheMoney': True, 'percentChange': -43.90244, 'volume': 18, 'expiration': 1516320000, 'ask': 1.25, 'strike': 2.5}
3.0	2018-01-19	call	GLUU180119C00003000	0.9	0.65	0.8	-0.20000005	-18.181822	9.0	4162.0	0.632816171875	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 16:35:54	{'lastPrice': 0.9, 'contractSize': 'REGULAR', 'bid': 0.65, 'change': -0.20000005, 'lastTradeDate': 1513701354, 'currency': 'USD', 'impliedVolatility': 0.632816171875, 'contractSymbol': 'GLUU180119C00003000', 'openInterest': 4162, 'inTheMoney': True, 'percentChange': -18.181822, 'volume': 9, 'expiration': 1516320000, 'ask': 0.8, 'strike': 3.0}
3.5	2018-01-19	call	GLUU180119C00003500	0.35	0.3	0.4	-0.35	-50.0	19.0	11466.0	0.585941640625	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 18:37:26	{'lastPrice': 0.35, 'contractSize': 'REGULAR', 'bid': 0.3, 'change': -0.35, 'lastTradeDate': 1513708646, 'currency': 'USD', 'impliedVolatility': 0.585941640625, 'contractSymbol': 'GLUU180119C00003500', 'openInterest': 11466, 'inTheMoney': True, 'percentChange': -50.0, 'volume': 19, 'expiration': 1516320000, 'ask': 0.4, 'strike': 3.5}
4.0	2018-01-19	call	GLUU180119C00004000	0.13	0.05	0.15	-0.16	-55.172413	286.0	13000.0	0.6210975390625001	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 17:46:43	{'lastPrice': 0.13, 'contractSize': 'REGULAR', 'bid': 0.05, 'change': -0.16, 'lastTradeDate': 1513705603, 'currency': 'USD', 'impliedVolatility': 0.6210975390625001, 'contractSymbol': 'GLUU180119C00004000', 'openInterest': 13000, 'inTheMoney': False, 'percentChange': -55.172413, 'volume': 286, 'expiration': 1516320000, 'ask': 0.15, 'strike': 4.0}
4.5	2018-01-19	call	GLUU180119C00004500	0.11	0.0	0.2	0.0	0.0	2.0	8.0	0.7812521875	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-03-01 15:49:28	{'lastPrice': 0.11, 'contractSize': 'REGULAR', 'bid': 0.0, 'change': 0.0, 'lastTradeDate': 1488383368, 'currency': 'USD', 'impliedVolatility': 0.7812521875, 'contractSymbol': 'GLUU180119C00004500', 'openInterest': 8, 'inTheMoney': False, 'percentChange': 0.0, 'volume': 2, 'expiration': 1516320000, 'ask': 0.2, 'strike': 4.5}
5.0	2018-01-19	call	GLUU180119C00005000	0.05	0.0	0.05	0.010000002	25.000006	205.0	18588.0	0.6875031250000001	GLUU	False	GLUU	3.6825	2017-12-19 19:14:58	2017-12-19 14:37:05	{'lastPrice': 0.05, 'contractSize': 'REGULAR', 'bid': 0.0, 'change': 0.010000002, 'lastTradeDate': 1513694225, 'currency': 'USD', 'impliedVolatility': 0.6875031250000001, 'contractSymbol': 'GLUU180119C00005000', 'openInterest': 18588, 'inTheMoney': False, 'percentChange': 25.000006, 'volume': 205, 'expiration': 1516320000, 'ask': 0.05, 'strike': 5.0}
