Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
35.0	2018-02-16	call	MSFT180216C00035000	48.9	49.05	49.6	0.0	0.0	13.0	0.0	1.0000000000000003e-05	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-02 04:52:36	{'lastPrice': 48.9, 'contractSize': 'REGULAR', 'bid': 49.05, 'change': 0.0, 'lastTradeDate': 1512190356, 'currency': 'USD', 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'MSFT180216C00035000', 'openInterest': 0, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 13, 'expiration': 1518739200, 'ask': 49.6, 'strike': 35.0}
37.5	2018-02-16	call	MSFT180216C00037500	36.1	39.65	42.95	0.0	0.0	9.0	0.0	1.0000000000000003e-05	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-08-14 18:17:17	{'lastPrice': 36.1, 'contractSize': 'REGULAR', 'bid': 39.65, 'change': 0.0, 'lastTradeDate': 1502734637, 'currency': 'USD', 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'MSFT180216C00037500', 'openInterest': 0, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 9, 'expiration': 1518739200, 'ask': 42.95, 'strike': 37.5}
40.0	2018-02-16	call	MSFT180216C00040000	43.85	42.25	42.7	0.0	0.0	16.0	0.0	1.0000000000000003e-05	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-11-14 20:38:11	{'lastPrice': 43.85, 'contractSize': 'REGULAR', 'bid': 42.25, 'change': 0.0, 'lastTradeDate': 1510691891, 'currency': 'USD', 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'MSFT180216C00040000', 'openInterest': 0, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 16, 'expiration': 1518739200, 'ask': 42.7, 'strike': 40.0}
45.0	2018-02-16	call	MSFT180216C00045000	41.8	41.9	42.05	9.299999	28.615383	16.0	0.0	1.2114297241210936	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-15 18:14:37	{'lastPrice': 41.8, 'contractSize': 'REGULAR', 'bid': 41.9, 'change': 9.299999, 'lastTradeDate': 1513361677, 'currency': 'USD', 'impliedVolatility': 1.2114297241210936, 'contractSymbol': 'MSFT180216C00045000', 'openInterest': 0, 'inTheMoney': True, 'percentChange': 28.615383, 'volume': 16, 'expiration': 1518739200, 'ask': 42.05, 'strike': 45.0}
50.0	2018-02-16	call	MSFT180216C00050000	34.0	33.75	34.55	-0.049999237	-0.14684065	10.0	6.0	1.0000000000000003e-05	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-01 18:30:28	{'lastPrice': 34.0, 'contractSize': 'REGULAR', 'bid': 33.75, 'change': -0.049999237, 'lastTradeDate': 1512153028, 'currency': 'USD', 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'MSFT180216C00050000', 'openInterest': 6, 'inTheMoney': True, 'percentChange': -0.14684065, 'volume': 10, 'expiration': 1518739200, 'ask': 34.55, 'strike': 50.0}
55.0	2018-02-16	call	MSFT180216C00055000	28.45	27.55	27.8	0.0	0.0	100.0	15.0	1.0000000000000003e-05	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-11-14 18:41:11	{'lastPrice': 28.45, 'contractSize': 'REGULAR', 'bid': 27.55, 'change': 0.0, 'lastTradeDate': 1510684871, 'currency': 'USD', 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'MSFT180216C00055000', 'openInterest': 15, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 100, 'expiration': 1518739200, 'ask': 27.8, 'strike': 55.0}
60.0	2018-02-16	call	MSFT180216C00060000	26.0	25.85	26.0	-1.3500004	-4.936016	15.0	80.0	0.5185595019531251	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-19 17:59:55	{'lastPrice': 26.0, 'contractSize': 'REGULAR', 'bid': 25.85, 'change': -1.3500004, 'lastTradeDate': 1513706395, 'currency': 'USD', 'impliedVolatility': 0.5185595019531251, 'contractSymbol': 'MSFT180216C00060000', 'openInterest': 80, 'inTheMoney': True, 'percentChange': -4.936016, 'volume': 15, 'expiration': 1518739200, 'ask': 26.0, 'strike': 60.0}
62.5	2018-02-16	call	MSFT180216C00062500	23.35	24.35	24.75	0.0	0.0	10.0	66.0	0.7026396923828125	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-13 20:17:22	{'lastPrice': 23.35, 'contractSize': 'REGULAR', 'bid': 24.35, 'change': 0.0, 'lastTradeDate': 1513196242, 'currency': 'USD', 'impliedVolatility': 0.7026396923828125, 'contractSymbol': 'MSFT180216C00062500', 'openInterest': 66, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 10, 'expiration': 1518739200, 'ask': 24.75, 'strike': 62.5}
65.0	2018-02-16	call	MSFT180216C00065000	22.2	20.9	21.05	0.0	0.0	1.0	236.0	0.454107021484375	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-18 15:07:24	{'lastPrice': 22.2, 'contractSize': 'REGULAR', 'bid': 20.9, 'change': 0.0, 'lastTradeDate': 1513609644, 'currency': 'USD', 'impliedVolatility': 0.454107021484375, 'contractSymbol': 'MSFT180216C00065000', 'openInterest': 236, 'inTheMoney': True, 'percentChange': 0.0, 'volume': 1, 'expiration': 1518739200, 'ask': 21.05, 'strike': 65.0}
67.5	2018-02-16	call	MSFT180216C00067500	18.45	18.45	18.6	-1.2999992	-6.5822744	2.0	550.0	0.41528905029296875	MSFT	False	MSFT	85.645	2017-12-19 19:16:03	2017-12-19 18:51:47	{'lastPrice': 18.45, 'contractSize': 'REGULAR', 'bid': 18.45, 'change': -1.2999992, 'lastTradeDate': 1513709507, 'currency': 'USD', 'impliedVolatility': 0.41528905029296875, 'contractSymbol': 'MSFT180216C00067500', 'openInterest': 550, 'inTheMoney': True, 'percentChange': -6.5822744, 'volume': 2, 'expiration': 1518739200, 'ask': 18.6, 'strike': 67.5}
