Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
35.0	2018-01-19	call	RCL180119C00035000	91.72	89.9	93.6	11.57	14.435432	170.0	0.0	1.99609376953125	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-12-19 19:14:18	{'inTheMoney': True, 'percentChange': 14.435432, 'bid': 89.9, 'expiration': 1516320000, 'volume': 170, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 11.57, 'lastTradeDate': 1513710858, 'lastPrice': 91.72, 'ask': 93.6, 'strike': 35.0, 'impliedVolatility': 1.99609376953125, 'currency': 'USD', 'contractSymbol': 'RCL180119C00035000'}
40.0	2018-01-19	call	RCL180119C00040000	86.55	84.85	88.15	11.18	14.8334875	14.0	5.0	2.6250034375	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-12-19 20:02:22	{'inTheMoney': True, 'percentChange': 14.8334875, 'bid': 84.85, 'expiration': 1516320000, 'volume': 14, 'openInterest': 5, 'contractSize': 'REGULAR', 'change': 11.18, 'lastTradeDate': 1513713742, 'lastPrice': 86.55, 'ask': 88.15, 'strike': 40.0, 'impliedVolatility': 2.6250034375, 'currency': 'USD', 'contractSymbol': 'RCL180119C00040000'}
42.5	2018-01-19	call	RCL180119C00042500	42.5	75.8	80.3	0.0	0.0	0.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-06-03 03:49:16	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 75.8, 'expiration': 1516320000, 'volume': 0, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1496461756, 'lastPrice': 42.5, 'ask': 80.3, 'strike': 42.5, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00042500'}
45.0	2018-01-19	call	RCL180119C00045000	52.13	73.5	77.9	0.0	0.0	20.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-06-03 03:49:16	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 73.5, 'expiration': 1516320000, 'volume': 20, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1496461756, 'lastPrice': 52.13, 'ask': 77.9, 'strike': 45.0, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00045000'}
47.5	2018-01-19	call	RCL180119C00047500	37.06	70.8	75.5	0.0	0.0	5.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-06-03 03:49:16	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 70.8, 'expiration': 1516320000, 'volume': 5, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1496461756, 'lastPrice': 37.06, 'ask': 75.5, 'strike': 47.5, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00047500'}
50.0	2018-01-19	call	RCL180119C00050000	63.37	60.95	65.05	0.95000076	1.5219494	7.0	17.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-06-19 13:41:43	{'inTheMoney': True, 'percentChange': 1.5219494, 'bid': 60.95, 'expiration': 1516320000, 'volume': 7, 'openInterest': 17, 'contractSize': 'REGULAR', 'change': 0.95000076, 'lastTradeDate': 1497879703, 'lastPrice': 63.37, 'ask': 65.05, 'strike': 50.0, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00050000'}
55.0	2018-01-19	call	RCL180119C00055000	60.22	63.4	68.0	0.0	0.0	10.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-09-20 15:47:26	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 63.4, 'expiration': 1516320000, 'volume': 10, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1505922446, 'lastPrice': 60.22, 'ask': 68.0, 'strike': 55.0, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00055000'}
57.5	2018-01-19	call	RCL180119C00057500	57.8	60.9	65.4	0.0	0.0	2.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-09-20 19:48:30	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 60.9, 'expiration': 1516320000, 'volume': 2, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1505936910, 'lastPrice': 57.8, 'ask': 65.4, 'strike': 57.5, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00057500'}
60.0	2018-01-19	call	RCL180119C00060000	66.6	66.3	67.3	11.799999	21.532845	100.0	40.0	1.2431678466796874	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-12-19 20:36:24	{'inTheMoney': True, 'percentChange': 21.532845, 'bid': 66.3, 'expiration': 1516320000, 'volume': 100, 'openInterest': 40, 'contractSize': 'REGULAR', 'change': 11.799999, 'lastTradeDate': 1513715784, 'lastPrice': 66.6, 'ask': 67.3, 'strike': 60.0, 'impliedVolatility': 1.2431678466796874, 'currency': 'USD', 'contractSymbol': 'RCL180119C00060000'}
62.5	2018-01-19	call	RCL180119C00062500	24.1	56.05	59.9	0.0	0.0	5.0	0.0	1.0000000000000003e-05	RCL	False	RCL	126.55	2017-12-19 21:02:02	2017-06-03 03:49:16	{'inTheMoney': True, 'percentChange': 0.0, 'bid': 56.05, 'expiration': 1516320000, 'volume': 5, 'openInterest': 0, 'contractSize': 'REGULAR', 'change': 0.0, 'lastTradeDate': 1496461756, 'lastPrice': 24.1, 'ask': 59.9, 'strike': 62.5, 'impliedVolatility': 1.0000000000000003e-05, 'currency': 'USD', 'contractSymbol': 'RCL180119C00062500'}
