Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
3.0	2018-01-19	call	RENN180119C00003000	3.9	6.5	7.0	0.0	0.0	20.0	20.0	1.0000000000000003e-05	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-08-02 18:12:41	{'currency': 'USD', 'expiration': 1516320000, 'ask': 7.0, 'change': 0.0, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 20, 'bid': 6.5, 'volume': 20, 'strike': 3.0, 'lastPrice': 3.9, 'lastTradeDate': 1501697561, 'contractSymbol': 'RENN180119C00003000', 'contractSize': 'REGULAR'}
5.0	2018-01-19	call	RENN180119C00005000	2.9	4.5	4.8	0.0	0.0	4.0	803.0	1.0000000000000003e-05	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-08-23 16:35:04	{'currency': 'USD', 'expiration': 1516320000, 'ask': 4.8, 'change': 0.0, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 803, 'bid': 4.5, 'volume': 4, 'strike': 5.0, 'lastPrice': 2.9, 'lastTradeDate': 1503506104, 'contractSymbol': 'RENN180119C00005000', 'contractSize': 'REGULAR'}
6.0	2018-01-19	call	RENN180119C00006000	3.89	3.6	3.8	0.09000015	2.3684251	10.0	844.0	1.0000000000000003e-05	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-01 18:47:41	{'currency': 'USD', 'expiration': 1516320000, 'ask': 3.8, 'change': 0.09000015, 'percentChange': 2.3684251, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 844, 'bid': 3.6, 'volume': 10, 'strike': 6.0, 'lastPrice': 3.89, 'lastTradeDate': 1512154061, 'contractSymbol': 'RENN180119C00006000', 'contractSize': 'REGULAR'}
7.0	2018-01-19	call	RENN180119C00007000	3.36	3.3	3.6	0.0	0.0	391.0	573.0	1.125004375	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-18 17:47:22	{'currency': 'USD', 'expiration': 1516320000, 'ask': 3.6, 'change': 0.0, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 1.125004375, 'openInterest': 573, 'bid': 3.3, 'volume': 391, 'strike': 7.0, 'lastPrice': 3.36, 'lastTradeDate': 1513619242, 'contractSymbol': 'RENN180119C00007000', 'contractSize': 'REGULAR'}
8.0	2018-01-19	call	RENN180119C00008000	1.85	1.65	1.85	0.5	37.037037	1.0	328.0	1.0000000000000003e-05	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-04 16:43:52	{'currency': 'USD', 'expiration': 1516320000, 'ask': 1.85, 'change': 0.5, 'percentChange': 37.037037, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 328, 'bid': 1.65, 'volume': 1, 'strike': 8.0, 'lastPrice': 1.85, 'lastTradeDate': 1512405832, 'contractSymbol': 'RENN180119C00008000', 'contractSize': 'REGULAR'}
9.0	2018-01-19	call	RENN180119C00009000	1.5	1.35	1.7	0.5	50.0	6.0	458.0	0.6816438085937502	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-20 20:21:07	{'currency': 'USD', 'expiration': 1516320000, 'ask': 1.7, 'change': 0.5, 'percentChange': 50.0, 'inTheMoney': True, 'impliedVolatility': 0.6816438085937502, 'openInterest': 458, 'bid': 1.35, 'volume': 6, 'strike': 9.0, 'lastPrice': 1.5, 'lastTradeDate': 1513801267, 'contractSymbol': 'RENN180119C00009000', 'contractSize': 'REGULAR'}
10.0	2018-01-19	call	RENN180119C00010000	0.43	0.45	0.85	0.0	0.0	21.0	924.0	0.50586431640625	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-19 17:34:12	{'currency': 'USD', 'expiration': 1516320000, 'ask': 0.85, 'change': 0.0, 'percentChange': 0.0, 'inTheMoney': True, 'impliedVolatility': 0.50586431640625, 'openInterest': 924, 'bid': 0.45, 'volume': 21, 'strike': 10.0, 'lastPrice': 0.43, 'lastTradeDate': 1513704852, 'contractSymbol': 'RENN180119C00010000', 'contractSize': 'REGULAR'}
11.0	2018-01-19	call	RENN180119C00011000	0.25	0.25	0.4	0.099999994	66.666664	18.0	921.0	0.51758294921875	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-20 18:17:06	{'currency': 'USD', 'expiration': 1516320000, 'ask': 0.4, 'change': 0.099999994, 'percentChange': 66.666664, 'inTheMoney': False, 'impliedVolatility': 0.51758294921875, 'openInterest': 921, 'bid': 0.25, 'volume': 18, 'strike': 11.0, 'lastPrice': 0.25, 'lastTradeDate': 1513793826, 'contractSymbol': 'RENN180119C00011000', 'contractSize': 'REGULAR'}
12.0	2018-01-19	call	RENN180119C00012000	0.25	0.15	0.2	0.049999997	24.999998	2.0	465.0	0.5371140039062501	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-15 14:37:24	{'currency': 'USD', 'expiration': 1516320000, 'ask': 0.2, 'change': 0.049999997, 'percentChange': 24.999998, 'inTheMoney': False, 'impliedVolatility': 0.5371140039062501, 'openInterest': 465, 'bid': 0.15, 'volume': 2, 'strike': 12.0, 'lastPrice': 0.25, 'lastTradeDate': 1513348644, 'contractSymbol': 'RENN180119C00012000', 'contractSize': 'REGULAR'}
13.0	2018-01-19	call	RENN180119C00013000	0.15	0.0	0.1	0.0	0.0	20.0	2024.0	0.507817421875	RENN	False	RENN	10.46	2017-12-20 21:02:15	2017-12-15 14:35:39	{'currency': 'USD', 'expiration': 1516320000, 'ask': 0.1, 'change': 0.0, 'percentChange': 0.0, 'inTheMoney': False, 'impliedVolatility': 0.507817421875, 'openInterest': 2024, 'bid': 0.0, 'volume': 20, 'strike': 13.0, 'lastPrice': 0.15, 'lastTradeDate': 1513348539, 'contractSymbol': 'RENN180119C00013000', 'contractSize': 'REGULAR'}
