Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
23.0	2018-01-19	call	XLNX180119C00023000	0.0	21.1	25.1	0.0	0.0	0.0	0.0	1.0000000000000003e-05	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	1970-01-01 00:00:00	{'contractSymbol': 'XLNX180119C00023000', 'contractSize': 'REGULAR', 'lastTradeDate': 0, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'ask': 25.1, 'bid': 21.1, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 23.0, 'impliedVolatility': 1.0000000000000003e-05, 'lastPrice': 0.0, 'expiration': 1516320000}
25.0	2018-01-19	call	XLNX180119C00025000	47.47	46.45	48.75	0.0	0.0	40.0	0.0	3.4125991247558596	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-11-18 04:48:55	{'contractSymbol': 'XLNX180119C00025000', 'contractSize': 'REGULAR', 'lastTradeDate': 1510980535, 'inTheMoney': True, 'currency': 'USD', 'volume': 40, 'ask': 48.75, 'bid': 46.45, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 25.0, 'impliedVolatility': 3.4125991247558596, 'lastPrice': 47.47, 'expiration': 1516320000}
28.0	2018-01-19	call	XLNX180119C00028000	0.0	17.9	22.2	0.0	0.0	0.0	0.0	1.0000000000000003e-05	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	1970-01-01 00:00:00	{'contractSymbol': 'XLNX180119C00028000', 'contractSize': 'REGULAR', 'lastTradeDate': 0, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'ask': 22.2, 'bid': 17.9, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 28.0, 'impliedVolatility': 1.0000000000000003e-05, 'lastPrice': 0.0, 'expiration': 1516320000}
30.0	2018-01-19	call	XLNX180119C00030000	42.44	41.35	43.85	0.0	0.0	30.0	10.0	2.8837918530273434	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-11-13 20:59:24	{'contractSymbol': 'XLNX180119C00030000', 'contractSize': 'REGULAR', 'lastTradeDate': 1510606764, 'inTheMoney': True, 'currency': 'USD', 'volume': 30, 'ask': 43.85, 'bid': 41.35, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 10, 'strike': 30.0, 'impliedVolatility': 2.8837918530273434, 'lastPrice': 42.44, 'expiration': 1516320000}
33.0	2018-01-19	call	XLNX180119C00033000	0.0	13.65	17.9	0.0	0.0	0.0	0.0	1.0000000000000003e-05	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	1970-01-01 00:00:00	{'contractSymbol': 'XLNX180119C00033000', 'contractSize': 'REGULAR', 'lastTradeDate': 0, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'ask': 17.9, 'bid': 13.65, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 33.0, 'impliedVolatility': 1.0000000000000003e-05, 'lastPrice': 0.0, 'expiration': 1516320000}
35.0	2018-01-19	call	XLNX180119C00035000	8.7	35.1	39.5	0.0	0.0	0.0	0.0	2.357425981445312	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-06-03 03:47:07	{'contractSymbol': 'XLNX180119C00035000', 'contractSize': 'REGULAR', 'lastTradeDate': 1496461627, 'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'ask': 39.5, 'bid': 35.1, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 35.0, 'impliedVolatility': 2.357425981445312, 'lastPrice': 8.7, 'expiration': 1516320000}
38.0	2018-01-19	call	XLNX180119C00038000	34.45	33.5	36.4	0.0	0.0	10.0	5.0	2.3105510986328124	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-11-13 20:59:33	{'contractSymbol': 'XLNX180119C00038000', 'contractSize': 'REGULAR', 'lastTradeDate': 1510606773, 'inTheMoney': True, 'currency': 'USD', 'volume': 10, 'ask': 36.4, 'bid': 33.5, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 5, 'strike': 38.0, 'impliedVolatility': 2.3105510986328124, 'lastPrice': 34.45, 'expiration': 1516320000}
40.0	2018-01-19	call	XLNX180119C00040000	25.4	30.2	34.5	0.0	0.0	1.0	0.0	2.007329200439453	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-06-03 03:47:07	{'contractSymbol': 'XLNX180119C00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1496461627, 'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'ask': 34.5, 'bid': 30.2, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 40.0, 'impliedVolatility': 2.007329200439453, 'lastPrice': 25.4, 'expiration': 1516320000}
43.0	2018-01-19	call	XLNX180119C00043000	29.55	28.45	30.95	0.0	0.0	280.0	0.0	1.8940434985351562	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-11-13 20:22:54	{'contractSymbol': 'XLNX180119C00043000', 'contractSize': 'REGULAR', 'lastTradeDate': 1510604574, 'inTheMoney': True, 'currency': 'USD', 'volume': 280, 'ask': 30.95, 'bid': 28.45, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 0, 'strike': 43.0, 'impliedVolatility': 1.8940434985351562, 'lastPrice': 29.55, 'expiration': 1516320000}
45.0	2018-01-19	call	XLNX180119C00045000	27.08	26.45	28.95	0.0	0.0	4.0	4.0	1.7651378930664063	XLNX	False	XLNX	69.58	2017-12-20 18:37:21	2017-11-14 15:10:59	{'contractSymbol': 'XLNX180119C00045000', 'contractSize': 'REGULAR', 'lastTradeDate': 1510672259, 'inTheMoney': True, 'currency': 'USD', 'volume': 4, 'ask': 28.95, 'bid': 26.45, 'change': 0.0, 'percentChange': 0.0, 'openInterest': 4, 'strike': 45.0, 'impliedVolatility': 1.7651378930664063, 'lastPrice': 27.08, 'expiration': 1516320000}
