Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
30.0	2018-01-19	call	LOGI180119C00030000	3.67	3.0	3.8	0.0	0.0	1.0	0.0	0.12500875	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-16 04:46:46	{'currency': 'USD', 'lastPrice': 3.67, 'ask': 3.8, 'bid': 3.0, 'impliedVolatility': 0.12500875, 'inTheMoney': True, 'volume': 1, 'change': 0.0, 'contractSymbol': 'LOGI180119C00030000', 'strike': 30.0, 'openInterest': 0, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1513399606, 'expiration': 1516320000}
31.0	2018-01-19	call	LOGI180119C00031000	3.15	2.4	3.5	0.3000002	10.526322	1.0	2.0	0.47461462890625	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-21 14:31:48	{'currency': 'USD', 'lastPrice': 3.15, 'ask': 3.5, 'bid': 2.4, 'impliedVolatility': 0.47461462890625, 'inTheMoney': True, 'volume': 1, 'change': 0.3000002, 'contractSymbol': 'LOGI180119C00031000', 'strike': 31.0, 'openInterest': 2, 'percentChange': 10.526322, 'contractSize': 'REGULAR', 'lastTradeDate': 1513866708, 'expiration': 1516320000}
33.0	2018-01-19	call	LOGI180119C00033000	1.27	1.15	1.35	0.0	0.0	3.0	8.0	0.23389437988281248	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-19 14:30:05	{'currency': 'USD', 'lastPrice': 1.27, 'ask': 1.35, 'bid': 1.15, 'impliedVolatility': 0.23389437988281248, 'inTheMoney': True, 'volume': 3, 'change': 0.0, 'contractSymbol': 'LOGI180119C00033000', 'strike': 33.0, 'openInterest': 8, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1513693805, 'expiration': 1516320000}
34.0	2018-01-19	call	LOGI180119C00034000	0.7	0.6	0.75	0.099999964	16.66666	3.0	65.0	0.21826953613281247	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-21 16:37:27	{'currency': 'USD', 'lastPrice': 0.7, 'ask': 0.75, 'bid': 0.6, 'impliedVolatility': 0.21826953613281247, 'inTheMoney': False, 'volume': 3, 'change': 0.099999964, 'contractSymbol': 'LOGI180119C00034000', 'strike': 34.0, 'openInterest': 65, 'percentChange': 16.66666, 'contractSize': 'REGULAR', 'lastTradeDate': 1513874247, 'expiration': 1516320000}
35.0	2018-01-19	call	LOGI180119C00035000	0.25	0.25	0.35	0.0	0.0	6.0	30.0	0.20655090332031245	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-20 17:10:45	{'currency': 'USD', 'lastPrice': 0.25, 'ask': 0.35, 'bid': 0.25, 'impliedVolatility': 0.20655090332031245, 'inTheMoney': False, 'volume': 6, 'change': 0.0, 'contractSymbol': 'LOGI180119C00035000', 'strike': 35.0, 'openInterest': 30, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1513789845, 'expiration': 1516320000}
36.0	2018-01-19	call	LOGI180119C00036000	0.1	0.1	0.2	0.0	0.0	10.0	257.0	0.22657023437499998	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-21 17:22:04	{'currency': 'USD', 'lastPrice': 0.1, 'ask': 0.2, 'bid': 0.1, 'impliedVolatility': 0.22657023437499998, 'inTheMoney': False, 'volume': 10, 'change': 0.0, 'contractSymbol': 'LOGI180119C00036000', 'strike': 36.0, 'openInterest': 257, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1513876924, 'expiration': 1516320000}
37.0	2018-01-19	call	LOGI180119C00037000	0.05	0.0	0.1	0.0	0.0	2.0	11.0	0.23535920898437498	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-12-18 15:59:04	{'currency': 'USD', 'lastPrice': 0.05, 'ask': 0.1, 'bid': 0.0, 'impliedVolatility': 0.23535920898437498, 'inTheMoney': False, 'volume': 2, 'change': 0.0, 'contractSymbol': 'LOGI180119C00037000', 'strike': 37.0, 'openInterest': 11, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1513612744, 'expiration': 1516320000}
38.0	2018-01-19	call	LOGI180119C00038000	0.25	0.1	0.2	0.0	0.0	1.0	3.0	0.34278000976562495	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-11-30 17:10:07	{'currency': 'USD', 'lastPrice': 0.25, 'ask': 0.2, 'bid': 0.1, 'impliedVolatility': 0.34278000976562495, 'inTheMoney': False, 'volume': 1, 'change': 0.0, 'contractSymbol': 'LOGI180119C00038000', 'strike': 38.0, 'openInterest': 3, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1512061807, 'expiration': 1516320000}
39.0	2018-01-19	call	LOGI180119C00039000	0.1	0.0	0.15	0.0	0.0	2.0	3.0	0.36524072265625	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-11-30 17:10:07	{'currency': 'USD', 'lastPrice': 0.1, 'ask': 0.15, 'bid': 0.0, 'impliedVolatility': 0.36524072265625, 'inTheMoney': False, 'volume': 2, 'change': 0.0, 'contractSymbol': 'LOGI180119C00039000', 'strike': 39.0, 'openInterest': 3, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1512061807, 'expiration': 1516320000}
40.0	2018-01-19	call	LOGI180119C00040000	0.1	0.05	0.15	0.0	0.0	1.0	0.0	0.41211525390625	LOGI	False	LOGI	33.8	2017-12-21 21:00:01	2017-11-27 22:23:42	{'currency': 'USD', 'lastPrice': 0.1, 'ask': 0.15, 'bid': 0.05, 'impliedVolatility': 0.41211525390625, 'inTheMoney': False, 'volume': 1, 'change': 0.0, 'contractSymbol': 'LOGI180119C00040000', 'strike': 40.0, 'openInterest': 0, 'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastTradeDate': 1511821422, 'expiration': 1516320000}
