Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
80.0	2018-02-16	call	FB180216C00080000	95.3	100.3	101.1	-3.199997	-3.2487278	8.0	65.0	1.7614758020019532	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-06 18:06:11	{'percentChange': -3.2487278, 'strike': 80.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1512583571, 'currency': 'USD', 'expiration': 1518739200, 'volume': 8, 'contractSymbol': 'FB180216C00080000', 'change': -3.199997, 'ask': 101.1, 'impliedVolatility': 1.7614758020019532, 'openInterest': 65, 'lastPrice': 95.3, 'bid': 100.3}
85.0	2018-02-16	call	FB180216C00085000	96.15	92.0	93.25	0.0	0.0	2.0	18.0	1.2287636218261717	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-18 14:46:39	{'percentChange': 0.0, 'strike': 85.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513608399, 'currency': 'USD', 'expiration': 1518739200, 'volume': 2, 'contractSymbol': 'FB180216C00085000', 'change': 0.0, 'ask': 93.25, 'impliedVolatility': 1.2287636218261717, 'openInterest': 18, 'lastPrice': 96.15, 'bid': 92.0}
90.0	2018-02-16	call	FB180216C00090000	93.35	84.85	86.35	28.779999	44.57178	5.0	10.0	0.79101771484375	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-11-28 19:32:27	{'percentChange': 44.57178, 'strike': 90.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1511897547, 'currency': 'USD', 'expiration': 1518739200, 'volume': 5, 'contractSymbol': 'FB180216C00090000', 'change': 28.779999, 'ask': 86.35, 'impliedVolatility': 0.79101771484375, 'openInterest': 10, 'lastPrice': 93.35, 'bid': 84.85}
100.0	2018-02-16	call	FB180216C00100000	77.75	77.0	78.4	-2.2300034	-2.788201	2.0	1531.0	1.0014698364257812	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-22 19:47:51	{'percentChange': -2.788201, 'strike': 100.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513972071, 'currency': 'USD', 'expiration': 1518739200, 'volume': 2, 'contractSymbol': 'FB180216C00100000', 'change': -2.2300034, 'ask': 78.4, 'impliedVolatility': 1.0014698364257812, 'openInterest': 1531, 'lastPrice': 77.75, 'bid': 77.0}
105.0	2018-02-16	call	FB180216C00105000	64.44	70.25	71.35	0.0	0.0	9.0	11.0	0.6250037500000001	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-08-17 18:34:53	{'percentChange': 0.0, 'strike': 105.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1502994893, 'currency': 'USD', 'expiration': 1518739200, 'volume': 9, 'contractSymbol': 'FB180216C00105000', 'change': 0.0, 'ask': 71.35, 'impliedVolatility': 0.6250037500000001, 'openInterest': 11, 'lastPrice': 64.44, 'bid': 70.25}
110.0	2018-02-16	call	FB180216C00110000	69.5	70.4	71.15	-0.30000305	-0.4298038	20.0	156.0	1.1726115588378905	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-07 17:38:10	{'percentChange': -0.4298038, 'strike': 110.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1512668290, 'currency': 'USD', 'expiration': 1518739200, 'volume': 20, 'contractSymbol': 'FB180216C00110000', 'change': -0.30000305, 'ask': 71.15, 'impliedVolatility': 1.1726115588378905, 'openInterest': 156, 'lastPrice': 69.5, 'bid': 70.4}
115.0	2018-02-16	call	FB180216C00115000	66.25	62.1	63.45	0.0	0.0	7.0	247.0	0.8017597949218749	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-18 14:46:35	{'percentChange': 0.0, 'strike': 115.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513608395, 'currency': 'USD', 'expiration': 1518739200, 'volume': 7, 'contractSymbol': 'FB180216C00115000', 'change': 0.0, 'ask': 63.45, 'impliedVolatility': 0.8017597949218749, 'openInterest': 247, 'lastPrice': 66.25, 'bid': 62.1}
120.0	2018-02-16	call	FB180216C00120000	56.08	56.65	57.2	-4.919998	-8.065571	11.0	219.0	0.619388571777344	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-26 15:15:30	{'percentChange': -8.065571, 'strike': 120.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514301330, 'currency': 'USD', 'expiration': 1518739200, 'volume': 11, 'contractSymbol': 'FB180216C00120000', 'change': -4.919998, 'ask': 57.2, 'impliedVolatility': 0.619388571777344, 'openInterest': 219, 'lastPrice': 56.08, 'bid': 56.65}
125.0	2018-02-16	call	FB180216C00125000	51.3	51.85	52.2	-1.3199997	-2.5085514	20.0	445.0	0.5795940478515625	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-26 15:53:59	{'percentChange': -2.5085514, 'strike': 125.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514303639, 'currency': 'USD', 'expiration': 1518739200, 'volume': 20, 'contractSymbol': 'FB180216C00125000', 'change': -1.3199997, 'ask': 52.2, 'impliedVolatility': 0.5795940478515625, 'openInterest': 445, 'lastPrice': 51.3, 'bid': 51.85}
130.0	2018-02-16	call	FB180216C00130000	46.0	46.75	47.1	-1.5	-3.1578946	1.0	355.0	0.5105029418945313	FB	False	FB	176.1788	2017-12-26 18:53:05	2017-12-26 15:01:12	{'percentChange': -3.1578946, 'strike': 130.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514300472, 'currency': 'USD', 'expiration': 1518739200, 'volume': 1, 'contractSymbol': 'FB180216C00130000', 'change': -1.5, 'ask': 47.1, 'impliedVolatility': 0.5105029418945313, 'openInterest': 355, 'lastPrice': 46.0, 'bid': 46.75}
