Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
11.0	2018-01-19	call	M180119C00011000	12.95	11.75	15.15	2.79	27.460629	7.0	5.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-11-29 17:10:56	{'percentChange': 27.460629, 'strike': 11.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1511975456, 'currency': 'USD', 'expiration': 1516320000, 'volume': 7, 'contractSymbol': 'M180119C00011000', 'change': 2.79, 'ask': 15.15, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 5, 'lastPrice': 12.95, 'bid': 11.75}
13.0	2018-01-19	call	M180119C00013000	12.83	11.15	13.2	0.0	0.0	18.0	0.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-13 20:01:22	{'percentChange': 0.0, 'strike': 13.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513195282, 'currency': 'USD', 'expiration': 1516320000, 'volume': 18, 'contractSymbol': 'M180119C00013000', 'change': 0.0, 'ask': 13.2, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 0, 'lastPrice': 12.83, 'bid': 11.15}
14.0	2018-01-19	call	M180119C00014000	11.88	10.1	12.2	0.0	0.0	32.0	4.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-13 20:05:05	{'percentChange': 0.0, 'strike': 14.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513195505, 'currency': 'USD', 'expiration': 1516320000, 'volume': 32, 'contractSymbol': 'M180119C00014000', 'change': 0.0, 'ask': 12.2, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 4, 'lastPrice': 11.88, 'bid': 10.1}
15.0	2018-01-19	call	M180119C00015000	10.22	8.5	11.25	0.0	0.0	10.0	34.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-14 15:18:53	{'percentChange': 0.0, 'strike': 15.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513264733, 'currency': 'USD', 'expiration': 1516320000, 'volume': 10, 'contractSymbol': 'M180119C00015000', 'change': 0.0, 'ask': 11.25, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 34, 'lastPrice': 10.22, 'bid': 8.5}
16.0	2018-01-19	call	M180119C00016000	9.49	9.3	10.05	0.0	0.0	1.0	365.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-19 17:12:52	{'percentChange': 0.0, 'strike': 16.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513703572, 'currency': 'USD', 'expiration': 1516320000, 'volume': 1, 'contractSymbol': 'M180119C00016000', 'change': 0.0, 'ask': 10.05, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 365, 'lastPrice': 9.49, 'bid': 9.3}
17.0	2018-01-19	call	M180119C00017000	8.6	8.65	8.95	0.10000038	1.176475	3.0	24.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-22 18:41:11	{'percentChange': 1.176475, 'strike': 17.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513968071, 'currency': 'USD', 'expiration': 1516320000, 'volume': 3, 'contractSymbol': 'M180119C00017000', 'change': 0.10000038, 'ask': 8.95, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 24, 'lastPrice': 8.6, 'bid': 8.65}
18.0	2018-01-19	call	M180119C00018000	8.5	8.8	9.6	0.8000002	10.389613	1.0	182.0	1.15234798828125	M	False	M	26.921	2017-12-26 18:53:57	2017-12-26 14:38:28	{'percentChange': 10.389613, 'strike': 18.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514299108, 'currency': 'USD', 'expiration': 1516320000, 'volume': 1, 'contractSymbol': 'M180119C00018000', 'change': 0.8000002, 'ask': 9.6, 'impliedVolatility': 1.15234798828125, 'openInterest': 182, 'lastPrice': 8.5, 'bid': 8.8}
19.0	2018-01-19	call	M180119C00019000	6.1	5.5	6.25	0.099999905	1.6666651	20.0	248.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-15 16:38:14	{'percentChange': 1.6666651, 'strike': 19.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1513355894, 'currency': 'USD', 'expiration': 1516320000, 'volume': 20, 'contractSymbol': 'M180119C00019000', 'change': 0.099999905, 'ask': 6.25, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 248, 'lastPrice': 6.1, 'bid': 5.5}
19.5	2018-01-19	call	M180119C00019500	5.9	5.95	6.35	0.0	0.0	3.0	3.0	1.0000000000000003e-05	M	False	M	26.921	2017-12-26 18:53:57	2017-12-23 04:53:07	{'percentChange': 0.0, 'strike': 19.5, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514004787, 'currency': 'USD', 'expiration': 1516320000, 'volume': 3, 'contractSymbol': 'M180119C00019500', 'change': 0.0, 'ask': 6.35, 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 3, 'lastPrice': 5.9, 'bid': 5.95}
20.0	2018-01-19	call	M180119C00020000	7.0	6.7	7.6	1.1999998	20.689651	8.0	2005.0	0.86132951171875	M	False	M	26.921	2017-12-26 18:53:57	2017-12-26 16:09:51	{'percentChange': 20.689651, 'strike': 20.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514304591, 'currency': 'USD', 'expiration': 1516320000, 'volume': 8, 'contractSymbol': 'M180119C00020000', 'change': 1.1999998, 'ask': 7.6, 'impliedVolatility': 0.86132951171875, 'openInterest': 2005, 'lastPrice': 7.0, 'bid': 6.7}
21.0	2018-01-19	call	M180119C00021000	6.0	5.9	6.35	1.1599998	23.966938	20.0	1430.0	0.72851833984375	M	False	M	26.921	2017-12-26 18:53:57	2017-12-26 16:56:57	{'percentChange': 23.966938, 'strike': 21.0, 'inTheMoney': True, 'contractSize': 'REGULAR', 'lastTradeDate': 1514307417, 'currency': 'USD', 'expiration': 1516320000, 'volume': 20, 'contractSymbol': 'M180119C00021000', 'change': 1.1599998, 'ask': 6.35, 'impliedVolatility': 0.72851833984375, 'openInterest': 1430, 'lastPrice': 6.0, 'bid': 5.9}
