Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
100.0	2018-02-16	call	BA180216C00100000	176.5	169.7	173.85	0.0	0.0	5.0	31.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-30 20:47:40	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 173.85, 'contractSize': 'REGULAR', 'volume': 5, 'expiration': 1518739200, 'lastTradeDate': 1512074860, 'currency': 'USD', 'percentChange': 0.0, 'contractSymbol': 'BA180216C00100000', 'lastPrice': 176.5, 'inTheMoney': True, 'change': 0.0, 'openInterest': 31, 'strike': 100.0, 'bid': 169.7}
105.0	2018-02-16	call	BA180216C00105000	164.35	162.65	166.1	4.100006	2.558506	1.0	11.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 20:39:35	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 166.1, 'contractSize': 'REGULAR', 'volume': 1, 'expiration': 1518739200, 'lastTradeDate': 1511987975, 'currency': 'USD', 'percentChange': 2.558506, 'contractSymbol': 'BA180216C00105000', 'lastPrice': 164.35, 'inTheMoney': True, 'change': 4.100006, 'openInterest': 11, 'strike': 105.0, 'bid': 162.65}
110.0	2018-02-16	call	BA180216C00110000	159.15	157.7	161.25	2.2999878	1.4663613	10.0	7.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 18:46:49	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 161.25, 'contractSize': 'REGULAR', 'volume': 10, 'expiration': 1518739200, 'lastTradeDate': 1511981209, 'currency': 'USD', 'percentChange': 1.4663613, 'contractSymbol': 'BA180216C00110000', 'lastPrice': 159.15, 'inTheMoney': True, 'change': 2.2999878, 'openInterest': 7, 'strike': 110.0, 'bid': 157.7}
115.0	2018-02-16	call	BA180216C00115000	152.65	152.7	156.1	0.0	0.0	4.0	4.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 21:24:23	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 156.1, 'contractSize': 'REGULAR', 'volume': 4, 'expiration': 1518739200, 'lastTradeDate': 1511990663, 'currency': 'USD', 'percentChange': 0.0, 'contractSymbol': 'BA180216C00115000', 'lastPrice': 152.65, 'inTheMoney': True, 'change': 0.0, 'openInterest': 4, 'strike': 115.0, 'bid': 152.7}
120.0	2018-02-16	call	BA180216C00120000	145.45	140.5	145.0	0.0	0.0	2.0	2.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-18 04:48:12	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 145.0, 'contractSize': 'REGULAR', 'volume': 2, 'expiration': 1518739200, 'lastTradeDate': 1510980492, 'currency': 'USD', 'percentChange': 0.0, 'contractSymbol': 'BA180216C00120000', 'lastPrice': 145.45, 'inTheMoney': True, 'change': 0.0, 'openInterest': 2, 'strike': 120.0, 'bid': 140.5}
125.0	2018-02-16	call	BA180216C00125000	144.05	142.9	146.25	3.6500092	2.5997217	1.0	3.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 18:25:50	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 146.25, 'contractSize': 'REGULAR', 'volume': 1, 'expiration': 1518739200, 'lastTradeDate': 1511979950, 'currency': 'USD', 'percentChange': 2.5997217, 'contractSymbol': 'BA180216C00125000', 'lastPrice': 144.05, 'inTheMoney': True, 'change': 3.6500092, 'openInterest': 3, 'strike': 125.0, 'bid': 142.9}
135.0	2018-02-16	call	BA180216C00135000	134.15	133.25	136.1	2.2999878	1.7443972	2.0	5.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 18:26:50	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 136.1, 'contractSize': 'REGULAR', 'volume': 2, 'expiration': 1518739200, 'lastTradeDate': 1511980010, 'currency': 'USD', 'percentChange': 1.7443972, 'contractSymbol': 'BA180216C00135000', 'lastPrice': 134.15, 'inTheMoney': True, 'change': 2.2999878, 'openInterest': 5, 'strike': 135.0, 'bid': 133.25}
140.0	2018-02-16	call	BA180216C00140000	129.2	127.7	131.25	0.0	0.0	2.0	0.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 21:24:23	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 131.25, 'contractSize': 'REGULAR', 'volume': 2, 'expiration': 1518739200, 'lastTradeDate': 1511990663, 'currency': 'USD', 'percentChange': 0.0, 'contractSymbol': 'BA180216C00140000', 'lastPrice': 129.2, 'inTheMoney': True, 'change': 0.0, 'openInterest': 0, 'strike': 140.0, 'bid': 127.7}
145.0	2018-02-16	call	BA180216C00145000	120.75	119.2	123.5	0.0	0.0	4.0	4.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-24 17:54:46	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 123.5, 'contractSize': 'REGULAR', 'volume': 4, 'expiration': 1518739200, 'lastTradeDate': 1511546086, 'currency': 'USD', 'percentChange': 0.0, 'contractSymbol': 'BA180216C00145000', 'lastPrice': 120.75, 'inTheMoney': True, 'change': 0.0, 'openInterest': 4, 'strike': 145.0, 'bid': 119.2}
160.0	2018-02-16	call	BA180216C00160000	109.15	108.6	111.4	3.1600037	2.981417	2.0	0.0	1.0000000000000003e-05	BA	False	BA	296.35	2017-12-28 21:00:40	2017-11-29 17:58:35	{'impliedVolatility': 1.0000000000000003e-05, 'ask': 111.4, 'contractSize': 'REGULAR', 'volume': 2, 'expiration': 1518739200, 'lastTradeDate': 1511978315, 'currency': 'USD', 'percentChange': 2.981417, 'contractSymbol': 'BA180216C00160000', 'lastPrice': 109.15, 'inTheMoney': True, 'change': 3.1600037, 'openInterest': 0, 'strike': 160.0, 'bid': 108.6}
