Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
8.0	2018-02-16	call	MRVL180216C00008000	13.9	13.7	13.8	0.0	0.0	5.0	5.0	1.203128984375	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-12-29 18:42:37	{'bid': 13.7, 'volume': 5, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 13.8, 'inTheMoney': True, 'impliedVolatility': 1.203128984375, 'strike': 8.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514572957, 'lastPrice': 13.9, 'contractSymbol': 'MRVL180216C00008000', 'percentChange': 0.0, 'openInterest': 5}
10.0	2018-02-16	call	MRVL180216C00010000	5.8	8.3	8.5	0.0	0.0	10.0	0.0	1.0000000000000003e-05	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-08-22 17:19:05	{'bid': 8.3, 'volume': 10, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 8.5, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 10.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1503422345, 'lastPrice': 5.8, 'contractSymbol': 'MRVL180216C00010000', 'percentChange': 0.0, 'openInterest': 0}
12.0	2018-02-16	call	MRVL180216C00012000	3.89	6.35	6.5	0.0	0.0	4.0	0.0	1.0000000000000003e-05	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-08-01 14:49:36	{'bid': 6.35, 'volume': 4, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 6.5, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 12.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1501598976, 'lastPrice': 3.89, 'contractSymbol': 'MRVL180216C00012000', 'percentChange': 0.0, 'openInterest': 0}
14.0	2018-02-16	call	MRVL180216C00014000	6.18	8.1	8.3	0.0	0.0	15.0	63.0	1.08203583984375	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-11-14 14:30:00	{'bid': 8.1, 'volume': 15, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 8.3, 'inTheMoney': True, 'impliedVolatility': 1.08203583984375, 'strike': 14.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1510669800, 'lastPrice': 6.18, 'contractSymbol': 'MRVL180216C00014000', 'percentChange': 0.0, 'openInterest': 63}
15.0	2018-02-16	call	MRVL180216C00015000	6.43	8.55	9.1	0.0	0.0	2.0	3.0	1.79296978515625	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-11-20 20:36:16	{'bid': 8.55, 'volume': 2, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 9.1, 'inTheMoney': True, 'impliedVolatility': 1.79296978515625, 'strike': 15.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1511210176, 'lastPrice': 6.43, 'contractSymbol': 'MRVL180216C00015000', 'percentChange': 0.0, 'openInterest': 3}
16.0	2018-02-16	call	MRVL180216C00016000	4.3	4.2	4.35	0.0	0.0	5.0	52.0	1.0000000000000003e-05	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-11-07 17:49:14	{'bid': 4.2, 'volume': 5, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 4.35, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 16.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1510076954, 'lastPrice': 4.3, 'contractSymbol': 'MRVL180216C00016000', 'percentChange': 0.0, 'openInterest': 52}
17.0	2018-02-16	call	MRVL180216C00017000	5.37	5.0	5.15	0.0	0.0	10.0	361.0	0.63867548828125	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-12-20 20:59:17	{'bid': 5.0, 'volume': 10, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 5.15, 'inTheMoney': True, 'impliedVolatility': 0.63867548828125, 'strike': 17.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513803557, 'lastPrice': 5.37, 'contractSymbol': 'MRVL180216C00017000', 'percentChange': 0.0, 'openInterest': 361}
18.0	2018-02-16	call	MRVL180216C00018000	4.2	4.0	4.15	0.0	0.0	6.0	222.0	0.5312546875	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-12-21 19:10:40	{'bid': 4.0, 'volume': 6, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 4.15, 'inTheMoney': True, 'impliedVolatility': 0.5312546875, 'strike': 18.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513883440, 'lastPrice': 4.2, 'contractSymbol': 'MRVL180216C00018000', 'percentChange': 0.0, 'openInterest': 222}
19.0	2018-02-16	call	MRVL180216C00019000	2.94	2.87	2.91	-0.06999993	-2.3255792	5.0	417.0	0.33789724609375	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-12-29 17:03:08	{'bid': 2.87, 'volume': 5, 'contractSize': 'REGULAR', 'change': -0.06999993, 'ask': 2.91, 'inTheMoney': True, 'impliedVolatility': 0.33789724609375, 'strike': 19.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514566988, 'lastPrice': 2.94, 'contractSymbol': 'MRVL180216C00019000', 'percentChange': -2.3255792, 'openInterest': 417}
20.0	2018-02-16	call	MRVL180216C00020000	2.05	2.01	2.05	-0.1500001	-6.818186	15.0	443.0	0.30811238769531246	MRVL	False	MRVL	21.725	2017-12-29 19:02:04	2017-12-29 16:52:40	{'bid': 2.01, 'volume': 15, 'contractSize': 'REGULAR', 'change': -0.1500001, 'ask': 2.05, 'inTheMoney': True, 'impliedVolatility': 0.30811238769531246, 'strike': 20.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514566360, 'lastPrice': 2.05, 'contractSymbol': 'MRVL180216C00020000', 'percentChange': -6.818186, 'openInterest': 443}
