Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
12.0	2018-02-16	call	M180216C00012000	13.84	12.1	13.35	0.0	0.0	4.0	5.0	1.0000000000000003e-05	M	False	M	25.41	2017-12-29 19:02:10	2017-12-13 19:45:24	{'bid': 12.1, 'volume': 4, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 13.35, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 12.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513194324, 'lastPrice': 13.84, 'contractSymbol': 'M180216C00012000', 'percentChange': 0.0, 'openInterest': 5}
13.0	2018-02-16	call	M180216C00013000	10.13	8.1	8.45	0.0	0.0	1.0	0.0	1.0000000000000003e-05	M	False	M	25.41	2017-12-29 19:02:10	2017-07-21 17:14:13	{'bid': 8.1, 'volume': 1, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 8.45, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 13.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1500657253, 'lastPrice': 10.13, 'contractSymbol': 'M180216C00013000', 'percentChange': 0.0, 'openInterest': 0}
14.0	2018-02-16	call	M180216C00014000	11.85	10.0	12.4	0.0	0.0	56.0	50.0	1.6591813916015625	M	False	M	25.41	2017-12-29 19:02:10	2017-12-13 20:28:23	{'bid': 10.0, 'volume': 56, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 12.4, 'inTheMoney': True, 'impliedVolatility': 1.6591813916015625, 'strike': 14.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513196903, 'lastPrice': 11.85, 'contractSymbol': 'M180216C00014000', 'percentChange': 0.0, 'openInterest': 50}
15.0	2018-02-16	call	M180216C00015000	10.8	8.95	11.35	0.0	0.0	100.0	15.0	1.482424462890625	M	False	M	25.41	2017-12-29 19:02:10	2017-12-13 20:48:26	{'bid': 8.95, 'volume': 100, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 11.35, 'inTheMoney': True, 'impliedVolatility': 1.482424462890625, 'strike': 15.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513198106, 'lastPrice': 10.8, 'contractSymbol': 'M180216C00015000', 'percentChange': 0.0, 'openInterest': 15}
16.0	2018-02-16	call	M180216C00016000	9.8	8.3	9.45	0.0	0.0	100.0	5.0	0.6250037500000001	M	False	M	25.41	2017-12-29 19:02:10	2017-12-13 20:48:26	{'bid': 8.3, 'volume': 100, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 9.45, 'inTheMoney': True, 'impliedVolatility': 0.6250037500000001, 'strike': 16.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513198106, 'lastPrice': 9.8, 'contractSymbol': 'M180216C00016000', 'percentChange': 0.0, 'openInterest': 5}
17.0	2018-02-16	call	M180216C00017000	9.9	8.5	8.65	0.0	0.0	5.0	174.0	0.726565234375	M	False	M	25.41	2017-12-29 19:02:10	2017-12-26 15:06:05	{'bid': 8.5, 'volume': 5, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 8.65, 'inTheMoney': True, 'impliedVolatility': 0.726565234375, 'strike': 17.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514300765, 'lastPrice': 9.9, 'contractSymbol': 'M180216C00017000', 'percentChange': 0.0, 'openInterest': 174}
18.0	2018-02-16	call	M180216C00018000	7.8	6.65	7.2	0.0	0.0	400.0	100.0	1.0000000000000003e-05	M	False	M	25.41	2017-12-29 19:02:10	2017-12-13 20:48:26	{'bid': 6.65, 'volume': 400, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 7.2, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 18.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513198106, 'lastPrice': 7.8, 'contractSymbol': 'M180216C00018000', 'percentChange': 0.0, 'openInterest': 100}
19.0	2018-02-16	call	M180216C00019000	6.25	6.7	7.2	0.0	0.0	20.0	175.0	0.79101771484375	M	False	M	25.41	2017-12-29 19:02:10	2017-12-18 14:30:49	{'bid': 6.7, 'volume': 20, 'contractSize': 'REGULAR', 'change': 0.0, 'ask': 7.2, 'inTheMoney': True, 'impliedVolatility': 0.79101771484375, 'strike': 19.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1513607449, 'lastPrice': 6.25, 'contractSymbol': 'M180216C00019000', 'percentChange': 0.0, 'openInterest': 175}
20.0	2018-02-16	call	M180216C00020000	6.0	5.65	5.7	0.1500001	2.5641043	30.0	1154.0	0.5468795312500001	M	False	M	25.41	2017-12-29 19:02:10	2017-12-29 17:19:42	{'bid': 5.65, 'volume': 30, 'contractSize': 'REGULAR', 'change': 0.1500001, 'ask': 5.7, 'inTheMoney': True, 'impliedVolatility': 0.5468795312500001, 'strike': 20.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514567982, 'lastPrice': 6.0, 'contractSymbol': 'M180216C00020000', 'percentChange': 2.5641043, 'openInterest': 1154}
21.0	2018-02-16	call	M180216C00021000	5.03	4.75	4.85	0.03000021	0.6000042	75.0	3725.0	0.526371923828125	M	False	M	25.41	2017-12-29 19:02:10	2017-12-29 15:12:09	{'bid': 4.75, 'volume': 75, 'contractSize': 'REGULAR', 'change': 0.03000021, 'ask': 4.85, 'inTheMoney': True, 'impliedVolatility': 0.526371923828125, 'strike': 21.0, 'currency': 'USD', 'expiration': 1518739200, 'lastTradeDate': 1514560329, 'lastPrice': 5.03, 'contractSymbol': 'M180216C00021000', 'percentChange': 0.6000042, 'openInterest': 3725}
