Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
5.0	2018-02-16	call	QD180216C00005000	7.0	6.6	7.0	0.0	0.0	10.0	10.0	1.0000000000000003e-05	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-07 23:38:04	{'ask': 7.0, 'percentChange': 0.0, 'change': 0.0, 'strike': 5.0, 'lastTradeDate': 1512689884, 'contractSize': 'REGULAR', 'volume': 10, 'impliedVolatility': 1.0000000000000003e-05, 'contractSymbol': 'QD180216C00005000', 'bid': 6.6, 'expiration': 1518739200, 'inTheMoney': True, 'openInterest': 10, 'lastPrice': 7.0, 'currency': 'USD'}
7.5	2018-02-16	call	QD180216C00007500	5.43	5.8	6.3	0.52999973	10.81632	5.0	110.0	2.076176684570312	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-08 16:31:24	{'ask': 6.3, 'percentChange': 10.81632, 'change': 0.52999973, 'strike': 7.5, 'lastTradeDate': 1512750684, 'contractSize': 'REGULAR', 'volume': 5, 'impliedVolatility': 2.076176684570312, 'contractSymbol': 'QD180216C00007500', 'bid': 5.8, 'expiration': 1518739200, 'inTheMoney': True, 'openInterest': 110, 'lastPrice': 5.43, 'currency': 'USD'}
10.0	2018-02-16	call	QD180216C00010000	2.9	2.6	2.95	0.35000014	13.725495	52.0	947.0	0.6562534375000001	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-29 15:39:06	{'ask': 2.95, 'percentChange': 13.725495, 'change': 0.35000014, 'strike': 10.0, 'lastTradeDate': 1514561946, 'contractSize': 'REGULAR', 'volume': 52, 'impliedVolatility': 0.6562534375000001, 'contractSymbol': 'QD180216C00010000', 'bid': 2.6, 'expiration': 1518739200, 'inTheMoney': True, 'openInterest': 947, 'lastPrice': 2.9, 'currency': 'USD'}
12.5	2018-02-16	call	QD180216C00012500	1.4	1.2	1.55	0.100000024	7.6923094	191.0	1673.0	0.7578149218750001	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-29 20:50:22	{'ask': 1.55, 'percentChange': 7.6923094, 'change': 0.100000024, 'strike': 12.5, 'lastTradeDate': 1514580622, 'contractSize': 'REGULAR', 'volume': 191, 'impliedVolatility': 0.7578149218750001, 'contractSymbol': 'QD180216C00012500', 'bid': 1.2, 'expiration': 1518739200, 'inTheMoney': True, 'openInterest': 1673, 'lastPrice': 1.4, 'currency': 'USD'}
15.0	2018-02-16	call	QD180216C00015000	0.71	0.65	0.8	0.00999999	1.4285702	33.0	1048.0	0.8554701953125	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-29 20:51:01	{'ask': 0.8, 'percentChange': 1.4285702, 'change': 0.00999999, 'strike': 15.0, 'lastTradeDate': 1514580661, 'contractSize': 'REGULAR', 'volume': 33, 'impliedVolatility': 0.8554701953125, 'contractSymbol': 'QD180216C00015000', 'bid': 0.65, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 1048, 'lastPrice': 0.71, 'currency': 'USD'}
17.5	2018-02-16	call	QD180216C00017500	0.38	0.25	0.45	0.0	0.0	10.0	1270.0	0.8828136718749999	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-27 17:27:28	{'ask': 0.45, 'percentChange': 0.0, 'change': 0.0, 'strike': 17.5, 'lastTradeDate': 1514395648, 'contractSize': 'REGULAR', 'volume': 10, 'impliedVolatility': 0.8828136718749999, 'contractSymbol': 'QD180216C00017500', 'bid': 0.25, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 1270, 'lastPrice': 0.38, 'currency': 'USD'}
20.0	2018-02-16	call	QD180216C00020000	0.17	0.1	0.3	0.120000005	240.00002	50.0	1475.0	0.93945373046875	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-29 15:34:04	{'ask': 0.3, 'percentChange': 240.00002, 'change': 0.120000005, 'strike': 20.0, 'lastTradeDate': 1514561644, 'contractSize': 'REGULAR', 'volume': 50, 'impliedVolatility': 0.93945373046875, 'contractSymbol': 'QD180216C00020000', 'bid': 0.1, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 1475, 'lastPrice': 0.17, 'currency': 'USD'}
22.5	2018-02-16	call	QD180216C00022500	0.1	0.1	0.25	0.0	0.0	330.0	1739.0	1.0664109179687502	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-21 20:16:33	{'ask': 0.25, 'percentChange': 0.0, 'change': 0.0, 'strike': 22.5, 'lastTradeDate': 1513887393, 'contractSize': 'REGULAR', 'volume': 330, 'impliedVolatility': 1.0664109179687502, 'contractSymbol': 'QD180216C00022500', 'bid': 0.1, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 1739, 'lastPrice': 0.1, 'currency': 'USD'}
25.0	2018-02-16	call	QD180216C00025000	0.05	0.0	0.1	0.0	0.0	2.0	357.0	0.9570316796874999	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-28 16:35:26	{'ask': 0.1, 'percentChange': 0.0, 'change': 0.0, 'strike': 25.0, 'lastTradeDate': 1514478926, 'contractSize': 'REGULAR', 'volume': 2, 'impliedVolatility': 0.9570316796874999, 'contractSymbol': 'QD180216C00025000', 'bid': 0.0, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 357, 'lastPrice': 0.05, 'currency': 'USD'}
30.0	2018-02-16	call	QD180216C00030000	0.05	0.0	0.1	0.0	0.0	7.0	379.0	1.15625421875	QD	False	QD	12.54	2017-12-29 21:01:58	2017-12-20 17:48:23	{'ask': 0.1, 'percentChange': 0.0, 'change': 0.0, 'strike': 30.0, 'lastTradeDate': 1513792103, 'contractSize': 'REGULAR', 'volume': 7, 'impliedVolatility': 1.15625421875, 'contractSymbol': 'QD180216C00030000', 'bid': 0.0, 'expiration': 1518739200, 'inTheMoney': False, 'openInterest': 379, 'lastPrice': 0.05, 'currency': 'USD'}
