Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
22.5	2018-01-19	call	DFS180119C00022500	43.53	42.8	43.3	0.0	0.0	8.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-11-20 19:27:48	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 43.3, 'currency': 'USD', 'bid': 42.8, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1511206068, 'contractSymbol': 'DFS180119C00022500', 'strike': 22.5, 'lastPrice': 43.53, 'volume': 8, 'inTheMoney': True}
25.0	2018-01-19	call	DFS180119C00025000	35.29	41.3	41.8	0.0	0.0	24.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-06-03 03:48:05	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 41.8, 'currency': 'USD', 'bid': 41.3, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1496461685, 'contractSymbol': 'DFS180119C00025000', 'strike': 25.0, 'lastPrice': 35.29, 'volume': 24, 'inTheMoney': True}
27.5	2018-01-19	call	DFS180119C00027500	28.49	38.9	39.2	0.0	0.0	10.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-06-03 03:48:05	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 39.2, 'currency': 'USD', 'bid': 38.9, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1496461685, 'contractSymbol': 'DFS180119C00027500', 'strike': 27.5, 'lastPrice': 28.49, 'volume': 10, 'inTheMoney': True}
30.0	2018-01-19	call	DFS180119C00030000	38.92	36.4	36.7	0.0	0.0	2.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-06-03 03:48:05	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 36.7, 'currency': 'USD', 'bid': 36.4, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1496461685, 'contractSymbol': 'DFS180119C00030000', 'strike': 30.0, 'lastPrice': 38.92, 'volume': 2, 'inTheMoney': True}
32.5	2018-01-19	call	DFS180119C00032500	26.84	33.9	34.2	0.0	0.0	17.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-08-21 17:22:20	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 34.2, 'currency': 'USD', 'bid': 33.9, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1503336140, 'contractSymbol': 'DFS180119C00032500', 'strike': 32.5, 'lastPrice': 26.84, 'volume': 17, 'inTheMoney': True}
35.0	2018-01-19	call	DFS180119C00035000	26.75	30.3	32.8	0.0	0.0	2.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-06-03 03:48:05	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 32.8, 'currency': 'USD', 'bid': 30.3, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1496461685, 'contractSymbol': 'DFS180119C00035000', 'strike': 35.0, 'lastPrice': 26.75, 'volume': 2, 'inTheMoney': True}
37.5	2018-01-19	call	DFS180119C00037500	24.03	27.8	30.3	0.0	0.0	2.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-06-27 17:27:03	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 30.3, 'currency': 'USD', 'bid': 27.8, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1498584423, 'contractSymbol': 'DFS180119C00037500', 'strike': 37.5, 'lastPrice': 24.03, 'volume': 2, 'inTheMoney': True}
40.0	2018-01-19	call	DFS180119C00040000	37.5	0.0	0.0	0.0	0.0	1.0	1.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-12-28 20:07:30	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 0.0, 'currency': 'USD', 'bid': 0.0, 'contractSize': 'REGULAR', 'openInterest': 1, 'change': 0.0, 'lastTradeDate': 1514491650, 'contractSymbol': 'DFS180119C00040000', 'strike': 40.0, 'lastPrice': 37.5, 'volume': 1, 'inTheMoney': True}
42.5	2018-01-19	call	DFS180119C00042500	23.41	21.5	25.5	0.0	0.0	8.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-11-20 18:56:34	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 25.5, 'currency': 'USD', 'bid': 21.5, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1511204194, 'contractSymbol': 'DFS180119C00042500', 'strike': 42.5, 'lastPrice': 23.41, 'volume': 8, 'inTheMoney': True}
45.0	2018-01-19	call	DFS180119C00045000	21.05	20.4	23.0	0.0	0.0	24.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-11-20 19:28:38	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 23.0, 'currency': 'USD', 'bid': 20.4, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1511206118, 'contractSymbol': 'DFS180119C00045000', 'strike': 45.0, 'lastPrice': 21.05, 'volume': 24, 'inTheMoney': True}
47.5	2018-01-19	call	DFS180119C00047500	18.4	17.9	20.6	0.0	0.0	280.0	0.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-11-20 18:38:21	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 20.6, 'currency': 'USD', 'bid': 17.9, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'lastTradeDate': 1511203101, 'contractSymbol': 'DFS180119C00047500', 'strike': 47.5, 'lastPrice': 18.4, 'volume': 280, 'inTheMoney': True}
50.0	2018-01-19	call	DFS180119C00050000	23.49	23.2	25.1	7.51	46.996246	1.0	8.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-12-06 15:44:27	{'percentChange': 46.996246, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 25.1, 'currency': 'USD', 'bid': 23.2, 'contractSize': 'REGULAR', 'openInterest': 8, 'change': 7.51, 'lastTradeDate': 1512575067, 'contractSymbol': 'DFS180119C00050000', 'strike': 50.0, 'lastPrice': 23.49, 'volume': 1, 'inTheMoney': True}
52.5	2018-01-19	call	DFS180119C00052500	12.7	12.4	12.8	1.0	8.5470085	170.0	197.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-11-17 16:40:37	{'percentChange': 8.5470085, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 12.8, 'currency': 'USD', 'bid': 12.4, 'contractSize': 'REGULAR', 'openInterest': 197, 'change': 1.0, 'lastTradeDate': 1510936837, 'contractSymbol': 'DFS180119C00052500', 'strike': 52.5, 'lastPrice': 12.7, 'volume': 170, 'inTheMoney': True}
55.0	2018-01-19	call	DFS180119C00055000	22.5	22.3	22.7	0.2800007	1.2601292	10.0	61.0	0.64062859375	DFS	False	DFS	77.48	2018-01-03 21:01:13	2018-01-03 18:00:14	{'percentChange': 1.2601292, 'impliedVolatility': 0.64062859375, 'expiration': 1516320000, 'ask': 22.7, 'currency': 'USD', 'bid': 22.3, 'contractSize': 'REGULAR', 'openInterest': 61, 'change': 0.2800007, 'lastTradeDate': 1515002414, 'contractSymbol': 'DFS180119C00055000', 'strike': 55.0, 'lastPrice': 22.5, 'volume': 10, 'inTheMoney': True}
57.5	2018-01-19	call	DFS180119C00057500	19.05	19.4	20.1	2.9499989	18.322975	1.0	99.0	0.7324245507812499	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-12-22 15:20:22	{'percentChange': 18.322975, 'impliedVolatility': 0.7324245507812499, 'expiration': 1516320000, 'ask': 20.1, 'currency': 'USD', 'bid': 19.4, 'contractSize': 'REGULAR', 'openInterest': 99, 'change': 2.9499989, 'lastTradeDate': 1513956022, 'contractSymbol': 'DFS180119C00057500', 'strike': 57.5, 'lastPrice': 19.05, 'volume': 1, 'inTheMoney': True}
60.0	2018-01-19	call	DFS180119C00060000	16.8	17.3	17.7	0.0	0.0	1.0	427.0	0.719729365234375	DFS	False	DFS	77.48	2018-01-03 21:01:13	2018-01-02 15:10:04	{'percentChange': 0.0, 'impliedVolatility': 0.719729365234375, 'expiration': 1516320000, 'ask': 17.7, 'currency': 'USD', 'bid': 17.3, 'contractSize': 'REGULAR', 'openInterest': 427, 'change': 0.0, 'lastTradeDate': 1514905804, 'contractSymbol': 'DFS180119C00060000', 'strike': 60.0, 'lastPrice': 16.8, 'volume': 1, 'inTheMoney': True}
62.5	2018-01-19	call	DFS180119C00062500	14.25	13.3	14.9	0.0	0.0	3.0	341.0	1.0000000000000003e-05	DFS	False	DFS	77.48	2018-01-03 21:01:13	2017-12-27 18:14:18	{'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'ask': 14.9, 'currency': 'USD', 'bid': 13.3, 'contractSize': 'REGULAR', 'openInterest': 341, 'change': 0.0, 'lastTradeDate': 1514398458, 'contractSymbol': 'DFS180119C00062500', 'strike': 62.5, 'lastPrice': 14.25, 'volume': 3, 'inTheMoney': True}
65.0	2018-01-19	call	DFS180119C00065000	12.47	12.4	12.7	0.6100006	5.1433444	1.0	2701.0	0.5302781347656251	DFS	False	DFS	77.48	2018-01-03 21:01:13	2018-01-03 14:58:25	{'percentChange': 5.1433444, 'impliedVolatility': 0.5302781347656251, 'expiration': 1516320000, 'ask': 12.7, 'currency': 'USD', 'bid': 12.4, 'contractSize': 'REGULAR', 'openInterest': 2701, 'change': 0.6100006, 'lastTradeDate': 1514991505, 'contractSymbol': 'DFS180119C00065000', 'strike': 65.0, 'lastPrice': 12.47, 'volume': 1, 'inTheMoney': True}
