Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
15.0	2018-01-19	call	NFLX180119C00015000	181.8	184.4	185.8	0.0	0.0	6.0	101.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-10-31 15:30:40	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 184.4, 'volume': 6, 'change': 0.0, 'ask': 185.8, 'strike': 15.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1509463840, 'openInterest': 101, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00015000', 'lastPrice': 181.8}
20.0	2018-01-19	call	NFLX180119C00020000	170.62	173.55	174.6	0.0	0.0	2.0	68.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-10-05 14:34:03	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 173.55, 'volume': 2, 'change': 0.0, 'ask': 174.6, 'strike': 20.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1507214043, 'openInterest': 68, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00020000', 'lastPrice': 170.62}
25.0	2018-01-19	call	NFLX180119C00025000	123.65	168.55	169.65	0.0	0.0	4.0	24.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-06-03 03:50:55	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 168.55, 'volume': 4, 'change': 0.0, 'ask': 169.65, 'strike': 25.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1496461855, 'openInterest': 24, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00025000', 'lastPrice': 123.65}
30.0	2018-01-19	call	NFLX180119C00030000	168.52	163.65	164.8	0.0	0.0	1.0	51.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-10-16 14:50:00	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 163.65, 'volume': 1, 'change': 0.0, 'ask': 164.8, 'strike': 30.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1508165400, 'openInterest': 51, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00030000', 'lastPrice': 168.52}
35.0	2018-01-19	call	NFLX180119C00035000	122.22	129.5	131.2	0.0	0.0	2.0	45.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-06-03 03:50:55	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 129.5, 'volume': 2, 'change': 0.0, 'ask': 131.2, 'strike': 35.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1496461855, 'openInterest': 45, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00035000', 'lastPrice': 122.22}
40.0	2018-01-19	call	NFLX180119C00040000	160.5	164.2	165.05	0.0	0.0	2.0	18.0	3.3554703613281243	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2018-01-02 16:15:31	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 164.2, 'volume': 2, 'change': 0.0, 'ask': 165.05, 'strike': 40.0, 'impliedVolatility': 3.3554703613281243, 'percentChange': 0.0, 'lastTradeDate': 1514909731, 'openInterest': 18, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00040000', 'lastPrice': 160.5}
45.0	2018-01-19	call	NFLX180119C00045000	123.08	148.75	149.7	0.0	0.0	5.0	99.0	1.0000000000000003e-05	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2017-08-23 16:09:29	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 148.75, 'volume': 5, 'change': 0.0, 'ask': 149.7, 'strike': 45.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1503504569, 'openInterest': 99, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00045000', 'lastPrice': 123.08}
50.0	2018-01-19	call	NFLX180119C00050000	155.73	154.4	155.05	4.7299957	3.1324477	1.0	248.0	2.906252734375	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2018-01-03 18:19:16	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 154.4, 'volume': 1, 'change': 4.7299957, 'ask': 155.05, 'strike': 50.0, 'impliedVolatility': 2.906252734375, 'percentChange': 3.1324477, 'lastTradeDate': 1515003556, 'openInterest': 248, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00050000', 'lastPrice': 155.73}
55.0	2018-01-19	call	NFLX180119C00055000	150.0	149.65	150.05	14.75	10.90573	5.0	444.0	2.281254296875	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2018-01-03 16:20:31	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 149.65, 'volume': 5, 'change': 14.75, 'ask': 150.05, 'strike': 55.0, 'impliedVolatility': 2.281254296875, 'percentChange': 10.90573, 'lastTradeDate': 1514996431, 'openInterest': 444, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00055000', 'lastPrice': 150.0}
60.0	2018-01-19	call	NFLX180119C00060000	142.2	144.45	145.05	2.0999908	1.4989227	1.0	514.0	2.5429723925781245	NFLX	False	NFLX	204.79	2018-01-03 20:28:37	2018-01-03 14:30:00	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 144.45, 'volume': 1, 'change': 2.0999908, 'ask': 145.05, 'strike': 60.0, 'impliedVolatility': 2.5429723925781245, 'percentChange': 1.4989227, 'lastTradeDate': 1514989800, 'openInterest': 514, 'expiration': 1516320000, 'contractSymbol': 'NFLX180119C00060000', 'lastPrice': 142.2}
