Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
85.0	2018-02-16	call	NVDA180216C00085000	86.2	110.3	114.5	0.0	0.0	9.0	9.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-09-16 03:51:57	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 110.3, 'volume': 9, 'change': 0.0, 'ask': 114.5, 'strike': 85.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1505533917, 'openInterest': 9, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00085000', 'lastPrice': 86.2}
90.0	2018-02-16	call	NVDA180216C00090000	123.55	120.3	122.8	0.0	0.0	1.0	6.0	1.4091826416015625	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-11-14 16:24:08	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 120.3, 'volume': 1, 'change': 0.0, 'ask': 122.8, 'strike': 90.0, 'impliedVolatility': 1.4091826416015625, 'percentChange': 0.0, 'lastTradeDate': 1510676648, 'openInterest': 6, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00090000', 'lastPrice': 123.55}
95.0	2018-02-16	call	NVDA180216C00095000	95.45	100.95	102.95	0.0	0.0	5.0	5.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-09-23 03:51:38	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 100.95, 'volume': 5, 'change': 0.0, 'ask': 102.95, 'strike': 95.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1506138698, 'openInterest': 5, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00095000', 'lastPrice': 95.45}
100.0	2018-02-16	call	NVDA180216C00100000	107.65	111.4	111.6	10.310005	10.591746	11.0	25.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2018-01-03 15:27:30	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 111.4, 'volume': 11, 'change': 10.310005, 'ask': 111.6, 'strike': 100.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 10.591746, 'lastTradeDate': 1514993250, 'openInterest': 25, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00100000', 'lastPrice': 107.65}
105.0	2018-02-16	call	NVDA180216C00105000	86.8	84.8	89.4	-14.849998	-14.608951	2.0	25.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-12-15 20:30:32	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 84.8, 'volume': 2, 'change': -14.849998, 'ask': 89.4, 'strike': 105.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': -14.608951, 'lastTradeDate': 1513369832, 'openInterest': 25, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00105000', 'lastPrice': 86.8}
110.0	2018-02-16	call	NVDA180216C00110000	86.6	83.4	84.6	-19.0	-17.992424	2.0	39.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-12-29 17:43:52	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 83.4, 'volume': 2, 'change': -19.0, 'ask': 84.6, 'strike': 110.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': -17.992424, 'lastTradeDate': 1514569432, 'openInterest': 39, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00110000', 'lastPrice': 86.6}
115.0	2018-02-16	call	NVDA180216C00115000	97.73	100.2	104.5	0.0	0.0	1.0	10.0	1.5706808575439453	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-11-20 15:05:47	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 100.2, 'volume': 1, 'change': 0.0, 'ask': 104.5, 'strike': 115.0, 'impliedVolatility': 1.5706808575439453, 'percentChange': 0.0, 'lastTradeDate': 1511190347, 'openInterest': 10, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00115000', 'lastPrice': 97.73}
120.0	2018-02-16	call	NVDA180216C00120000	76.49	73.55	74.65	-17.89	-18.955288	1.0	8.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-12-29 16:18:57	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 73.55, 'volume': 1, 'change': -17.89, 'ask': 74.65, 'strike': 120.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': -18.955288, 'lastTradeDate': 1514564337, 'openInterest': 8, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00120000', 'lastPrice': 76.49}
125.0	2018-02-16	call	NVDA180216C00125000	71.95	69.75	71.85	0.0	0.0	1.0	37.0	1.0000000000000003e-05	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2017-12-19 14:54:25	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 69.75, 'volume': 1, 'change': 0.0, 'ask': 71.85, 'strike': 125.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastTradeDate': 1513695265, 'openInterest': 37, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00125000', 'lastPrice': 71.95}
130.0	2018-02-16	call	NVDA180216C00130000	80.0	81.65	82.2	13.440002	20.192312	1.0	42.0	0.6669955175781253	NVDA	False	NVDA	211.66	2018-01-03 20:28:52	2018-01-03 16:05:05	{'contractSize': 'REGULAR', 'inTheMoney': True, 'currency': 'USD', 'bid': 81.65, 'volume': 1, 'change': 13.440002, 'ask': 82.2, 'strike': 130.0, 'impliedVolatility': 0.6669955175781253, 'percentChange': 20.192312, 'lastTradeDate': 1514995505, 'openInterest': 42, 'expiration': 1518739200, 'contractSymbol': 'NVDA180216C00130000', 'lastPrice': 80.0}
