Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
10.0	2018-01-19	call	ROKU180119C00010000	45.93	40.9	43.6	0.0	0.0	120.0	0.0	5.726565341796874	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-12-27 16:42:07	{'expiration': 1516320000, 'lastPrice': 45.93, 'strike': 10.0, 'ask': 43.6, 'percentChange': 0.0, 'bid': 40.9, 'volume': 120, 'contractSize': 'REGULAR', 'impliedVolatility': 5.726565341796874, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00010000', 'openInterest': 0, 'lastTradeDate': 1514392927, 'change': 0.0}
12.5	2018-01-19	call	ROKU180119C00012500	26.02	27.5	32.4	26.02	0.0	1.0	0.0	1.0000000000000003e-05	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-12-06 14:30:01	{'expiration': 1516320000, 'lastPrice': 26.02, 'strike': 12.5, 'ask': 32.4, 'percentChange': 0.0, 'bid': 27.5, 'volume': 1, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00012500', 'openInterest': 0, 'lastTradeDate': 1512570601, 'change': 26.02}
15.0	2018-01-19	call	ROKU180119C00015000	36.85	36.2	37.6	-4.1100006	-10.034182	16.0	34.0	3.8750003125	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-12-29 19:36:32	{'expiration': 1516320000, 'lastPrice': 36.85, 'strike': 15.0, 'ask': 37.6, 'percentChange': -10.034182, 'bid': 36.2, 'volume': 16, 'contractSize': 'REGULAR', 'impliedVolatility': 3.8750003125, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00015000', 'openInterest': 34, 'lastTradeDate': 1514576192, 'change': -4.1100006}
16.0	2018-01-19	call	ROKU180119C00016000	24.34	22.8	24.8	0.0	0.0	200.0	0.0	1.0000000000000003e-05	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-11-22 19:50:44	{'expiration': 1516320000, 'lastPrice': 24.34, 'strike': 16.0, 'ask': 24.8, 'percentChange': 0.0, 'bid': 22.8, 'volume': 200, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00016000', 'openInterest': 0, 'lastTradeDate': 1511380244, 'change': 0.0}
17.0	2018-01-19	call	ROKU180119C00017000	38.85	34.1	36.6	0.0	0.0	5.0	6.0	4.033208083496094	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-12-27 16:41:19	{'expiration': 1516320000, 'lastPrice': 38.85, 'strike': 17.0, 'ask': 36.6, 'percentChange': 0.0, 'bid': 34.1, 'volume': 5, 'contractSize': 'REGULAR', 'impliedVolatility': 4.033208083496094, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00017000', 'openInterest': 6, 'lastTradeDate': 1514392879, 'change': 0.0}
18.0	2018-01-19	call	ROKU180119C00018000	37.2	32.3	34.6	0.0	0.0	350.0	198.0	2.5546911132812498	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2018-01-03 20:56:11	{'expiration': 1516320000, 'lastPrice': 37.2, 'strike': 18.0, 'ask': 34.6, 'percentChange': 0.0, 'bid': 32.3, 'volume': 350, 'contractSize': 'REGULAR', 'impliedVolatility': 2.5546911132812498, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00018000', 'openInterest': 198, 'lastTradeDate': 1515012971, 'change': 0.0}
19.0	2018-01-19	call	ROKU180119C00019000	36.2	31.3	33.6	0.0	0.0	350.0	209.0	2.42969142578125	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2018-01-03 20:56:11	{'expiration': 1516320000, 'lastPrice': 36.2, 'strike': 19.0, 'ask': 33.6, 'percentChange': 0.0, 'bid': 31.3, 'volume': 350, 'contractSize': 'REGULAR', 'impliedVolatility': 2.42969142578125, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00019000', 'openInterest': 209, 'lastTradeDate': 1515012971, 'change': 0.0}
20.0	2018-01-19	call	ROKU180119C00020000	36.7	30.3	32.6	0.0	0.0	100.0	53.0	2.3164104589843744	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2018-01-03 17:26:12	{'expiration': 1516320000, 'lastPrice': 36.7, 'strike': 20.0, 'ask': 32.6, 'percentChange': 0.0, 'bid': 30.3, 'volume': 100, 'contractSize': 'REGULAR', 'impliedVolatility': 2.3164104589843744, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00020000', 'openInterest': 53, 'lastTradeDate': 1515000372, 'change': 0.0}
21.0	2018-01-19	call	ROKU180119C00021000	32.86	29.9	32.8	0.0	0.0	175.0	2.0	3.3378922802734365	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2017-12-26 17:05:44	{'expiration': 1516320000, 'lastPrice': 32.86, 'strike': 21.0, 'ask': 32.8, 'percentChange': 0.0, 'bid': 29.9, 'volume': 175, 'contractSize': 'REGULAR', 'impliedVolatility': 3.3378922802734365, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00021000', 'openInterest': 2, 'lastTradeDate': 1514307944, 'change': 0.0}
22.0	2018-01-19	call	ROKU180119C00022000	34.7	28.8	30.1	0.0	0.0	32.0	16.0	2.1015672460937496	ROKU	False	ROKU	51.3	2018-01-04 19:06:08	2018-01-03 17:24:39	{'expiration': 1516320000, 'lastPrice': 34.7, 'strike': 22.0, 'ask': 30.1, 'percentChange': 0.0, 'bid': 28.8, 'volume': 32, 'contractSize': 'REGULAR', 'impliedVolatility': 2.1015672460937496, 'inTheMoney': True, 'currency': 'USD', 'contractSymbol': 'ROKU180119C00022000', 'openInterest': 16, 'lastTradeDate': 1515000279, 'change': 0.0}
