Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
59.26	2018-02-16	call	ATHM180216C00059260	20.04	19.9	21.3	6.340001	46.27738	1.0	5.0	0.6196327099609377	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-09 14:52:14	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00059260', 'change': 6.340001, 'percentChange': 46.27738, 'impliedVolatility': 0.6196327099609377, 'volume': 1, 'expiration': 1518739200, 'lastPrice': 20.04, 'openInterest': 5, 'ask': 21.3, 'bid': 19.9, 'strike': 59.26, 'inTheMoney': True, 'lastTradeDate': 1515509534}
60.0	2018-02-16	call	ATHM180216C00060000	12.5	0.0	0.0	0.0	0.0	2.0	0.0	1.0000000000000003e-05	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-02 17:48:53	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00060000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 2, 'expiration': 1518739200, 'lastPrice': 12.5, 'openInterest': 0, 'ask': 0.0, 'bid': 0.0, 'strike': 60.0, 'inTheMoney': True, 'lastTradeDate': 1514915333}
64.26	2018-02-16	call	ATHM180216C00064260	17.4	15.5	16.4	7.7	79.38144	14.0	13.0	0.5620160986328125	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-09 15:58:37	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00064260', 'change': 7.7, 'percentChange': 79.38144, 'impliedVolatility': 0.5620160986328125, 'volume': 14, 'expiration': 1518739200, 'lastPrice': 17.4, 'openInterest': 13, 'ask': 16.4, 'bid': 15.5, 'strike': 64.26, 'inTheMoney': True, 'lastTradeDate': 1515513517}
65.0	2018-02-16	call	ATHM180216C00065000	8.44	0.0	0.0	0.0	0.0	15.0	0.0	1.0000000000000003e-05	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-02 18:58:47	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00065000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 15, 'expiration': 1518739200, 'lastPrice': 8.44, 'openInterest': 0, 'ask': 0.0, 'bid': 0.0, 'strike': 65.0, 'inTheMoney': True, 'lastTradeDate': 1514919527}
69.26	2018-02-16	call	ATHM180216C00069260	11.2	11.1	11.8	3.6	47.36842	8.0	51.0	0.5422409057617189	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-09 19:22:19	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00069260', 'change': 3.6, 'percentChange': 47.36842, 'impliedVolatility': 0.5422409057617189, 'volume': 8, 'expiration': 1518739200, 'lastPrice': 11.2, 'openInterest': 51, 'ask': 11.8, 'bid': 11.1, 'strike': 69.26, 'inTheMoney': True, 'lastTradeDate': 1515525739}
70.0	2018-02-16	call	ATHM180216C00070000	5.15	0.0	0.0	0.0	0.0	46.0	0.0	1.0000000000000003e-05	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-02 20:09:21	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00070000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 46, 'expiration': 1518739200, 'lastPrice': 5.15, 'openInterest': 0, 'ask': 0.0, 'bid': 0.0, 'strike': 70.0, 'inTheMoney': True, 'lastTradeDate': 1514923761}
74.26	2018-02-16	call	ATHM180216C00074260	7.59	7.4	8.1	2.94	63.225807	26.0	67.0	0.5122119091796875	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-09 18:59:42	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00074260', 'change': 2.94, 'percentChange': 63.225807, 'impliedVolatility': 0.5122119091796875, 'volume': 26, 'expiration': 1518739200, 'lastPrice': 7.59, 'openInterest': 67, 'ask': 8.1, 'bid': 7.4, 'strike': 74.26, 'inTheMoney': True, 'lastTradeDate': 1515524382}
75.0	2018-02-16	call	ATHM180216C00075000	2.99	0.0	0.0	0.0	0.0	27.0	0.0	1.0000000000000003e-05	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-03 06:27:18	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00075000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 27, 'expiration': 1518739200, 'lastPrice': 2.99, 'openInterest': 0, 'ask': 0.0, 'bid': 0.0, 'strike': 75.0, 'inTheMoney': True, 'lastTradeDate': 1514960838}
79.26	2018-02-16	call	ATHM180216C00079260	4.7	4.5	4.8	2.1	80.769226	106.0	83.0	0.45752495605468757	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-09 20:09:43	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00079260', 'change': 2.1, 'percentChange': 80.769226, 'impliedVolatility': 0.45752495605468757, 'volume': 106, 'expiration': 1518739200, 'lastPrice': 4.7, 'openInterest': 83, 'ask': 4.8, 'bid': 4.5, 'strike': 79.26, 'inTheMoney': True, 'lastTradeDate': 1515528583}
80.0	2018-02-16	call	ATHM180216C00080000	1.45	0.0	0.0	0.0	0.0	16.0	0.0	0.007822421875	ATHM	False	ATHM	79.4	2018-01-09 21:02:02	2018-01-03 06:27:18	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'ATHM180216C00080000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 0.007822421875, 'volume': 16, 'expiration': 1518739200, 'lastPrice': 1.45, 'openInterest': 0, 'ask': 0.0, 'bid': 0.0, 'strike': 80.0, 'inTheMoney': False, 'lastTradeDate': 1514960838}
