Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
20.0	2018-01-19	call	JWN180119C00020000	26.53	21.9	22.55	0.0	0.0	8.0	0.0	1.0000000000000003e-05	JWN	False	JWN	47.89	2018-01-09 21:02:02	2017-06-03 03:51:55	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00020000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 8, 'expiration': 1516320000, 'lastPrice': 26.53, 'openInterest': 0, 'ask': 22.55, 'bid': 21.9, 'strike': 20.0, 'inTheMoney': True, 'lastTradeDate': 1496461915}
25.0	2018-01-19	call	JWN180119C00025000	0.0	30.45	32.75	0.0	0.0	0.0	0.0	7.905273555908202	JWN	False	JWN	47.89	2018-01-09 21:02:02	1970-01-01 00:00:00	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00025000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 7.905273555908202, 'volume': 0, 'expiration': 1516320000, 'lastPrice': 0.0, 'openInterest': 0, 'ask': 32.75, 'bid': 30.45, 'strike': 25.0, 'inTheMoney': True, 'lastTradeDate': 0}
27.5	2018-01-19	call	JWN180119C00027500	17.18	14.35	14.85	0.0	0.0	8.0	0.0	1.0000000000000003e-05	JWN	False	JWN	47.89	2018-01-09 21:02:02	2017-08-23 16:54:53	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00027500', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 8, 'expiration': 1516320000, 'lastPrice': 17.18, 'openInterest': 0, 'ask': 14.85, 'bid': 14.35, 'strike': 27.5, 'inTheMoney': True, 'lastTradeDate': 1503507293}
30.0	2018-01-19	call	JWN180119C00030000	18.0	16.55	19.35	0.0	0.0	5.0	42.0	1.3046909765624997	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-08 16:25:47	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00030000', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.3046909765624997, 'volume': 5, 'expiration': 1516320000, 'lastPrice': 18.0, 'openInterest': 42, 'ask': 19.35, 'bid': 16.55, 'strike': 30.0, 'inTheMoney': True, 'lastTradeDate': 1515428747}
32.65	2018-01-19	call	JWN180119C00032650	8.08	7.05	7.85	0.0	0.0	2.0	12.0	1.0000000000000003e-05	JWN	False	JWN	47.89	2018-01-09 21:02:02	2017-11-09 18:54:54	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00032650', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'volume': 2, 'expiration': 1516320000, 'lastPrice': 8.08, 'openInterest': 12, 'ask': 7.85, 'bid': 7.05, 'strike': 32.65, 'inTheMoney': True, 'lastTradeDate': 1510253694}
35.15	2018-01-19	call	JWN180119C00035150	13.5	12.65	13.1	0.0	0.0	20.0	155.0	1.0468797656250002	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-08 14:44:22	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00035150', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.0468797656250002, 'volume': 20, 'expiration': 1516320000, 'lastPrice': 13.5, 'openInterest': 155, 'ask': 13.1, 'bid': 12.65, 'strike': 35.15, 'inTheMoney': True, 'lastTradeDate': 1515422662}
37.65	2018-01-19	call	JWN180119C00037650	10.4	8.5	11.25	0.0	0.0	1.0	292.0	1.474612001953125	JWN	False	JWN	47.89	2018-01-09 21:02:02	2017-12-27 19:29:27	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00037650', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 1.474612001953125, 'volume': 1, 'expiration': 1516320000, 'lastPrice': 10.4, 'openInterest': 292, 'ask': 11.25, 'bid': 8.5, 'strike': 37.65, 'inTheMoney': True, 'lastTradeDate': 1514402967}
40.15	2018-01-19	call	JWN180119C00040150	8.16	7.65	8.0	0.0	0.0	58.0	508.0	0.5996133789062501	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-08 20:11:25	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00040150', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 0.5996133789062501, 'volume': 58, 'expiration': 1516320000, 'lastPrice': 8.16, 'openInterest': 508, 'ask': 8.0, 'bid': 7.65, 'strike': 40.15, 'inTheMoney': True, 'lastTradeDate': 1515442285}
42.5	2018-01-19	call	JWN180119C00042500	6.95	5.65	5.95	0.0	0.0	1.0	133.0	0.6669955175781253	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-02 19:58:12	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00042500', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 0.6669955175781253, 'volume': 1, 'expiration': 1516320000, 'lastPrice': 6.95, 'openInterest': 133, 'ask': 5.95, 'bid': 5.65, 'strike': 42.5, 'inTheMoney': True, 'lastTradeDate': 1514923092}
42.65	2018-01-19	call	JWN180119C00042650	5.2	5.05	6.15	-1.1200004	-17.721525	5.0	1146.0	0.6259803027343751	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-09 19:59:02	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00042650', 'change': -1.1200004, 'percentChange': -17.721525, 'impliedVolatility': 0.6259803027343751, 'volume': 5, 'expiration': 1516320000, 'lastPrice': 5.2, 'openInterest': 1146, 'ask': 6.15, 'bid': 5.05, 'strike': 42.65, 'inTheMoney': True, 'lastTradeDate': 1515527942}
45.0	2018-01-19	call	JWN180119C00045000	2.97	2.94	3.3	-0.53	-15.142857	100.0	271.0	0.437505625	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-09 16:15:49	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00045000', 'change': -0.53, 'percentChange': -15.142857, 'impliedVolatility': 0.437505625, 'volume': 100, 'expiration': 1516320000, 'lastPrice': 2.97, 'openInterest': 271, 'ask': 3.3, 'bid': 2.94, 'strike': 45.0, 'inTheMoney': True, 'lastTradeDate': 1515514549}
45.15	2018-01-19	call	JWN180119C00045150	3.0	2.9	3.05	-0.30999994	-9.365557	10.0	2929.0	0.3789124609375	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-09 19:33:30	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00045150', 'change': -0.30999994, 'percentChange': -9.365557, 'impliedVolatility': 0.3789124609375, 'volume': 10, 'expiration': 1516320000, 'lastPrice': 3.0, 'openInterest': 2929, 'ask': 3.05, 'bid': 2.9, 'strike': 45.15, 'inTheMoney': True, 'lastTradeDate': 1515526410}
47.5	2018-01-19	call	JWN180119C00047500	1.1	1.14	1.24	-0.44999993	-29.032253	13.0	4393.0	0.3129951513671875	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-09 19:59:05	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00047500', 'change': -0.44999993, 'percentChange': -29.032253, 'impliedVolatility': 0.3129951513671875, 'volume': 13, 'expiration': 1516320000, 'lastPrice': 1.1, 'openInterest': 4393, 'ask': 1.24, 'bid': 1.14, 'strike': 47.5, 'inTheMoney': True, 'lastTradeDate': 1515527945}
50.15	2018-01-19	call	JWN180119C00050150	0.25	0.22	0.3	-0.08000001	-24.242428	28.0	7147.0	0.3154365332031249	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-09 19:49:52	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00050150', 'change': -0.08000001, 'percentChange': -24.242428, 'impliedVolatility': 0.3154365332031249, 'volume': 28, 'expiration': 1516320000, 'lastPrice': 0.25, 'openInterest': 7147, 'ask': 0.3, 'bid': 0.22, 'strike': 50.15, 'inTheMoney': False, 'lastTradeDate': 1515527392}
52.5	2018-01-19	call	JWN180119C00052500	0.08	0.03	0.08	0.0	0.0	4.0	1892.0	0.3437565625	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-08 19:17:24	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00052500', 'change': 0.0, 'percentChange': 0.0, 'impliedVolatility': 0.3437565625, 'volume': 4, 'expiration': 1516320000, 'lastPrice': 0.08, 'openInterest': 1892, 'ask': 0.08, 'bid': 0.03, 'strike': 52.5, 'inTheMoney': False, 'lastTradeDate': 1515439044}
55.15	2018-01-19	call	JWN180119C00055150	0.05	0.0	0.05	0.020000001	66.66667	20.0	1509.0	0.4414118359375	JWN	False	JWN	47.89	2018-01-09 21:02:02	2018-01-05 14:48:26	{'contractSize': 'REGULAR', 'currency': 'USD', 'contractSymbol': 'JWN180119C00055150', 'change': 0.020000001, 'percentChange': 66.66667, 'impliedVolatility': 0.4414118359375, 'volume': 20, 'expiration': 1516320000, 'lastPrice': 0.05, 'openInterest': 1509, 'ask': 0.05, 'bid': 0.0, 'strike': 55.15, 'inTheMoney': False, 'lastTradeDate': 1515163706}
