Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
1.0	2018-01-19	call	ZNGA180119C00001000	2.67	2.88	3.45	0.0	0.0	1.0	86.0	9.781253886718751	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2017-06-23 19:48:09	{'bid': 2.88, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 2.67, 'volume': 1, 'ask': 3.45, 'inTheMoney': True, 'lastTradeDate': 1498247289, 'openInterest': 86, 'contractSymbol': 'ZNGA180119C00001000', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 9.781253886718751, 'strike': 1.0, 'contractSize': 'REGULAR'}
1.5	2018-01-19	call	ZNGA180119C00001500	1.52	2.05	2.23	0.0	0.0	2.0	2.0	1.0000000000000003e-05	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2017-06-03 03:47:52	{'bid': 2.05, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 1.52, 'volume': 2, 'ask': 2.23, 'inTheMoney': True, 'lastTradeDate': 1496461672, 'openInterest': 2, 'contractSymbol': 'ZNGA180119C00001500', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 1.5, 'contractSize': 'REGULAR'}
2.0	2018-01-19	call	ZNGA180119C00002000	1.92	1.98	2.02	0.0	0.0	1000.0	1245.0	3.43750140625	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2017-12-26 19:47:42	{'bid': 1.98, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 1.92, 'volume': 1000, 'ask': 2.02, 'inTheMoney': True, 'lastTradeDate': 1514317662, 'openInterest': 1245, 'contractSymbol': 'ZNGA180119C00002000', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 3.43750140625, 'strike': 2.0, 'contractSize': 'REGULAR'}
2.5	2018-01-19	call	ZNGA180119C00002500	1.38	1.42	1.54	0.0	0.0	480.0	997.0	2.2500043749999996	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2018-01-09 20:09:27	{'bid': 1.42, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 1.38, 'volume': 480, 'ask': 1.54, 'inTheMoney': True, 'lastTradeDate': 1515528567, 'openInterest': 997, 'contractSymbol': 'ZNGA180119C00002500', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 2.2500043749999996, 'strike': 2.5, 'contractSize': 'REGULAR'}
3.0	2018-01-19	call	ZNGA180119C00003000	0.95	0.92	0.96	0.0	0.0	62.0	5210.0	0.500005	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2018-01-11 18:40:00	{'bid': 0.92, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.95, 'volume': 62, 'ask': 0.96, 'inTheMoney': True, 'lastTradeDate': 1515696000, 'openInterest': 5210, 'contractSymbol': 'ZNGA180119C00003000', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 0.500005, 'strike': 3.0, 'contractSize': 'REGULAR'}
3.5	2018-01-19	call	ZNGA180119C00003500	0.44	0.42	0.46	0.060000002	15.7894745	21.0	4172.0	0.6562534375000001	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2018-01-12 18:15:37	{'bid': 0.42, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.44, 'volume': 21, 'ask': 0.46, 'inTheMoney': True, 'lastTradeDate': 1515780937, 'openInterest': 4172, 'contractSymbol': 'ZNGA180119C00003500', 'percentChange': 15.7894745, 'change': 0.060000002, 'impliedVolatility': 0.6562534375000001, 'strike': 3.5, 'contractSize': 'REGULAR'}
4.0	2018-01-19	call	ZNGA180119C00004000	0.03	0.03	0.04	-0.020000001	-40.000004	36.0	48880.0	0.28125718749999995	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2018-01-12 18:13:16	{'bid': 0.03, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.03, 'volume': 36, 'ask': 0.04, 'inTheMoney': False, 'lastTradeDate': 1515780796, 'openInterest': 48880, 'contractSymbol': 'ZNGA180119C00004000', 'percentChange': -40.000004, 'change': -0.020000001, 'impliedVolatility': 0.28125718749999995, 'strike': 4.0, 'contractSize': 'REGULAR'}
4.5	2018-01-19	call	ZNGA180119C00004500	0.01	0.0	0.02	0.0	0.0	130.0	31284.0	0.5937540625000001	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2017-12-18 16:44:06	{'bid': 0.0, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.01, 'volume': 130, 'ask': 0.02, 'inTheMoney': False, 'lastTradeDate': 1513615446, 'openInterest': 31284, 'contractSymbol': 'ZNGA180119C00004500', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 0.5937540625000001, 'strike': 4.5, 'contractSize': 'REGULAR'}
5.0	2018-01-19	call	ZNGA180119C00005000	0.01	0.0	0.05	0.0	0.0	3.0	4702.0	1.125004375	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2018-01-04 17:56:33	{'bid': 0.0, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.01, 'volume': 3, 'ask': 0.05, 'inTheMoney': False, 'lastTradeDate': 1515088593, 'openInterest': 4702, 'contractSymbol': 'ZNGA180119C00005000', 'percentChange': 0.0, 'change': 0.0, 'impliedVolatility': 1.125004375, 'strike': 5.0, 'contractSize': 'REGULAR'}
5.5	2018-01-19	call	ZNGA180119C00005500	0.07	0.03	0.08	-0.009999998	-12.499998	1428.0	21.0	1.734376328125	ZNGA	False	ZNGA	3.94	2018-01-12 18:42:23	2017-07-14 19:09:01	{'bid': 0.03, 'expiration': 1516320000, 'currency': 'USD', 'lastPrice': 0.07, 'volume': 1428, 'ask': 0.08, 'inTheMoney': False, 'lastTradeDate': 1500059341, 'openInterest': 21, 'contractSymbol': 'ZNGA180119C00005500', 'percentChange': -12.499998, 'change': -0.009999998, 'impliedVolatility': 1.734376328125, 'strike': 5.5, 'contractSize': 'REGULAR'}
