Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
60.0	2018-01-19	call	RACE180119C00060000	35.46	52.8	57.2	0.0	0.0	1.0	6.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2017-07-18 19:45:08	{'currency': 'USD', 'lastPrice': 35.46, 'contractSymbol': 'RACE180119C00060000', 'volume': 1, 'contractSize': 'REGULAR', 'openInterest': 6, 'change': 0.0, 'expiration': 1516320000, 'strike': 60.0, 'bid': 52.8, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 57.2, 'lastTradeDate': 1500407108, 'impliedVolatility': 1.0000000000000003e-05}
70.0	2018-01-19	call	RACE180119C00070000	37.0	33.4	37.4	0.0	0.0	5.0	13.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2017-12-26 20:44:45	{'currency': 'USD', 'lastPrice': 37.0, 'contractSymbol': 'RACE180119C00070000', 'volume': 5, 'contractSize': 'REGULAR', 'openInterest': 13, 'change': 0.0, 'expiration': 1516320000, 'strike': 70.0, 'bid': 33.4, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 37.4, 'lastTradeDate': 1514321085, 'impliedVolatility': 1.0000000000000003e-05}
75.0	2018-01-19	call	RACE180119C00075000	36.9	37.0	37.5	0.0	0.0	1.0	973.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-04 14:44:49	{'currency': 'USD', 'lastPrice': 36.9, 'contractSymbol': 'RACE180119C00075000', 'volume': 1, 'contractSize': 'REGULAR', 'openInterest': 973, 'change': 0.0, 'expiration': 1516320000, 'strike': 75.0, 'bid': 37.0, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 37.5, 'lastTradeDate': 1515077089, 'impliedVolatility': 1.0000000000000003e-05}
80.0	2018-01-19	call	RACE180119C00080000	35.2	33.2	37.3	0.0	0.0	5.0	16.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2017-08-31 13:33:58	{'currency': 'USD', 'lastPrice': 35.2, 'contractSymbol': 'RACE180119C00080000', 'volume': 5, 'contractSize': 'REGULAR', 'openInterest': 16, 'change': 0.0, 'expiration': 1516320000, 'strike': 80.0, 'bid': 33.2, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 37.3, 'lastTradeDate': 1504186438, 'impliedVolatility': 1.0000000000000003e-05}
85.0	2018-01-19	call	RACE180119C00085000	28.22	31.7	34.3	0.0	0.0	2.0	61.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-08 17:00:30	{'currency': 'USD', 'lastPrice': 28.22, 'contractSymbol': 'RACE180119C00085000', 'volume': 2, 'contractSize': 'REGULAR', 'openInterest': 61, 'change': 0.0, 'expiration': 1516320000, 'strike': 85.0, 'bid': 31.7, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 34.3, 'lastTradeDate': 1515430830, 'impliedVolatility': 1.0000000000000003e-05}
90.0	2018-01-19	call	RACE180119C00090000	25.0	27.2	29.4	0.0	0.0	3.0	43.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-10 20:49:58	{'currency': 'USD', 'lastPrice': 25.0, 'contractSymbol': 'RACE180119C00090000', 'volume': 3, 'contractSize': 'REGULAR', 'openInterest': 43, 'change': 0.0, 'expiration': 1516320000, 'strike': 90.0, 'bid': 27.2, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 29.4, 'lastTradeDate': 1515617398, 'impliedVolatility': 1.0000000000000003e-05}
95.0	2018-01-19	call	RACE180119C00095000	22.8	22.2	23.4	12.4	119.230774	8.0	45.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-12 19:06:03	{'currency': 'USD', 'lastPrice': 22.8, 'contractSymbol': 'RACE180119C00095000', 'volume': 8, 'contractSize': 'REGULAR', 'openInterest': 45, 'change': 12.4, 'expiration': 1516320000, 'strike': 95.0, 'bid': 22.2, 'inTheMoney': True, 'percentChange': 119.230774, 'ask': 23.4, 'lastTradeDate': 1515783963, 'impliedVolatility': 1.0000000000000003e-05}
98.5	2018-01-19	call	RACE180119C00098500	8.2	8.2	9.1	0.0	0.0	1.0	0.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2017-12-23 04:49:36	{'currency': 'USD', 'lastPrice': 8.2, 'contractSymbol': 'RACE180119C00098500', 'volume': 1, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'expiration': 1516320000, 'strike': 98.5, 'bid': 8.2, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 9.1, 'lastTradeDate': 1514004576, 'impliedVolatility': 1.0000000000000003e-05}
99.0	2018-01-19	call	RACE180119C00099000	8.33	12.7	13.9	0.0	0.0	2.0	1.0	1.0000000000000003e-05	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-06 04:58:56	{'currency': 'USD', 'lastPrice': 8.33, 'contractSymbol': 'RACE180119C00099000', 'volume': 2, 'contractSize': 'REGULAR', 'openInterest': 1, 'change': 0.0, 'expiration': 1516320000, 'strike': 99.0, 'bid': 12.7, 'inTheMoney': True, 'percentChange': 0.0, 'ask': 13.9, 'lastTradeDate': 1515214736, 'impliedVolatility': 1.0000000000000003e-05}
100.0	2018-01-19	call	RACE180119C00100000	19.74	19.2	20.1	5.4399996	38.041954	8.0	211.0	1.1445355273437499	RACE	False	RACE	119.45	2018-01-17 21:02:01	2018-01-17 20:52:33	{'currency': 'USD', 'lastPrice': 19.74, 'contractSymbol': 'RACE180119C00100000', 'volume': 8, 'contractSize': 'REGULAR', 'openInterest': 211, 'change': 5.4399996, 'expiration': 1516320000, 'strike': 100.0, 'bid': 19.2, 'inTheMoney': True, 'percentChange': 38.041954, 'ask': 20.1, 'lastTradeDate': 1516222353, 'impliedVolatility': 1.1445355273437499}
