Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
50.0	2018-02-16	call	BBY180216C00050000	17.45	18.75	19.2	0.0	0.0	20.0	40.0	1.0000000000000003e-05	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-06 04:44:02	{'openInterest': 40, 'currency': 'USD', 'strike': 50.0, 'bid': 18.75, 'contractSize': 'REGULAR', 'ask': 19.2, 'lastTradeDate': 1515213842, 'volume': 20, 'percentChange': 0.0, 'inTheMoney': True, 'lastPrice': 17.45, 'contractSymbol': 'BBY180216C00050000', 'change': 0.0, 'expiration': 1518739200, 'impliedVolatility': 1.0000000000000003e-05}
55.0	2018-02-16	call	BBY180216C00055000	18.7	19.05	20.05	0.0	0.0	2.0	3.0	0.702151416015625	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-16 14:36:45	{'openInterest': 3, 'currency': 'USD', 'strike': 55.0, 'bid': 19.05, 'contractSize': 'REGULAR', 'ask': 20.05, 'lastTradeDate': 1516113405, 'volume': 2, 'percentChange': 0.0, 'inTheMoney': True, 'lastPrice': 18.7, 'contractSymbol': 'BBY180216C00055000', 'change': 0.0, 'expiration': 1518739200, 'impliedVolatility': 0.702151416015625}
57.5	2018-02-16	call	BBY180216C00057500	16.42	16.95	17.7	-0.69000053	-4.0327325	1.0	14.0	0.50586431640625	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-18 17:00:48	{'openInterest': 14, 'currency': 'USD', 'strike': 57.5, 'bid': 16.95, 'contractSize': 'REGULAR', 'ask': 17.7, 'lastTradeDate': 1516294848, 'volume': 1, 'percentChange': -4.0327325, 'inTheMoney': True, 'lastPrice': 16.42, 'contractSymbol': 'BBY180216C00057500', 'change': -0.69000053, 'expiration': 1518739200, 'impliedVolatility': 0.50586431640625}
60.0	2018-02-16	call	BBY180216C00060000	14.5	14.7	14.95	0.13000011	0.90466326	1.0	65.0	0.49805189453125004	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-18 17:05:04	{'openInterest': 65, 'currency': 'USD', 'strike': 60.0, 'bid': 14.7, 'contractSize': 'REGULAR', 'ask': 14.95, 'lastTradeDate': 1516295104, 'volume': 1, 'percentChange': 0.90466326, 'inTheMoney': True, 'lastPrice': 14.5, 'contractSymbol': 'BBY180216C00060000', 'change': 0.13000011, 'expiration': 1518739200, 'impliedVolatility': 0.49805189453125004}
62.5	2018-02-16	call	BBY180216C00062500	10.5	10.8	11.1	2.65	33.757965	1.0	94.0	1.0000000000000003e-05	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-12 16:30:52	{'openInterest': 94, 'currency': 'USD', 'strike': 62.5, 'bid': 10.8, 'contractSize': 'REGULAR', 'ask': 11.1, 'lastTradeDate': 1515774652, 'volume': 1, 'percentChange': 33.757965, 'inTheMoney': True, 'lastPrice': 10.5, 'contractSymbol': 'BBY180216C00062500', 'change': 2.65, 'expiration': 1518739200, 'impliedVolatility': 1.0000000000000003e-05}
65.0	2018-02-16	call	BBY180216C00065000	8.45	9.7	10.25	0.0	0.0	25.0	231.0	0.43066975585937506	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-16 18:45:27	{'openInterest': 231, 'currency': 'USD', 'strike': 65.0, 'bid': 9.7, 'contractSize': 'REGULAR', 'ask': 10.25, 'lastTradeDate': 1516128327, 'volume': 25, 'percentChange': 0.0, 'inTheMoney': True, 'lastPrice': 8.45, 'contractSymbol': 'BBY180216C00065000', 'change': 0.0, 'expiration': 1518739200, 'impliedVolatility': 0.43066975585937506}
67.5	2018-02-16	call	BBY180216C00067500	6.5	7.5	7.7	0.0	0.0	51.0	2573.0	0.33447931152343746	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-17 16:33:00	{'openInterest': 2573, 'currency': 'USD', 'strike': 67.5, 'bid': 7.5, 'contractSize': 'REGULAR', 'ask': 7.7, 'lastTradeDate': 1516206780, 'volume': 51, 'percentChange': 0.0, 'inTheMoney': True, 'lastPrice': 6.5, 'contractSymbol': 'BBY180216C00067500', 'change': 0.0, 'expiration': 1518739200, 'impliedVolatility': 0.33447931152343746}
70.0	2018-02-16	call	BBY180216C00070000	4.95	5.35	5.55	-0.25	-4.8076925	50.0	336.0	0.30811238769531246	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-18 14:48:48	{'openInterest': 336, 'currency': 'USD', 'strike': 70.0, 'bid': 5.35, 'contractSize': 'REGULAR', 'ask': 5.55, 'lastTradeDate': 1516286928, 'volume': 50, 'percentChange': -4.8076925, 'inTheMoney': True, 'lastPrice': 4.95, 'contractSymbol': 'BBY180216C00070000', 'change': -0.25, 'expiration': 1518739200, 'impliedVolatility': 0.30811238769531246}
75.0	2018-02-16	call	BBY180216C00075000	2.07	2.01	2.07	0.12999988	6.7010245	210.0	1178.0	0.25952888916015626	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-18 20:17:22	{'openInterest': 1178, 'currency': 'USD', 'strike': 75.0, 'bid': 2.01, 'contractSize': 'REGULAR', 'ask': 2.07, 'lastTradeDate': 1516306642, 'volume': 210, 'percentChange': 6.7010245, 'inTheMoney': False, 'lastPrice': 2.07, 'contractSymbol': 'BBY180216C00075000', 'change': 0.12999988, 'expiration': 1518739200, 'impliedVolatility': 0.25952888916015626}
77.5	2018-02-16	call	BBY180216C00077500	1.05	1.01	1.09	-0.04000008	-3.669732	22.0	222.0	0.25489026367187506	BBY	False	BBY	74.69	2018-01-18 21:03:19	2018-01-18 19:54:46	{'openInterest': 222, 'currency': 'USD', 'strike': 77.5, 'bid': 1.01, 'contractSize': 'REGULAR', 'ask': 1.09, 'lastTradeDate': 1516305286, 'volume': 22, 'percentChange': -3.669732, 'inTheMoney': False, 'lastPrice': 1.05, 'contractSymbol': 'BBY180216C00077500', 'change': -0.04000008, 'expiration': 1518739200, 'impliedVolatility': 0.25489026367187506}
