Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
50.0	2018-01-19	call	EFX180119C00050000	60.78	59.2	60.9	0.0	0.0	6.0	0.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-21 18:18:04	{'lastTradeDate': 1511288284, 'lastPrice': 60.78, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 0, 'inTheMoney': True, 'volume': 6, 'ask': 60.9, 'strike': 50.0, 'bid': 59.2, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00050000'}
55.0	2018-01-19	call	EFX180119C00055000	55.79	54.4	56.0	0.0	0.0	24.0	0.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-21 18:24:09	{'lastTradeDate': 1511288649, 'lastPrice': 55.79, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 0, 'inTheMoney': True, 'volume': 24, 'ask': 56.0, 'strike': 55.0, 'bid': 54.4, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00055000'}
60.0	2018-01-19	call	EFX180119C00060000	50.77	49.5	50.7	0.0	0.0	24.0	4.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-21 18:19:12	{'lastTradeDate': 1511288352, 'lastPrice': 50.77, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 4, 'inTheMoney': True, 'volume': 24, 'ask': 50.7, 'strike': 60.0, 'bid': 49.5, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00060000'}
65.0	2018-01-19	call	EFX180119C00065000	45.77	44.2	45.7	0.0	0.0	24.0	0.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-21 18:20:45	{'lastTradeDate': 1511288445, 'lastPrice': 45.77, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 0, 'inTheMoney': True, 'volume': 24, 'ask': 45.7, 'strike': 65.0, 'bid': 44.2, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00065000'}
70.0	2018-01-19	call	EFX180119C00070000	40.78	39.3	40.3	0.0	0.0	44.0	15.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-21 18:23:04	{'lastTradeDate': 1511288584, 'lastPrice': 40.78, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 15, 'inTheMoney': True, 'volume': 44, 'ask': 40.3, 'strike': 70.0, 'bid': 39.3, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00070000'}
75.0	2018-01-19	call	EFX180119C00075000	34.33	33.8	34.4	0.030002594	0.08747112	1.0	16.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-11-03 19:04:57	{'lastTradeDate': 1509735897, 'lastPrice': 34.33, 'contractSize': 'REGULAR', 'change': 0.030002594, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 16, 'inTheMoney': True, 'volume': 1, 'ask': 34.4, 'strike': 75.0, 'bid': 33.8, 'percentChange': 0.08747112, 'currency': 'USD', 'contractSymbol': 'EFX180119C00075000'}
80.0	2018-01-19	call	EFX180119C00080000	43.2	44.2	45.0	0.0	0.0	10.0	9.0	3.6718758203125006	EFX	False	EFX	124.53	2018-01-19 21:00:52	2018-01-17 19:47:09	{'lastTradeDate': 1516218429, 'lastPrice': 43.2, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 3.6718758203125006, 'expiration': 1516320000, 'openInterest': 9, 'inTheMoney': True, 'volume': 10, 'ask': 45.0, 'strike': 80.0, 'bid': 44.2, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00080000'}
85.0	2018-01-19	call	EFX180119C00085000	31.4	31.7	32.3	7.449999	31.106466	1.0	7.0	1.0000000000000003e-05	EFX	False	EFX	124.53	2018-01-19 21:00:52	2017-12-07 15:39:46	{'lastTradeDate': 1512661186, 'lastPrice': 31.4, 'contractSize': 'REGULAR', 'change': 7.449999, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 7, 'inTheMoney': True, 'volume': 1, 'ask': 32.3, 'strike': 85.0, 'bid': 31.7, 'percentChange': 31.106466, 'currency': 'USD', 'contractSymbol': 'EFX180119C00085000'}
90.0	2018-01-19	call	EFX180119C00090000	33.2	34.0	34.9	0.0	0.0	10.0	63.0	3.6523446191406252	EFX	False	EFX	124.53	2018-01-19 21:00:52	2018-01-17 19:40:04	{'lastTradeDate': 1516218004, 'lastPrice': 33.2, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 3.6523446191406252, 'expiration': 1516320000, 'openInterest': 63, 'inTheMoney': True, 'volume': 10, 'ask': 34.9, 'strike': 90.0, 'bid': 34.0, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00090000'}
95.0	2018-01-19	call	EFX180119C00095000	27.5	29.1	29.9	0.0	0.0	1.0	349.0	3.1386740283203123	EFX	False	EFX	124.53	2018-01-19 21:00:52	2018-01-17 15:24:07	{'lastTradeDate': 1516202647, 'lastPrice': 27.5, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 3.1386740283203123, 'expiration': 1516320000, 'openInterest': 349, 'inTheMoney': True, 'volume': 1, 'ask': 29.9, 'strike': 95.0, 'bid': 29.1, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'EFX180119C00095000'}
100.0	2018-01-19	call	EFX180119C00100000	24.65	24.2	24.8	1.3500004	5.793993	3.0	236.0	2.47656630859375	EFX	False	EFX	124.53	2018-01-19 21:00:52	2018-01-19 16:05:58	{'lastTradeDate': 1516377958, 'lastPrice': 24.65, 'contractSize': 'REGULAR', 'change': 1.3500004, 'impliedVolatility': 2.47656630859375, 'expiration': 1516320000, 'openInterest': 236, 'inTheMoney': True, 'volume': 3, 'ask': 24.8, 'strike': 100.0, 'bid': 24.2, 'percentChange': 5.793993, 'currency': 'USD', 'contractSymbol': 'EFX180119C00100000'}
