Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
15.0	2018-01-19	call	INTC180119C00015000	28.35	29.35	30.15	0.0	0.0	2.0	74.0	12.593752128906253	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-16 18:09:37	{'lastTradeDate': 1516126177, 'lastPrice': 28.35, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 12.593752128906253, 'expiration': 1516320000, 'openInterest': 74, 'inTheMoney': True, 'volume': 2, 'ask': 30.15, 'strike': 15.0, 'bid': 29.35, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00015000'}
18.0	2018-01-19	call	INTC180119C00018000	28.25	27.55	29.5	0.0	0.0	28.0	32.0	16.429692365722662	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-11-09 20:43:35	{'lastTradeDate': 1510260215, 'lastPrice': 28.25, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 16.429692365722662, 'expiration': 1516320000, 'openInterest': 32, 'inTheMoney': True, 'volume': 28, 'ask': 29.5, 'strike': 18.0, 'bid': 27.55, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00018000'}
19.0	2018-01-19	call	INTC180119C00019000	27.0	26.55	28.5	0.0	0.0	18.0	31.0	15.597656501464844	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-11-11 04:51:10	{'lastTradeDate': 1510375870, 'lastPrice': 27.0, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 15.597656501464844, 'expiration': 1516320000, 'openInterest': 31, 'inTheMoney': True, 'volume': 18, 'ask': 28.5, 'strike': 19.0, 'bid': 26.55, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00019000'}
20.0	2018-01-19	call	INTC180119C00020000	24.25	24.55	25.0	0.0	0.0	24.0	157.0	8.500004687499999	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-17 17:14:18	{'lastTradeDate': 1516209258, 'lastPrice': 24.25, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 8.500004687499999, 'expiration': 1516320000, 'openInterest': 157, 'inTheMoney': True, 'volume': 24, 'ask': 25.0, 'strike': 20.0, 'bid': 24.55, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00020000'}
21.0	2018-01-19	call	INTC180119C00021000	25.75	21.75	25.7	0.0	0.0	1.0	25.0	14.562500898437502	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-02 17:22:19	{'lastTradeDate': 1514913739, 'lastPrice': 25.75, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 14.562500898437502, 'expiration': 1516320000, 'openInterest': 25, 'inTheMoney': True, 'volume': 1, 'ask': 25.7, 'strike': 21.0, 'bid': 21.75, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00021000'}
22.0	2018-01-19	call	INTC180119C00022000	23.75	21.95	23.95	0.0	0.0	1.0	1.0	7.1718760351562505	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-11-18 04:56:01	{'lastTradeDate': 1510980961, 'lastPrice': 23.75, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 7.1718760351562505, 'expiration': 1516320000, 'openInterest': 1, 'inTheMoney': True, 'volume': 1, 'ask': 23.95, 'strike': 22.0, 'bid': 21.95, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00022000'}
23.0	2018-01-19	call	INTC180119C00023000	21.33	21.7	21.85	1.3700008	6.863732	1.0	43.0	5.437503203124999	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-19 15:10:19	{'lastTradeDate': 1516374619, 'lastPrice': 21.33, 'contractSize': 'REGULAR', 'change': 1.3700008, 'impliedVolatility': 5.437503203124999, 'expiration': 1516320000, 'openInterest': 43, 'inTheMoney': True, 'volume': 1, 'ask': 21.85, 'strike': 23.0, 'bid': 21.7, 'percentChange': 6.863732, 'currency': 'USD', 'contractSymbol': 'INTC180119C00023000'}
24.0	2018-01-19	call	INTC180119C00024000	20.47	19.65	21.2	0.0	0.0	2.0	5.0	7.89062513671875	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-04 17:30:43	{'lastTradeDate': 1515087043, 'lastPrice': 20.47, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 7.89062513671875, 'expiration': 1516320000, 'openInterest': 5, 'inTheMoney': True, 'volume': 2, 'ask': 21.2, 'strike': 24.0, 'bid': 19.65, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00024000'}
25.0	2018-01-19	call	INTC180119C00025000	19.78	19.7	19.85	0.1400013	0.7128376	91.0	726.0	4.812503984374999	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-19 20:53:00	{'lastTradeDate': 1516395180, 'lastPrice': 19.78, 'contractSize': 'REGULAR', 'change': 0.1400013, 'impliedVolatility': 4.812503984374999, 'expiration': 1516320000, 'openInterest': 726, 'inTheMoney': True, 'volume': 91, 'ask': 19.85, 'strike': 25.0, 'bid': 19.7, 'percentChange': 0.7128376, 'currency': 'USD', 'contractSymbol': 'INTC180119C00025000'}
26.0	2018-01-19	call	INTC180119C00026000	17.5	17.8	20.25	0.0	0.0	11.0	33.0	6.1562523046874995	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-12-11 18:14:49	{'lastTradeDate': 1513016089, 'lastPrice': 17.5, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 6.1562523046874995, 'expiration': 1516320000, 'openInterest': 33, 'inTheMoney': True, 'volume': 11, 'ask': 20.25, 'strike': 26.0, 'bid': 17.8, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00026000'}
27.0	2018-01-19	call	INTC180119C00027000	17.75	17.7	17.85	0.25	1.4285715	23.0	128.0	4.2500046875	INTC	False	INTC	44.82	2018-01-19 21:00:02	2018-01-19 20:30:58	{'lastTradeDate': 1516393858, 'lastPrice': 17.75, 'contractSize': 'REGULAR', 'change': 0.25, 'impliedVolatility': 4.2500046875, 'expiration': 1516320000, 'openInterest': 128, 'inTheMoney': True, 'volume': 23, 'ask': 17.85, 'strike': 27.0, 'bid': 17.7, 'percentChange': 1.4285715, 'currency': 'USD', 'contractSymbol': 'INTC180119C00027000'}
28.0	2018-01-19	call	INTC180119C00028000	18.15	16.85	20.75	0.0	0.0	35.0	36.0	10.316409802246095	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-12-26 19:13:42	{'lastTradeDate': 1514315622, 'lastPrice': 18.15, 'contractSize': 'REGULAR', 'change': 0.0, 'impliedVolatility': 10.316409802246095, 'expiration': 1516320000, 'openInterest': 36, 'inTheMoney': True, 'volume': 35, 'ask': 20.75, 'strike': 28.0, 'bid': 16.85, 'percentChange': 0.0, 'currency': 'USD', 'contractSymbol': 'INTC180119C00028000'}
29.0	2018-01-19	call	INTC180119C00029000	14.0	14.05	14.25	2.0200005	16.86144	18.0	11.0	1.0000000000000003e-05	INTC	False	INTC	44.82	2018-01-19 21:00:02	2017-12-07 19:19:19	{'lastTradeDate': 1512674359, 'lastPrice': 14.0, 'contractSize': 'REGULAR', 'change': 2.0200005, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1516320000, 'openInterest': 11, 'inTheMoney': True, 'volume': 18, 'ask': 14.25, 'strike': 29.0, 'bid': 14.05, 'percentChange': 16.86144, 'currency': 'USD', 'contractSymbol': 'INTC180119C00029000'}
