Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
40.0	2018-02-16	call	QCOM180216C00040000	24.07	24.2	28.6	0.0	0.0	2.0	2.0	1.0000000000000003e-05	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-02 16:50:02	{'bid': 24.2, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200, 'lastPrice': 24.07, 'percentChange': 0.0, 'ask': 28.6, 'lastTradeDate': 1514911802, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00040000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.0, 'openInterest': 2, 'strike': 40.0, 'volume': 2}
45.0	2018-02-16	call	QCOM180216C00045000	21.46	20.7	24.9	0.0	0.0	6.0	14.0	1.3686555004882814	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-16 14:30:10	{'bid': 20.7, 'impliedVolatility': 1.3686555004882814, 'expiration': 1518739200, 'lastPrice': 21.46, 'percentChange': 0.0, 'ask': 24.9, 'lastTradeDate': 1516113010, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00045000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.0, 'openInterest': 14, 'strike': 45.0, 'volume': 6}
50.0	2018-02-16	call	QCOM180216C00050000	17.77	15.9	19.9	0.0	0.0	5.0	9.0	1.1035201074218752	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-18 17:23:35	{'bid': 15.9, 'impliedVolatility': 1.1035201074218752, 'expiration': 1518739200, 'lastPrice': 17.77, 'percentChange': 0.0, 'ask': 19.9, 'lastTradeDate': 1516296215, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00050000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.0, 'openInterest': 9, 'strike': 50.0, 'volume': 5}
55.0	2018-02-16	call	QCOM180216C00055000	13.5	11.0	15.05	0.0	0.0	1.0	15.0	0.89257919921875	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-16 18:09:37	{'bid': 11.0, 'impliedVolatility': 0.89257919921875, 'expiration': 1518739200, 'lastPrice': 13.5, 'percentChange': 0.0, 'ask': 15.05, 'lastTradeDate': 1516126177, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00055000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.0, 'openInterest': 15, 'strike': 55.0, 'volume': 1}
57.5	2018-02-16	call	QCOM180216C00057500	11.25	11.1	11.65	0.4499998	4.166665	12.0	55.0	0.5415084912109377	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 18:28:38	{'bid': 11.1, 'impliedVolatility': 0.5415084912109377, 'expiration': 1518739200, 'lastPrice': 11.25, 'percentChange': 4.166665, 'ask': 11.65, 'lastTradeDate': 1516645718, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00057500', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.4499998, 'openInterest': 55, 'strike': 57.5, 'volume': 12}
60.0	2018-02-16	call	QCOM180216C00060000	8.8	8.8	9.15	0.3000002	3.5294142	33.0	2673.0	0.44336494140625	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 20:16:51	{'bid': 8.8, 'impliedVolatility': 0.44336494140625, 'expiration': 1518739200, 'lastPrice': 8.8, 'percentChange': 3.5294142, 'ask': 9.15, 'lastTradeDate': 1516652211, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00060000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.3000002, 'openInterest': 2673, 'strike': 60.0, 'volume': 33}
62.5	2018-02-16	call	QCOM180216C00062500	6.74	6.7	6.9	0.43999958	6.98412	136.0	802.0	0.4008848974609375	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 20:50:02	{'bid': 6.7, 'impliedVolatility': 0.4008848974609375, 'expiration': 1518739200, 'lastPrice': 6.74, 'percentChange': 6.98412, 'ask': 6.9, 'lastTradeDate': 1516654202, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00062500', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.43999958, 'openInterest': 802, 'strike': 62.5, 'volume': 136}
65.0	2018-02-16	call	QCOM180216C00065000	4.55	4.6	4.8	0.20000029	4.5977077	699.0	39135.0	0.35938140625	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 20:25:25	{'bid': 4.6, 'impliedVolatility': 0.35938140625, 'expiration': 1518739200, 'lastPrice': 4.55, 'percentChange': 4.5977077, 'ask': 4.8, 'lastTradeDate': 1516652725, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00065000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.20000029, 'openInterest': 39135, 'strike': 65.0, 'volume': 699}
67.5	2018-02-16	call	QCOM180216C00067500	2.89	2.83	3.0	0.1500001	5.474456	231.0	13498.0	0.32691102783203124	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 20:56:50	{'bid': 2.83, 'impliedVolatility': 0.32691102783203124, 'expiration': 1518739200, 'lastPrice': 2.89, 'percentChange': 5.474456, 'ask': 3.0, 'lastTradeDate': 1516654610, 'inTheMoney': True, 'contractSymbol': 'QCOM180216C00067500', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.1500001, 'openInterest': 13498, 'strike': 67.5, 'volume': 231}
70.0	2018-02-16	call	QCOM180216C00070000	1.6	1.51	1.75	0.09000003	5.960267	1330.0	10229.0	0.31909860595703116	QCOM	False	QCOM	68.67	2018-01-22 21:00:01	2018-01-22 20:58:53	{'bid': 1.51, 'impliedVolatility': 0.31909860595703116, 'expiration': 1518739200, 'lastPrice': 1.6, 'percentChange': 5.960267, 'ask': 1.75, 'lastTradeDate': 1516654733, 'inTheMoney': False, 'contractSymbol': 'QCOM180216C00070000', 'contractSize': 'REGULAR', 'currency': 'USD', 'change': 0.09000003, 'openInterest': 10229, 'strike': 70.0, 'volume': 1330}
