Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
48.0	2018-02-09	call	SCHW180209C00048000	7.54	7.3	7.7	1.7799997	30.902773	24.0	0.0	0.485356708984375	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-19 15:30:21	{'lastPrice': 7.54, 'contractSymbol': 'SCHW180209C00048000', 'bid': 7.3, 'lastTradeDate': 1516375821, 'change': 1.7799997, 'impliedVolatility': 0.485356708984375, 'contractSize': 'REGULAR', 'percentChange': 30.902773, 'expiration': 1518134400, 'strike': 48.0, 'inTheMoney': True, 'openInterest': 0, 'volume': 24, 'ask': 7.7, 'currency': 'USD'}
51.0	2018-02-09	call	SCHW180209C00051000	4.58	4.5	4.8	1.78	63.57143	10.0	22.0	0.362311064453125	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-12 20:36:18	{'lastPrice': 4.58, 'contractSymbol': 'SCHW180209C00051000', 'bid': 4.5, 'lastTradeDate': 1515789378, 'change': 1.78, 'impliedVolatility': 0.362311064453125, 'contractSize': 'REGULAR', 'percentChange': 63.57143, 'expiration': 1518134400, 'strike': 51.0, 'inTheMoney': True, 'openInterest': 22, 'volume': 10, 'ask': 4.8, 'currency': 'USD'}
51.5	2018-02-09	call	SCHW180209C00051500	3.9	4.0	4.5	0.0	0.0	4.0	2.0	0.39502558105468755	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-17 14:56:00	{'lastPrice': 3.9, 'contractSymbol': 'SCHW180209C00051500', 'bid': 4.0, 'lastTradeDate': 1516200960, 'change': 0.0, 'impliedVolatility': 0.39502558105468755, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1518134400, 'strike': 51.5, 'inTheMoney': True, 'openInterest': 2, 'volume': 4, 'ask': 4.5, 'currency': 'USD'}
52.0	2018-02-09	call	SCHW180209C00052000	2.8	3.7	3.9	0.0	0.0	20.0	36.0	0.334967587890625	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-11 20:05:06	{'lastPrice': 2.8, 'contractSymbol': 'SCHW180209C00052000', 'bid': 3.7, 'lastTradeDate': 1515701106, 'change': 0.0, 'impliedVolatility': 0.334967587890625, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1518134400, 'strike': 52.0, 'inTheMoney': True, 'openInterest': 36, 'volume': 20, 'ask': 3.9, 'currency': 'USD'}
52.5	2018-02-09	call	SCHW180209C00052500	3.24	3.1	3.4	0.0	0.0	7.0	21.0	0.30371790039062496	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-16 19:42:40	{'lastPrice': 3.24, 'contractSymbol': 'SCHW180209C00052500', 'bid': 3.1, 'lastTradeDate': 1516131760, 'change': 0.0, 'impliedVolatility': 0.30371790039062496, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1518134400, 'strike': 52.5, 'inTheMoney': True, 'openInterest': 21, 'volume': 7, 'ask': 3.4, 'currency': 'USD'}
53.0	2018-02-09	call	SCHW180209C00053000	2.97	2.9	3.1	0.8399999	39.436615	28.0	20.0	0.32227240234374993	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-12 20:54:20	{'lastPrice': 2.97, 'contractSymbol': 'SCHW180209C00053000', 'bid': 2.9, 'lastTradeDate': 1515790460, 'change': 0.8399999, 'impliedVolatility': 0.32227240234374993, 'contractSize': 'REGULAR', 'percentChange': 39.436615, 'expiration': 1518134400, 'strike': 53.0, 'inTheMoney': True, 'openInterest': 20, 'volume': 28, 'ask': 3.1, 'currency': 'USD'}
53.5	2018-02-09	call	SCHW180209C00053500	1.61	2.55	2.7	0.0	0.0	1.0	13.0	0.31055376953124997	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-10 19:27:46	{'lastPrice': 1.61, 'contractSymbol': 'SCHW180209C00053500', 'bid': 2.55, 'lastTradeDate': 1515612466, 'change': 0.0, 'impliedVolatility': 0.31055376953124997, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1518134400, 'strike': 53.5, 'inTheMoney': True, 'openInterest': 13, 'volume': 1, 'ask': 2.7, 'currency': 'USD'}
54.0	2018-02-09	call	SCHW180209C00054000	2.71	1.95	2.15	0.0	0.0	1.0	12.0	0.2622144091796875	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-17 20:32:58	{'lastPrice': 2.71, 'contractSymbol': 'SCHW180209C00054000', 'bid': 1.95, 'lastTradeDate': 1516221178, 'change': 0.0, 'impliedVolatility': 0.2622144091796875, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1518134400, 'strike': 54.0, 'inTheMoney': True, 'openInterest': 12, 'volume': 1, 'ask': 2.15, 'currency': 'USD'}
54.5	2018-02-09	call	SCHW180209C00054500	1.8	1.9	2.0	0.39	27.659575	4.0	16.0	0.2963937548828125	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-12 16:42:25	{'lastPrice': 1.8, 'contractSymbol': 'SCHW180209C00054500', 'bid': 1.9, 'lastTradeDate': 1515775345, 'change': 0.39, 'impliedVolatility': 0.2963937548828125, 'contractSize': 'REGULAR', 'percentChange': 27.659575, 'expiration': 1518134400, 'strike': 54.5, 'inTheMoney': True, 'openInterest': 16, 'volume': 4, 'ask': 2.0, 'currency': 'USD'}
55.0	2018-02-09	call	SCHW180209C00055000	1.25	1.25	1.4	-0.21000004	-14.383563	2.0	42.0	0.23218541259765624	SCHW	False	SCHW	55.44	2018-01-22 21:02:10	2018-01-22 20:42:39	{'lastPrice': 1.25, 'contractSymbol': 'SCHW180209C00055000', 'bid': 1.25, 'lastTradeDate': 1516653759, 'change': -0.21000004, 'impliedVolatility': 0.23218541259765624, 'contractSize': 'REGULAR', 'percentChange': -14.383563, 'expiration': 1518134400, 'strike': 55.0, 'inTheMoney': True, 'openInterest': 42, 'volume': 2, 'ask': 1.4, 'currency': 'USD'}
