Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
8.0	2018-01-26	call	VIPS180126C00008000	4.2	4.3	4.5	0.0	0.0	40.0	40.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-02 14:41:38	{'lastPrice': 4.2, 'contractSymbol': 'VIPS180126C00008000', 'bid': 4.3, 'lastTradeDate': 1514904098, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 8.0, 'inTheMoney': True, 'openInterest': 40, 'volume': 40, 'ask': 4.5, 'currency': 'USD'}
8.5	2018-01-26	call	VIPS180126C00008500	5.1	5.9	6.2	0.0	0.0	15.0	15.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-08 19:06:57	{'lastPrice': 5.1, 'contractSymbol': 'VIPS180126C00008500', 'bid': 5.9, 'lastTradeDate': 1515438417, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 8.5, 'inTheMoney': True, 'openInterest': 15, 'volume': 15, 'ask': 6.2, 'currency': 'USD'}
9.0	2018-01-26	call	VIPS180126C00009000	3.17	3.1	3.5	0.0	0.0	25.0	18.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2017-12-18 15:21:15	{'lastPrice': 3.17, 'contractSymbol': 'VIPS180126C00009000', 'bid': 3.1, 'lastTradeDate': 1513610475, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 9.0, 'inTheMoney': True, 'openInterest': 18, 'volume': 25, 'ask': 3.5, 'currency': 'USD'}
9.5	2018-01-26	call	VIPS180126C00009500	3.9	4.9	5.5	0.0	0.0	5.0	5.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-09 19:13:35	{'lastPrice': 3.9, 'contractSymbol': 'VIPS180126C00009500', 'bid': 4.9, 'lastTradeDate': 1515525215, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 9.5, 'inTheMoney': True, 'openInterest': 5, 'volume': 5, 'ask': 5.5, 'currency': 'USD'}
10.5	2018-01-26	call	VIPS180126C00010500	3.05	3.9	4.3	0.0	0.0	11.0	0.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-09 17:31:06	{'lastPrice': 3.05, 'contractSymbol': 'VIPS180126C00010500', 'bid': 3.9, 'lastTradeDate': 1515519066, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 10.5, 'inTheMoney': True, 'openInterest': 0, 'volume': 11, 'ask': 4.3, 'currency': 'USD'}
11.0	2018-01-26	call	VIPS180126C00011000	4.8	4.8	5.1	0.0	0.0	1185.0	730.0	2.14844212890625	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-16 14:41:50	{'lastPrice': 4.8, 'contractSymbol': 'VIPS180126C00011000', 'bid': 4.8, 'lastTradeDate': 1516113710, 'change': 0.0, 'impliedVolatility': 2.14844212890625, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 11.0, 'inTheMoney': True, 'openInterest': 730, 'volume': 1185, 'ask': 5.1, 'currency': 'USD'}
11.5	2018-01-26	call	VIPS180126C00011500	4.76	4.3	4.7	0.0	0.0	1.0	1.0	0.500005	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-16 14:49:49	{'lastPrice': 4.76, 'contractSymbol': 'VIPS180126C00011500', 'bid': 4.3, 'lastTradeDate': 1516114189, 'change': 0.0, 'impliedVolatility': 0.500005, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 11.5, 'inTheMoney': True, 'openInterest': 1, 'volume': 1, 'ask': 4.7, 'currency': 'USD'}
12.0	2018-01-26	call	VIPS180126C00012000	0.9	0.65	0.8	0.0	0.0	26.0	141.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-02 17:23:33	{'lastPrice': 0.9, 'contractSymbol': 'VIPS180126C00012000', 'bid': 0.65, 'lastTradeDate': 1514913813, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 12.0, 'inTheMoney': True, 'openInterest': 141, 'volume': 26, 'ask': 0.8, 'currency': 'USD'}
12.5	2018-01-26	call	VIPS180126C00012500	1.8	1.9	2.2	0.6999999	63.636356	100.0	170.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-12 16:35:48	{'lastPrice': 1.8, 'contractSymbol': 'VIPS180126C00012500', 'bid': 1.9, 'lastTradeDate': 1515774948, 'change': 0.6999999, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 63.636356, 'expiration': 1516924800, 'strike': 12.5, 'inTheMoney': True, 'openInterest': 170, 'volume': 100, 'ask': 2.2, 'currency': 'USD'}
13.0	2018-01-26	call	VIPS180126C00013000	1.62	1.5	1.75	0.87	116.0	104.0	296.0	1.0000000000000003e-05	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-12 20:47:22	{'lastPrice': 1.62, 'contractSymbol': 'VIPS180126C00013000', 'bid': 1.5, 'lastTradeDate': 1515790042, 'change': 0.87, 'impliedVolatility': 1.0000000000000003e-05, 'contractSize': 'REGULAR', 'percentChange': 116.0, 'expiration': 1516924800, 'strike': 13.0, 'inTheMoney': True, 'openInterest': 296, 'volume': 104, 'ask': 1.75, 'currency': 'USD'}
13.5	2018-01-26	call	VIPS180126C00013500	2.5	2.4	2.6	0.3800001	17.924536	2.0	355.0	0.500005	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-22 19:56:22	{'lastPrice': 2.5, 'contractSymbol': 'VIPS180126C00013500', 'bid': 2.4, 'lastTradeDate': 1516650982, 'change': 0.3800001, 'impliedVolatility': 0.500005, 'contractSize': 'REGULAR', 'percentChange': 17.924536, 'expiration': 1516924800, 'strike': 13.5, 'inTheMoney': True, 'openInterest': 355, 'volume': 2, 'ask': 2.6, 'currency': 'USD'}
14.0	2018-01-26	call	VIPS180126C00014000	2.0	1.85	2.1	-0.049999952	-2.439022	10.0	101.0	0.9687503125	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-19 17:27:32	{'lastPrice': 2.0, 'contractSymbol': 'VIPS180126C00014000', 'bid': 1.85, 'lastTradeDate': 1516382852, 'change': -0.049999952, 'impliedVolatility': 0.9687503125, 'contractSize': 'REGULAR', 'percentChange': -2.439022, 'expiration': 1516924800, 'strike': 14.0, 'inTheMoney': True, 'openInterest': 101, 'volume': 10, 'ask': 2.1, 'currency': 'USD'}
14.5	2018-01-26	call	VIPS180126C00014500	1.3	1.4	1.65	0.0	0.0	11.0	117.0	0.5390671093750001	VIPS	False	VIPS	16.0	2018-01-22 21:03:37	2018-01-18 20:36:45	{'lastPrice': 1.3, 'contractSymbol': 'VIPS180126C00014500', 'bid': 1.4, 'lastTradeDate': 1516307805, 'change': 0.0, 'impliedVolatility': 0.5390671093750001, 'contractSize': 'REGULAR', 'percentChange': 0.0, 'expiration': 1516924800, 'strike': 14.5, 'inTheMoney': True, 'openInterest': 117, 'volume': 11, 'ask': 1.65, 'currency': 'USD'}
