Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
55.0	2018-02-02	call	LUV180202C00055000	10.5	10.3	10.7	0.0	0.0	1.0	31.0	0.901368173828125	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-11 19:15:01	{'contractSymbol': 'LUV180202C00055000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 10.7, 'bid': 10.3, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.901368173828125, 'openInterest': 31, 'volume': 1, 'lastPrice': 10.5, 'lastTradeDate': 1515698101, 'change': 0.0, 'strike': 55.0, 'currency': 'USD'}
58.5	2018-02-02	call	LUV180202C00058500	6.49	6.6	6.9	0.0	0.0	10.0	10.0	0.5634809277343751	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-20 04:58:37	{'contractSymbol': 'LUV180202C00058500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 6.9, 'bid': 6.6, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.5634809277343751, 'openInterest': 10, 'volume': 10, 'lastPrice': 6.49, 'lastTradeDate': 1516424317, 'change': 0.0, 'strike': 58.5, 'currency': 'USD'}
60.0	2018-02-02	call	LUV180202C00060000	6.03	5.7	6.1	2.4400003	67.96658	10.0	40.0	0.6709017285156251	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-12 17:34:04	{'contractSymbol': 'LUV180202C00060000', 'percentChange': 67.96658, 'inTheMoney': True, 'ask': 6.1, 'bid': 5.7, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.6709017285156251, 'openInterest': 40, 'volume': 10, 'lastPrice': 6.03, 'lastTradeDate': 1515778444, 'change': 2.4400003, 'strike': 60.0, 'currency': 'USD'}
61.5	2018-02-02	call	LUV180202C00061500	4.73	3.9	4.2	0.0	0.0	1.0	1.0	0.49609878906250005	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-20 04:58:37	{'contractSymbol': 'LUV180202C00061500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 4.2, 'bid': 3.9, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.49609878906250005, 'openInterest': 1, 'volume': 1, 'lastPrice': 4.73, 'lastTradeDate': 1516424317, 'change': 0.0, 'strike': 61.5, 'currency': 'USD'}
62.0	2018-02-02	call	LUV180202C00062000	3.11	3.6	3.8	-0.60000014	-16.17251	40.0	71.0	0.48291532714843755	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-19 17:24:55	{'contractSymbol': 'LUV180202C00062000', 'percentChange': -16.17251, 'inTheMoney': True, 'ask': 3.8, 'bid': 3.6, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.48291532714843755, 'openInterest': 71, 'volume': 40, 'lastPrice': 3.11, 'lastTradeDate': 1516382695, 'change': -0.60000014, 'strike': 62.0, 'currency': 'USD'}
62.5	2018-02-02	call	LUV180202C00062500	2.83	3.0	3.2	-1.0700002	-27.435902	20.0	69.0	0.4155331884765625	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-23 15:42:56	{'contractSymbol': 'LUV180202C00062500', 'percentChange': -27.435902, 'inTheMoney': True, 'ask': 3.2, 'bid': 3.0, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.4155331884765625, 'openInterest': 69, 'volume': 20, 'lastPrice': 2.83, 'lastTradeDate': 1516722176, 'change': -1.0700002, 'strike': 62.5, 'currency': 'USD'}
63.0	2018-02-02	call	LUV180202C00063000	2.88	2.65	2.8	0.0	0.0	5.0	67.0	0.398443515625	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-22 15:02:58	{'contractSymbol': 'LUV180202C00063000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 2.8, 'bid': 2.65, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.398443515625, 'openInterest': 67, 'volume': 5, 'lastPrice': 2.88, 'lastTradeDate': 1516633378, 'change': 0.0, 'strike': 63.0, 'currency': 'USD'}
63.5	2018-02-02	call	LUV180202C00063500	2.17	2.3	2.4	-1.22	-35.9882	20.0	89.0	0.37744763183593744	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-23 15:42:56	{'contractSymbol': 'LUV180202C00063500', 'percentChange': -35.9882, 'inTheMoney': True, 'ask': 2.4, 'bid': 2.3, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.37744763183593744, 'openInterest': 89, 'volume': 20, 'lastPrice': 2.17, 'lastTradeDate': 1516722176, 'change': -1.22, 'strike': 63.5, 'currency': 'USD'}
64.0	2018-02-02	call	LUV180202C00064000	2.13	2.0	2.1	0.0	0.0	17.0	46.0	0.37573866455078125	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-22 20:39:04	{'contractSymbol': 'LUV180202C00064000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 2.1, 'bid': 2.0, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.37573866455078125, 'openInterest': 46, 'volume': 17, 'lastPrice': 2.13, 'lastTradeDate': 1516653544, 'change': 0.0, 'strike': 64.0, 'currency': 'USD'}
64.5	2018-02-02	call	LUV180202C00064500	1.88	1.7	1.8	0.0	0.0	4.0	20.0	0.36865865722656255	LUV	False	LUV	64.79	2018-01-23 18:43:11	2018-01-22 15:18:49	{'contractSymbol': 'LUV180202C00064500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 1.8, 'bid': 1.7, 'expiration': 1517529600, 'contractSize': 'REGULAR', 'impliedVolatility': 0.36865865722656255, 'openInterest': 20, 'volume': 4, 'lastPrice': 1.88, 'lastTradeDate': 1516634329, 'change': 0.0, 'strike': 64.5, 'currency': 'USD'}
