Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
60.0	2018-01-26	call	PYPL180126C00060000	19.84	20.25	21.05	0.0	0.0	1.0	1.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-11 19:19:57	{'contractSymbol': 'PYPL180126C00060000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 21.05, 'bid': 20.25, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 1, 'volume': 1, 'lastPrice': 19.84, 'lastTradeDate': 1515698397, 'change': 0.0, 'strike': 60.0, 'currency': 'USD'}
65.0	2018-01-26	call	PYPL180126C00065000	14.4	13.3	17.75	0.0	0.0	16.0	16.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-09 15:40:44	{'contractSymbol': 'PYPL180126C00065000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 17.75, 'bid': 13.3, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 16, 'volume': 16, 'lastPrice': 14.4, 'lastTradeDate': 1515512444, 'change': 0.0, 'strike': 65.0, 'currency': 'USD'}
65.5	2018-01-26	call	PYPL180126C00065500	10.44	9.2	11.95	0.0	0.0	2.0	0.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2017-12-16 04:50:41	{'contractSymbol': 'PYPL180126C00065500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 11.95, 'bid': 9.2, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 0, 'volume': 2, 'lastPrice': 10.44, 'lastTradeDate': 1513399841, 'change': 0.0, 'strike': 65.5, 'currency': 'USD'}
66.0	2018-01-26	call	PYPL180126C00066000	13.36	14.3	15.25	0.0	0.0	6.0	58.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-11 15:52:15	{'contractSymbol': 'PYPL180126C00066000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 15.25, 'bid': 14.3, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 58, 'volume': 6, 'lastPrice': 13.36, 'lastTradeDate': 1515685935, 'change': 0.0, 'strike': 66.0, 'currency': 'USD'}
66.5	2018-01-26	call	PYPL180126C00066500	9.6	10.8	14.8	0.0	0.0	1.0	1.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-03 15:00:55	{'contractSymbol': 'PYPL180126C00066500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 14.8, 'bid': 10.8, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 1, 'volume': 1, 'lastPrice': 9.6, 'lastTradeDate': 1514991655, 'change': 0.0, 'strike': 66.5, 'currency': 'USD'}
67.0	2018-01-26	call	PYPL180126C00067000	12.4	11.3	15.8	0.0	0.0	1.0	19.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-09 20:52:32	{'contractSymbol': 'PYPL180126C00067000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 15.8, 'bid': 11.3, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 19, 'volume': 1, 'lastPrice': 12.4, 'lastTradeDate': 1515531152, 'change': 0.0, 'strike': 67.0, 'currency': 'USD'}
67.5	2018-01-26	call	PYPL180126C00067500	13.2	15.1	17.55	0.0	0.0	2.0	49.0	1.8808599707031248	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-17 14:55:19	{'contractSymbol': 'PYPL180126C00067500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 17.55, 'bid': 15.1, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.8808599707031248, 'openInterest': 49, 'volume': 2, 'lastPrice': 13.2, 'lastTradeDate': 1516200919, 'change': 0.0, 'strike': 67.5, 'currency': 'USD'}
68.0	2018-01-26	call	PYPL180126C00068000	13.05	14.65	17.0	0.0	0.0	45.0	59.0	1.8056650341796874	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-16 15:07:01	{'contractSymbol': 'PYPL180126C00068000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 17.0, 'bid': 14.65, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.8056650341796874, 'openInterest': 59, 'volume': 45, 'lastPrice': 13.05, 'lastTradeDate': 1516115221, 'change': 0.0, 'strike': 68.0, 'currency': 'USD'}
68.5	2018-01-26	call	PYPL180126C00068500	5.75	5.45	6.1	0.0	0.0	18.0	18.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2017-12-30 04:53:56	{'contractSymbol': 'PYPL180126C00068500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 6.1, 'bid': 5.45, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 18, 'volume': 18, 'lastPrice': 5.75, 'lastTradeDate': 1514609636, 'change': 0.0, 'strike': 68.5, 'currency': 'USD'}
69.0	2018-01-26	call	PYPL180126C00069000	11.95	13.6	16.05	0.0	0.0	8.0	25.0	1.7431653466796875	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-16 16:32:45	{'contractSymbol': 'PYPL180126C00069000', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 16.05, 'bid': 13.6, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.7431653466796875, 'openInterest': 25, 'volume': 8, 'lastPrice': 11.95, 'lastTradeDate': 1516120365, 'change': 0.0, 'strike': 69.0, 'currency': 'USD'}
69.5	2018-01-26	call	PYPL180126C00069500	11.8	13.15	15.85	0.0	0.0	70.0	85.0	1.857422587890625	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-16 17:54:41	{'contractSymbol': 'PYPL180126C00069500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 15.85, 'bid': 13.15, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.857422587890625, 'openInterest': 85, 'volume': 70, 'lastPrice': 11.8, 'lastTradeDate': 1516125281, 'change': 0.0, 'strike': 69.5, 'currency': 'USD'}
70.0	2018-01-26	call	PYPL180126C00070000	14.21	14.1	14.25	0.22000027	1.5725539	19.0	448.0	0.9707034179687499	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-23 18:18:15	{'contractSymbol': 'PYPL180126C00070000', 'percentChange': 1.5725539, 'inTheMoney': True, 'ask': 14.25, 'bid': 14.1, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 0.9707034179687499, 'openInterest': 448, 'volume': 19, 'lastPrice': 14.21, 'lastTradeDate': 1516731495, 'change': 0.22000027, 'strike': 70.0, 'currency': 'USD'}
70.5	2018-01-26	call	PYPL180126C00070500	4.3	3.65	4.6	0.0	0.0	11.0	23.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2017-12-26 16:24:32	{'contractSymbol': 'PYPL180126C00070500', 'percentChange': 0.0, 'inTheMoney': True, 'ask': 4.6, 'bid': 3.65, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 23, 'volume': 11, 'lastPrice': 4.3, 'lastTradeDate': 1514305472, 'change': 0.0, 'strike': 70.5, 'currency': 'USD'}
71.0	2018-01-26	call	PYPL180126C00071000	7.4	7.35	8.7	3.3000002	80.48781	5.0	30.0	1.0000000000000003e-05	PYPL	False	PYPL	84.0643	2018-01-23 18:44:18	2018-01-05 15:34:51	{'contractSymbol': 'PYPL180126C00071000', 'percentChange': 80.48781, 'inTheMoney': True, 'ask': 8.7, 'bid': 7.35, 'expiration': 1516924800, 'contractSize': 'REGULAR', 'impliedVolatility': 1.0000000000000003e-05, 'openInterest': 30, 'volume': 5, 'lastPrice': 7.4, 'lastTradeDate': 1515166491, 'change': 3.3000002, 'strike': 71.0, 'currency': 'USD'}
