Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
14.0	2018-01-26	call	VRX180126C00014000	7.86	4.45	7.35	0.0	0.0	185.0	185.0	1.0000000000000003e-05	VRX	False	VRX	22.3	2018-01-23 21:01:06	2017-12-16 04:46:43	{'currency': 'USD', 'lastTradeDate': 1513399603, 'ask': 7.35, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'bid': 4.45, 'change': 0.0, 'strike': 14.0, 'lastPrice': 7.86, 'openInterest': 185, 'percentChange': 0.0, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00014000', 'volume': 185, 'contractSize': 'REGULAR'}
14.5	2018-01-26	call	VRX180126C00014500	6.75	6.95	7.1	-1.5	-18.181818	8.0	25.0	1.0000000000000003e-05	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-19 15:25:13	{'currency': 'USD', 'lastTradeDate': 1516375513, 'ask': 7.1, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'bid': 6.95, 'change': -1.5, 'strike': 14.5, 'lastPrice': 6.75, 'openInterest': 25, 'percentChange': -18.181818, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00014500', 'volume': 8, 'contractSize': 'REGULAR'}
15.0	2018-01-26	call	VRX180126C00015000	6.89	7.05	7.4	0.0	0.0	32.0	28.0	2.3437541406249993	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-22 19:33:38	{'currency': 'USD', 'lastTradeDate': 1516649618, 'ask': 7.4, 'impliedVolatility': 2.3437541406249993, 'inTheMoney': True, 'bid': 7.05, 'change': 0.0, 'strike': 15.0, 'lastPrice': 6.89, 'openInterest': 28, 'percentChange': 0.0, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00015000', 'volume': 32, 'contractSize': 'REGULAR'}
15.5	2018-01-26	call	VRX180126C00015500	5.85	5.95	6.1	-0.1500001	-2.5000014	11.0	6.0	1.0000000000000003e-05	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-19 15:19:12	{'currency': 'USD', 'lastTradeDate': 1516375152, 'ask': 6.1, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'bid': 5.95, 'change': -0.1500001, 'strike': 15.5, 'lastPrice': 5.85, 'openInterest': 6, 'percentChange': -2.5000014, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00015500', 'volume': 11, 'contractSize': 'REGULAR'}
16.0	2018-01-26	call	VRX180126C00016000	6.6	6.25	6.4	2.6399999	66.666664	6.0	6.0	1.5625021874999998	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-23 16:16:52	{'currency': 'USD', 'lastTradeDate': 1516724212, 'ask': 6.4, 'impliedVolatility': 1.5625021874999998, 'inTheMoney': True, 'bid': 6.25, 'change': 2.6399999, 'strike': 16.0, 'lastPrice': 6.6, 'openInterest': 6, 'percentChange': 66.666664, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00016000', 'volume': 6, 'contractSize': 'REGULAR'}
16.5	2018-01-26	call	VRX180126C00016500	6.9	4.95	5.1	0.0	0.0	4.0	4.0	1.0000000000000003e-05	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-16 18:06:45	{'currency': 'USD', 'lastTradeDate': 1516126005, 'ask': 5.1, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True, 'bid': 4.95, 'change': 0.0, 'strike': 16.5, 'lastPrice': 6.9, 'openInterest': 4, 'percentChange': 0.0, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00016500', 'volume': 4, 'contractSize': 'REGULAR'}
17.0	2018-01-26	call	VRX180126C00017000	5.3	5.25	5.4	-1.4499998	-21.481478	1.0	55.0	1.3125034374999998	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-23 18:56:06	{'currency': 'USD', 'lastTradeDate': 1516733766, 'ask': 5.4, 'impliedVolatility': 1.3125034374999998, 'inTheMoney': True, 'bid': 5.25, 'change': -1.4499998, 'strike': 17.0, 'lastPrice': 5.3, 'openInterest': 55, 'percentChange': -21.481478, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00017000', 'volume': 1, 'contractSize': 'REGULAR'}
17.5	2018-01-26	call	VRX180126C00017500	4.8	4.75	4.9	0.9500003	24.675331	6.0	7.0	1.203128984375	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-23 19:20:40	{'currency': 'USD', 'lastTradeDate': 1516735240, 'ask': 4.9, 'impliedVolatility': 1.203128984375, 'inTheMoney': True, 'bid': 4.75, 'change': 0.9500003, 'strike': 17.5, 'lastPrice': 4.8, 'openInterest': 7, 'percentChange': 24.675331, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00017500', 'volume': 6, 'contractSize': 'REGULAR'}
18.0	2018-01-26	call	VRX180126C00018000	4.3	4.25	4.4	0.5500002	14.666672	4.0	60.0	1.0781296093750001	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-23 18:56:06	{'currency': 'USD', 'lastTradeDate': 1516733766, 'ask': 4.4, 'impliedVolatility': 1.0781296093750001, 'inTheMoney': True, 'bid': 4.25, 'change': 0.5500002, 'strike': 18.0, 'lastPrice': 4.3, 'openInterest': 60, 'percentChange': 14.666672, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00018000', 'volume': 4, 'contractSize': 'REGULAR'}
18.5	2018-01-26	call	VRX180126C00018500	3.22	3.55	3.9	0.0	0.0	1.0	51.0	1.2773473632812498	VRX	False	VRX	22.3	2018-01-23 21:01:06	2018-01-22 16:55:13	{'currency': 'USD', 'lastTradeDate': 1516640113, 'ask': 3.9, 'impliedVolatility': 1.2773473632812498, 'inTheMoney': True, 'bid': 3.55, 'change': 0.0, 'strike': 18.5, 'lastPrice': 3.22, 'openInterest': 51, 'percentChange': 0.0, 'expiration': 1516924800, 'contractSymbol': 'VRX180126C00018500', 'volume': 1, 'contractSize': 'REGULAR'}
