Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
39.0	2018-02-16	call	MXIM180216C00039000	16.0	15.5	19.6	0.0	0.0	2.0	2.0	1.601076213378906	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2018-01-17 15:44:27	{'strike': 39.0, 'contractSymbol': 'MXIM180216C00039000', 'bid': 15.5, 'contractSize': 'REGULAR', 'openInterest': 2, 'change': 0.0, 'ask': 19.6, 'lastTradeDate': 1516203867, 'percentChange': 0.0, 'lastPrice': 16.0, 'currency': 'USD', 'volume': 2, 'inTheMoney': True, 'impliedVolatility': 1.601076213378906, 'expiration': 1518739200}
40.0	2018-02-16	call	MXIM180216C00040000	12.95	11.2	14.0	0.0	0.0	1.0	0.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2017-12-26 20:56:38	{'strike': 40.0, 'contractSymbol': 'MXIM180216C00040000', 'bid': 11.2, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'ask': 14.0, 'lastTradeDate': 1514321798, 'percentChange': 0.0, 'lastPrice': 12.95, 'currency': 'USD', 'volume': 1, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
41.0	2018-02-16	call	MXIM180216C00041000	11.5	9.8	11.4	0.0	0.0	1.0	0.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2017-10-23 15:32:19	{'strike': 41.0, 'contractSymbol': 'MXIM180216C00041000', 'bid': 9.8, 'contractSize': 'REGULAR', 'openInterest': 0, 'change': 0.0, 'ask': 11.4, 'lastTradeDate': 1508772739, 'percentChange': 0.0, 'lastPrice': 11.5, 'currency': 'USD', 'volume': 1, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
42.0	2018-02-16	call	MXIM180216C00042000	6.18	10.0	10.4	0.0	0.0	5.0	51.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2017-09-19 19:23:24	{'strike': 42.0, 'contractSymbol': 'MXIM180216C00042000', 'bid': 10.0, 'contractSize': 'REGULAR', 'openInterest': 51, 'change': 0.0, 'ask': 10.4, 'lastTradeDate': 1505849004, 'percentChange': 0.0, 'lastPrice': 6.18, 'currency': 'USD', 'volume': 5, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
43.0	2018-02-16	call	MXIM180216C00043000	7.8	9.2	9.9	-1.5	-16.129032	2.0	2.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2017-12-06 18:21:01	{'strike': 43.0, 'contractSymbol': 'MXIM180216C00043000', 'bid': 9.2, 'contractSize': 'REGULAR', 'openInterest': 2, 'change': -1.5, 'ask': 9.9, 'lastTradeDate': 1512584461, 'percentChange': -16.129032, 'lastPrice': 7.8, 'currency': 'USD', 'volume': 2, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
44.0	2018-02-16	call	MXIM180216C00044000	8.93	7.6	9.4	0.0	0.0	2.0	35.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2017-12-26 14:46:47	{'strike': 44.0, 'contractSymbol': 'MXIM180216C00044000', 'bid': 7.6, 'contractSize': 'REGULAR', 'openInterest': 35, 'change': 0.0, 'ask': 9.4, 'lastTradeDate': 1514299607, 'percentChange': 0.0, 'lastPrice': 8.93, 'currency': 'USD', 'volume': 2, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
45.0	2018-02-16	call	MXIM180216C00045000	11.42	11.0	12.5	1.6700001	17.128204	2.0	32.0	0.8359391406249999	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2018-01-19 19:38:37	{'strike': 45.0, 'contractSymbol': 'MXIM180216C00045000', 'bid': 11.0, 'contractSize': 'REGULAR', 'openInterest': 32, 'change': 1.6700001, 'ask': 12.5, 'lastTradeDate': 1516390717, 'percentChange': 17.128204, 'lastPrice': 11.42, 'currency': 'USD', 'volume': 2, 'inTheMoney': True, 'impliedVolatility': 0.8359391406249999, 'expiration': 1518739200}
46.0	2018-02-16	call	MXIM180216C00046000	9.2	8.9	9.9	2.8999996	46.03174	4.0	37.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2018-01-12 20:43:45	{'strike': 46.0, 'contractSymbol': 'MXIM180216C00046000', 'bid': 8.9, 'contractSize': 'REGULAR', 'openInterest': 37, 'change': 2.8999996, 'ask': 9.9, 'lastTradeDate': 1515789825, 'percentChange': 46.03174, 'lastPrice': 9.2, 'currency': 'USD', 'volume': 4, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
47.0	2018-02-16	call	MXIM180216C00047000	9.75	9.3	10.2	1.75	21.875	6.0	666.0	0.6181678808593751	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2018-01-19 20:54:04	{'strike': 47.0, 'contractSymbol': 'MXIM180216C00047000', 'bid': 9.3, 'contractSize': 'REGULAR', 'openInterest': 666, 'change': 1.75, 'ask': 10.2, 'lastTradeDate': 1516395244, 'percentChange': 21.875, 'lastPrice': 9.75, 'currency': 'USD', 'volume': 6, 'inTheMoney': True, 'impliedVolatility': 0.6181678808593751, 'expiration': 1518739200}
48.0	2018-02-16	call	MXIM180216C00048000	5.65	5.3	5.9	0.1500001	2.7272744	5.0	22.0	1.0000000000000003e-05	MXIM	False	MXIM	56.73	2018-01-24 18:35:39	2018-01-05 20:15:09	{'strike': 48.0, 'contractSymbol': 'MXIM180216C00048000', 'bid': 5.3, 'contractSize': 'REGULAR', 'openInterest': 22, 'change': 0.1500001, 'ask': 5.9, 'lastTradeDate': 1515183309, 'percentChange': 2.7272744, 'lastPrice': 5.65, 'currency': 'USD', 'volume': 5, 'inTheMoney': True, 'impliedVolatility': 1.0000000000000003e-05, 'expiration': 1518739200}
