Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
120.0	2017-12-22	call	AAPL171222C00120000	53.65	54.5	55.3	0.0	0.0	100.0	95.0	1.042851465454102	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-09 19:28:16	{'inTheMoney': True, 'change': 0.0, 'lastPrice': 53.65, 'bid': 54.5, 'percentChange': 0.0, 'ask': 55.3, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00120000', 'currency': 'USD', 'strike': 120.0, 'impliedVolatility': 1.042851465454102, 'expiration': 1513900800, 'lastTradeDate': 1510255696, 'volume': 100, 'openInterest': 95}
130.0	2017-12-22	call	AAPL171222C00130000	45.22	44.55	45.35	0.0	0.0	228.0	0.0	0.8725598681640624	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-11 04:58:58	{'inTheMoney': True, 'change': 0.0, 'lastPrice': 45.22, 'bid': 44.55, 'percentChange': 0.0, 'ask': 45.35, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00130000', 'currency': 'USD', 'strike': 130.0, 'impliedVolatility': 0.8725598681640624, 'expiration': 1513900800, 'lastTradeDate': 1510376338, 'volume': 228, 'openInterest': 0}
135.0	2017-12-22	call	AAPL171222C00135000	40.04	39.6	40.4	0.0	0.0	8.0	0.0	0.7922384057617188	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-11 04:58:58	{'inTheMoney': True, 'change': 0.0, 'lastPrice': 40.04, 'bid': 39.6, 'percentChange': 0.0, 'ask': 40.4, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00135000', 'currency': 'USD', 'strike': 135.0, 'impliedVolatility': 0.7922384057617188, 'expiration': 1513900800, 'lastTradeDate': 1510376338, 'volume': 8, 'openInterest': 0}
140.0	2017-12-22	call	AAPL171222C00140000	33.35	31.5	32.05	-1.6900024	-4.823066	31.0	0.0	0.4321345849609375	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-14 14:57:12	{'inTheMoney': True, 'change': -1.6900024, 'lastPrice': 33.35, 'bid': 31.5, 'percentChange': -4.823066, 'ask': 32.05, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00140000', 'currency': 'USD', 'strike': 140.0, 'impliedVolatility': 0.4321345849609375, 'expiration': 1513900800, 'lastTradeDate': 1510671432, 'volume': 31, 'openInterest': 0}
142.0	2017-12-22	call	AAPL171222C00142000	33.32	32.65	33.45	0.27999878	0.8474539	65.0	0.0	0.6799348413085939	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 15:23:03	{'inTheMoney': True, 'change': 0.27999878, 'lastPrice': 33.32, 'bid': 32.65, 'percentChange': 0.8474539, 'ask': 33.45, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00142000', 'currency': 'USD', 'strike': 142.0, 'impliedVolatility': 0.6799348413085939, 'expiration': 1513900800, 'lastTradeDate': 1510327383, 'volume': 65, 'openInterest': 0}
143.0	2017-12-22	call	AAPL171222C00143000	32.28	31.75	32.45	0.14999771	0.46684626	70.0	0.0	0.6671175866699222	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 15:19:17	{'inTheMoney': True, 'change': 0.14999771, 'lastPrice': 32.28, 'bid': 31.75, 'percentChange': 0.46684626, 'ask': 32.45, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00143000', 'currency': 'USD', 'strike': 143.0, 'impliedVolatility': 0.6671175866699222, 'expiration': 1513900800, 'lastTradeDate': 1510327157, 'volume': 70, 'openInterest': 0}
144.0	2017-12-22	call	AAPL171222C00144000	31.38	30.9	31.5	0.25	0.80308384	100.0	0.0	0.6575961975097657	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 16:26:46	{'inTheMoney': True, 'change': 0.25, 'lastPrice': 31.38, 'bid': 30.9, 'percentChange': 0.80308384, 'ask': 31.5, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00144000', 'currency': 'USD', 'strike': 144.0, 'impliedVolatility': 0.6575961975097657, 'expiration': 1513900800, 'lastTradeDate': 1510331206, 'volume': 100, 'openInterest': 0}
145.0	2017-12-22	call	AAPL171222C00145000	30.14	29.75	30.5	-0.060001373	-0.19868004	80.0	0.0	0.635867899169922	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 15:14:02	{'inTheMoney': True, 'change': -0.060001373, 'lastPrice': 30.14, 'bid': 29.75, 'percentChange': -0.19868004, 'ask': 30.5, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00145000', 'currency': 'USD', 'strike': 145.0, 'impliedVolatility': 0.635867899169922, 'expiration': 1513900800, 'lastTradeDate': 1510326842, 'volume': 80, 'openInterest': 0}
146.0	2017-12-22	call	AAPL171222C00146000	29.03	28.7	29.5	2.1900005	8.159466	85.0	0.0	0.6176796044921876	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 15:05:37	{'inTheMoney': True, 'change': 2.1900005, 'lastPrice': 29.03, 'bid': 28.7, 'percentChange': 8.159466, 'ask': 29.5, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00146000', 'currency': 'USD', 'strike': 146.0, 'impliedVolatility': 0.6176796044921876, 'expiration': 1513900800, 'lastTradeDate': 1510326337, 'volume': 85, 'openInterest': 0}
147.0	2017-12-22	call	AAPL171222C00147000	28.04	27.75	28.55	2.5	9.788567	90.0	0.0	0.6047402807617189	AAPL	False	AAPL	171.34	2017-11-14 21:00:02	2017-11-10 15:05:28	{'inTheMoney': True, 'change': 2.5, 'lastPrice': 28.04, 'bid': 27.75, 'percentChange': 9.788567, 'ask': 28.55, 'contractSize': 'REGULAR', 'contractSymbol': 'AAPL171222C00147000', 'currency': 'USD', 'strike': 147.0, 'impliedVolatility': 0.6047402807617189, 'expiration': 1513900800, 'lastTradeDate': 1510326328, 'volume': 90, 'openInterest': 0}
