Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
6.0	2017-12-22	call	AMD171222C00006000	5.8	5.2	5.3	0.0	0.0	10.0	10.0	1.3671906640625	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-11 04:56:42	{'expiration': 1513900800, 'lastTradeDate': 1510376202, 'contractSymbol': 'AMD171222C00006000', 'bid': 5.2, 'openInterest': 10, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 5.3, 'change': 0.0, 'impliedVolatility': 1.3671906640625, 'percentChange': 0.0, 'lastPrice': 5.8, 'contractSize': 'REGULAR', 'strike': 6.0}
6.5	2017-12-22	call	AMD171222C00006500	4.6	4.6	4.65	0.0	0.0	70.0	0.0	0.6875031250000001	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-15 00:58:14	{'expiration': 1513900800, 'lastTradeDate': 1510707494, 'contractSymbol': 'AMD171222C00006500', 'bid': 4.6, 'openInterest': 0, 'currency': 'USD', 'inTheMoney': True, 'volume': 70, 'ask': 4.65, 'change': 0.0, 'impliedVolatility': 0.6875031250000001, 'percentChange': 0.0, 'lastPrice': 4.6, 'contractSize': 'REGULAR', 'strike': 6.5}
9.0	2017-12-22	call	AMD171222C00009000	2.25	2.29	2.38	0.0	0.0	101.0	146.0	0.7050810742187501	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-09 20:59:40	{'expiration': 1513900800, 'lastTradeDate': 1510261180, 'contractSymbol': 'AMD171222C00009000', 'bid': 2.29, 'openInterest': 146, 'currency': 'USD', 'inTheMoney': True, 'volume': 101, 'ask': 2.38, 'change': 0.0, 'impliedVolatility': 0.7050810742187501, 'percentChange': 0.0, 'lastPrice': 2.25, 'contractSize': 'REGULAR', 'strike': 9.0}
9.5	2017-12-22	call	AMD171222C00009500	2.6	1.88	1.97	0.0	0.0	6.0	6.0	0.6738313867187502	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-06 14:31:10	{'expiration': 1513900800, 'lastTradeDate': 1509978670, 'contractSymbol': 'AMD171222C00009500', 'bid': 1.88, 'openInterest': 6, 'currency': 'USD', 'inTheMoney': True, 'volume': 6, 'ask': 1.97, 'change': 0.0, 'impliedVolatility': 0.6738313867187502, 'percentChange': 0.0, 'lastPrice': 2.6, 'contractSize': 'REGULAR', 'strike': 9.5}
10.0	2017-12-22	call	AMD171222C00010000	1.3	1.32	1.39	-0.05000007	-3.703709	48.0	1229.0	0.508793974609375	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 18:04:12	{'expiration': 1513900800, 'lastTradeDate': 1510682652, 'contractSymbol': 'AMD171222C00010000', 'bid': 1.32, 'openInterest': 1229, 'currency': 'USD', 'inTheMoney': True, 'volume': 48, 'ask': 1.39, 'change': -0.05000007, 'impliedVolatility': 0.508793974609375, 'percentChange': -3.703709, 'lastPrice': 1.3, 'contractSize': 'REGULAR', 'strike': 10.0}
10.5	2017-12-22	call	AMD171222C00010500	1.0	0.98	1.04	0.01999998	2.0408144	1.0	117.0	0.49414568359375005	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 20:03:01	{'expiration': 1513900800, 'lastTradeDate': 1510689781, 'contractSymbol': 'AMD171222C00010500', 'bid': 0.98, 'openInterest': 117, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 1.04, 'change': 0.01999998, 'impliedVolatility': 0.49414568359375005, 'percentChange': 2.0408144, 'lastPrice': 1.0, 'contractSize': 'REGULAR', 'strike': 10.5}
11.0	2017-12-22	call	AMD171222C00011000	0.72	0.68	0.74	0.0	0.0	21.0	743.0	0.476567734375	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 20:58:14	{'expiration': 1513900800, 'lastTradeDate': 1510693094, 'contractSymbol': 'AMD171222C00011000', 'bid': 0.68, 'openInterest': 743, 'currency': 'USD', 'inTheMoney': True, 'volume': 21, 'ask': 0.74, 'change': 0.0, 'impliedVolatility': 0.476567734375, 'percentChange': 0.0, 'lastPrice': 0.72, 'contractSize': 'REGULAR', 'strike': 11.0}
11.5	2017-12-22	call	AMD171222C00011500	0.48	0.47	0.61	-0.02000001	-4.000002	98.0	1494.0	0.5400436621093752	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 18:22:20	{'expiration': 1513900800, 'lastTradeDate': 1510683740, 'contractSymbol': 'AMD171222C00011500', 'bid': 0.47, 'openInterest': 1494, 'currency': 'USD', 'inTheMoney': False, 'volume': 98, 'ask': 0.61, 'change': -0.02000001, 'impliedVolatility': 0.5400436621093752, 'percentChange': -4.000002, 'lastPrice': 0.48, 'contractSize': 'REGULAR', 'strike': 11.5}
12.0	2017-12-22	call	AMD171222C00012000	0.3	0.31	0.36	-0.03999999	-11.764703	63.0	1361.0	0.481450498046875	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 19:37:09	{'expiration': 1513900800, 'lastTradeDate': 1510688229, 'contractSymbol': 'AMD171222C00012000', 'bid': 0.31, 'openInterest': 1361, 'currency': 'USD', 'inTheMoney': False, 'volume': 63, 'ask': 0.36, 'change': -0.03999999, 'impliedVolatility': 0.481450498046875, 'percentChange': -11.764703, 'lastPrice': 0.3, 'contractSize': 'REGULAR', 'strike': 12.0}
12.5	2017-12-22	call	AMD171222C00012500	0.22	0.21	0.27	-0.019999996	-8.333332	19.0	973.0	0.507817421875	AMD	False	AMD	11.12	2017-11-14 21:00:00	2017-11-14 20:04:08	{'expiration': 1513900800, 'lastTradeDate': 1510689848, 'contractSymbol': 'AMD171222C00012500', 'bid': 0.21, 'openInterest': 973, 'currency': 'USD', 'inTheMoney': False, 'volume': 19, 'ask': 0.27, 'change': -0.019999996, 'impliedVolatility': 0.507817421875, 'percentChange': -8.333332, 'lastPrice': 0.22, 'contractSize': 'REGULAR', 'strike': 12.5}
