Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
160.0	2017-11-17	call	BIDU171117C00160000	75.05	73.3	76.95	0.0	0.0	2.0	0.0	1.984375078125	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-15 01:09:49	{'expiration': 1510876800, 'lastTradeDate': 1510708189, 'contractSymbol': 'BIDU171117C00160000', 'bid': 73.3, 'openInterest': 0, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 76.95, 'change': 0.0, 'impliedVolatility': 1.984375078125, 'percentChange': 0.0, 'lastPrice': 75.05, 'contractSize': 'REGULAR', 'strike': 160.0}
170.0	2017-11-17	call	BIDU171117C00170000	74.6	94.6	96.9	0.0	0.0	5.0	5.0	8.107670948333741	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-10-07 03:50:01	{'expiration': 1510876800, 'lastTradeDate': 1507348201, 'contractSymbol': 'BIDU171117C00170000', 'bid': 94.6, 'openInterest': 5, 'currency': 'USD', 'inTheMoney': True, 'volume': 5, 'ask': 96.9, 'change': 0.0, 'impliedVolatility': 8.107670948333741, 'percentChange': 0.0, 'lastPrice': 74.6, 'contractSize': 'REGULAR', 'strike': 170.0}
180.0	2017-11-17	call	BIDU171117C00180000	61.21	55.6	59.9	0.0	0.0	1.0	10.0	2.5239294714355465	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-08 18:08:09	{'expiration': 1510876800, 'lastTradeDate': 1510164489, 'contractSymbol': 'BIDU171117C00180000', 'bid': 55.6, 'openInterest': 10, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 59.9, 'change': 0.0, 'impliedVolatility': 2.5239294714355465, 'percentChange': 0.0, 'lastPrice': 61.21, 'contractSize': 'REGULAR', 'strike': 180.0}
185.0	2017-11-17	call	BIDU171117C00185000	55.7	53.1	56.3	-20.369999	-26.777967	5.0	9.0	2.7744171264648436	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-10-27 15:41:48	{'expiration': 1510876800, 'lastTradeDate': 1509118908, 'contractSymbol': 'BIDU171117C00185000', 'bid': 53.1, 'openInterest': 9, 'currency': 'USD', 'inTheMoney': True, 'volume': 5, 'ask': 56.3, 'change': -20.369999, 'impliedVolatility': 2.7744171264648436, 'percentChange': -26.777967, 'lastPrice': 55.7, 'contractSize': 'REGULAR', 'strike': 185.0}
190.0	2017-11-17	call	BIDU171117C00190000	50.0	44.75	48.6	-0.9599991	-1.8838286	10.0	16.0	1.8569343090820314	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-10-30 15:02:22	{'expiration': 1510876800, 'lastTradeDate': 1509375742, 'contractSymbol': 'BIDU171117C00190000', 'bid': 44.75, 'openInterest': 16, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 48.6, 'change': -0.9599991, 'impliedVolatility': 1.8569343090820314, 'percentChange': -1.8838286, 'lastPrice': 50.0, 'contractSize': 'REGULAR', 'strike': 190.0}
195.0	2017-11-17	call	BIDU171117C00195000	45.99	45.05	48.65	0.0	0.0	1.0	2.0	2.7373078442382814	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-10-31 15:00:34	{'expiration': 1510876800, 'lastTradeDate': 1509462034, 'contractSymbol': 'BIDU171117C00195000', 'bid': 45.05, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 48.65, 'change': 0.0, 'impliedVolatility': 2.7373078442382814, 'percentChange': 0.0, 'lastPrice': 45.99, 'contractSize': 'REGULAR', 'strike': 195.0}
200.0	2017-11-17	call	BIDU171117C00200000	37.2	34.55	36.6	0.0	0.0	1.0	102.0	1.1728556982421874	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-13 15:25:54	{'expiration': 1510876800, 'lastTradeDate': 1510586754, 'contractSymbol': 'BIDU171117C00200000', 'bid': 34.55, 'openInterest': 102, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 36.6, 'change': 0.0, 'impliedVolatility': 1.1728556982421874, 'percentChange': 0.0, 'lastPrice': 37.2, 'contractSize': 'REGULAR', 'strike': 200.0}
210.0	2017-11-17	call	BIDU171117C00210000	27.82	24.8	26.3	0.0	0.0	17.0	107.0	0.875977802734375	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-13 20:52:09	{'expiration': 1510876800, 'lastTradeDate': 1510606329, 'contractSymbol': 'BIDU171117C00210000', 'bid': 24.8, 'openInterest': 107, 'currency': 'USD', 'inTheMoney': True, 'volume': 17, 'ask': 26.3, 'change': 0.0, 'impliedVolatility': 0.875977802734375, 'percentChange': 0.0, 'lastPrice': 27.82, 'contractSize': 'REGULAR', 'strike': 210.0}
215.0	2017-11-17	call	BIDU171117C00215000	22.15	21.35	25.2	-11.370001	-33.92005	4.0	5.0	1.2827184301757812	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-10 17:03:57	{'expiration': 1510876800, 'lastTradeDate': 1510333437, 'contractSymbol': 'BIDU171117C00215000', 'bid': 21.35, 'openInterest': 5, 'currency': 'USD', 'inTheMoney': True, 'volume': 4, 'ask': 25.2, 'change': -11.370001, 'impliedVolatility': 1.2827184301757812, 'percentChange': -33.92005, 'lastPrice': 22.15, 'contractSize': 'REGULAR', 'strike': 215.0}
220.0	2017-11-17	call	BIDU171117C00220000	15.0	13.95	16.4	-2.8999996	-16.201117	4.0	361.0	0.7700218310546876	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 19:42:43	{'expiration': 1510876800, 'lastTradeDate': 1510688563, 'contractSymbol': 'BIDU171117C00220000', 'bid': 13.95, 'openInterest': 361, 'currency': 'USD', 'inTheMoney': True, 'volume': 4, 'ask': 16.4, 'change': -2.8999996, 'impliedVolatility': 0.7700218310546876, 'percentChange': -16.201117, 'lastPrice': 15.0, 'contractSize': 'REGULAR', 'strike': 220.0}
222.5	2017-11-17	call	BIDU171117C00222500	13.65	11.45	14.2	0.0	0.0	1.0	2.0	0.7346217944335938	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-15 01:09:50	{'expiration': 1510876800, 'lastTradeDate': 1510708190, 'contractSymbol': 'BIDU171117C00222500', 'bid': 11.45, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 14.2, 'change': 0.0, 'impliedVolatility': 0.7346217944335938, 'percentChange': 0.0, 'lastPrice': 13.65, 'contractSize': 'REGULAR', 'strike': 222.5}
225.0	2017-11-17	call	BIDU171117C00225000	10.5	10.2	11.65	-2.3400002	-18.2243	3.0	47.0	0.5102588037109376	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 16:32:19	{'expiration': 1510876800, 'lastTradeDate': 1510677139, 'contractSymbol': 'BIDU171117C00225000', 'bid': 10.2, 'openInterest': 47, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 11.65, 'change': -2.3400002, 'impliedVolatility': 0.5102588037109376, 'percentChange': -18.2243, 'lastPrice': 10.5, 'contractSize': 'REGULAR', 'strike': 225.0}
227.5	2017-11-17	call	BIDU171117C00227500	7.25	7.1	8.5	-3.1499996	-30.288458	3.0	3.0	0.43677321044921874	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 18:14:05	{'expiration': 1510876800, 'lastTradeDate': 1510683245, 'contractSymbol': 'BIDU171117C00227500', 'bid': 7.1, 'openInterest': 3, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 8.5, 'change': -3.1499996, 'impliedVolatility': 0.43677321044921874, 'percentChange': -30.288458, 'lastPrice': 7.25, 'contractSize': 'REGULAR', 'strike': 227.5}
230.0	2017-11-17	call	BIDU171117C00230000	6.31	5.0	7.45	-2.5899997	-29.101122	186.0	879.0	0.5441940112304688	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 20:47:22	{'expiration': 1510876800, 'lastTradeDate': 1510692442, 'contractSymbol': 'BIDU171117C00230000', 'bid': 5.0, 'openInterest': 879, 'currency': 'USD', 'inTheMoney': True, 'volume': 186, 'ask': 7.45, 'change': -2.5899997, 'impliedVolatility': 0.5441940112304688, 'percentChange': -29.101122, 'lastPrice': 6.31, 'contractSize': 'REGULAR', 'strike': 230.0}
232.5	2017-11-17	call	BIDU171117C00232500	4.77	4.3	4.7	-1.4000001	-22.69044	36.0	41.0	0.39649041015625003	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 20:23:42	{'expiration': 1510876800, 'lastTradeDate': 1510691022, 'contractSymbol': 'BIDU171117C00232500', 'bid': 4.3, 'openInterest': 41, 'currency': 'USD', 'inTheMoney': True, 'volume': 36, 'ask': 4.7, 'change': -1.4000001, 'impliedVolatility': 0.39649041015625003, 'percentChange': -22.69044, 'lastPrice': 4.77, 'contractSize': 'REGULAR', 'strike': 232.5}
235.0	2017-11-17	call	BIDU171117C00235000	3.14	3.05	3.2	-1.3599999	-30.22222	764.0	1652.0	0.3813538427734374	BIDU	False	BIDU	234.92	2017-11-14 21:00:01	2017-11-14 20:58:54	{'expiration': 1510876800, 'lastTradeDate': 1510693134, 'contractSymbol': 'BIDU171117C00235000', 'bid': 3.05, 'openInterest': 1652, 'currency': 'USD', 'inTheMoney': False, 'volume': 764, 'ask': 3.2, 'change': -1.3599999, 'impliedVolatility': 0.3813538427734374, 'percentChange': -30.22222, 'lastPrice': 3.14, 'contractSize': 'REGULAR', 'strike': 235.0}
