Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
40.0	2017-11-17	call	QCOM171117C00040000	24.93	23.4	25.55	0.0	0.0	10.0	412.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-09 15:23:32	{'expiration': 1510876800, 'lastTradeDate': 1510241012, 'contractSymbol': 'QCOM171117C00040000', 'bid': 23.4, 'openInterest': 412, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 25.55, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 24.93, 'contractSize': 'REGULAR', 'strike': 40.0}
45.0	2017-11-17	call	QCOM171117C00045000	18.53	18.65	20.4	0.0	0.0	34.0	175.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-07 16:22:22	{'expiration': 1510876800, 'lastTradeDate': 1510071742, 'contractSymbol': 'QCOM171117C00045000', 'bid': 18.65, 'openInterest': 175, 'currency': 'USD', 'inTheMoney': True, 'volume': 34, 'ask': 20.4, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 18.53, 'contractSize': 'REGULAR', 'strike': 45.0}
47.0	2017-11-17	call	QCOM171117C00047000	7.85	12.7	17.4	0.0	0.0	3.0	19.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-02 15:08:45	{'expiration': 1510876800, 'lastTradeDate': 1509635325, 'contractSymbol': 'QCOM171117C00047000', 'bid': 12.7, 'openInterest': 19, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 17.4, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 7.85, 'contractSize': 'REGULAR', 'strike': 47.0}
48.0	2017-11-17	call	QCOM171117C00048000	18.0	17.4	18.9	10.85	151.74825	2.0	9.0	1.97265638671875	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 17:43:27	{'expiration': 1510876800, 'lastTradeDate': 1510681407, 'contractSymbol': 'QCOM171117C00048000', 'bid': 17.4, 'openInterest': 9, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 18.9, 'change': 10.85, 'impliedVolatility': 1.97265638671875, 'percentChange': 151.74825, 'lastPrice': 18.0, 'contractSize': 'REGULAR', 'strike': 48.0}
49.0	2017-11-17	call	QCOM171117C00049000	13.94	11.15	15.05	7.4399996	114.46153	20.0	170.0	1.0000000000000003e-05	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-03 19:51:31	{'expiration': 1510876800, 'lastTradeDate': 1509738691, 'contractSymbol': 'QCOM171117C00049000', 'bid': 11.15, 'openInterest': 170, 'currency': 'USD', 'inTheMoney': True, 'volume': 20, 'ask': 15.05, 'change': 7.4399996, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 114.46153, 'lastPrice': 13.94, 'contractSize': 'REGULAR', 'strike': 49.0}
50.0	2017-11-17	call	QCOM171117C00050000	15.9	15.85	16.7	1.7999992	12.765951	2.0	8165.0	1.9882813085937499	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 19:49:29	{'expiration': 1510876800, 'lastTradeDate': 1510688969, 'contractSymbol': 'QCOM171117C00050000', 'bid': 15.85, 'openInterest': 8165, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 16.7, 'change': 1.7999992, 'impliedVolatility': 1.9882813085937499, 'percentChange': 12.765951, 'lastPrice': 15.9, 'contractSize': 'REGULAR', 'strike': 50.0}
51.0	2017-11-17	call	QCOM171117C00051000	15.5	14.5	15.6	0.0	0.0	12.0	401.0	1.3671906640625	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-13 19:12:18	{'expiration': 1510876800, 'lastTradeDate': 1510600338, 'contractSymbol': 'QCOM171117C00051000', 'bid': 14.5, 'openInterest': 401, 'currency': 'USD', 'inTheMoney': True, 'volume': 12, 'ask': 15.6, 'change': 0.0, 'impliedVolatility': 1.3671906640625, 'percentChange': 0.0, 'lastPrice': 15.5, 'contractSize': 'REGULAR', 'strike': 51.0}
52.0	2017-11-17	call	QCOM171117C00052000	14.01	13.6	14.7	1.8600006	15.308647	2.0	633.0	1.5468772656249998	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 19:36:18	{'expiration': 1510876800, 'lastTradeDate': 1510688178, 'contractSymbol': 'QCOM171117C00052000', 'bid': 13.6, 'openInterest': 633, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 14.7, 'change': 1.8600006, 'impliedVolatility': 1.5468772656249998, 'percentChange': 15.308647, 'lastPrice': 14.01, 'contractSize': 'REGULAR', 'strike': 52.0}
52.5	2017-11-17	call	QCOM171117C00052500	13.45	13.35	13.55	-0.6000004	-4.2704654	731.0	44511.0	1.2343788281249999	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 20:24:31	{'expiration': 1510876800, 'lastTradeDate': 1510691071, 'contractSymbol': 'QCOM171117C00052500', 'bid': 13.35, 'openInterest': 44511, 'currency': 'USD', 'inTheMoney': True, 'volume': 731, 'ask': 13.55, 'change': -0.6000004, 'impliedVolatility': 1.2343788281249999, 'percentChange': -4.2704654, 'lastPrice': 13.45, 'contractSize': 'REGULAR', 'strike': 52.5}
53.0	2017-11-17	call	QCOM171117C00053000	13.2	12.7	13.7	-0.40000057	-2.9411805	10.0	4847.0	1.5312523437499999	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 16:57:06	{'expiration': 1510876800, 'lastTradeDate': 1510678626, 'contractSymbol': 'QCOM171117C00053000', 'bid': 12.7, 'openInterest': 4847, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 13.7, 'change': -0.40000057, 'impliedVolatility': 1.5312523437499999, 'percentChange': -2.9411805, 'lastPrice': 13.2, 'contractSize': 'REGULAR', 'strike': 53.0}
54.0	2017-11-17	call	QCOM171117C00054000	11.99	11.5	12.6	-0.65999985	-5.21739	3.0	4424.0	1.1015669921875002	QCOM	False	QCOM	66.0	2017-11-14 21:00:00	2017-11-14 19:29:16	{'expiration': 1510876800, 'lastTradeDate': 1510687756, 'contractSymbol': 'QCOM171117C00054000', 'bid': 11.5, 'openInterest': 4424, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 12.6, 'change': -0.65999985, 'impliedVolatility': 1.1015669921875002, 'percentChange': -5.21739, 'lastPrice': 11.99, 'contractSize': 'REGULAR', 'strike': 54.0}
