Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
7.5	2017-11-17	call	QIWI171117C00007500	9.37	9.1	10.0	0.0	0.0	1.0	0.0	5.7812527734375	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-09-25 16:10:25	{'expiration': 1510876800, 'lastTradeDate': 1506355825, 'contractSymbol': 'QIWI171117C00007500', 'bid': 9.1, 'openInterest': 0, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 10.0, 'change': 0.0, 'impliedVolatility': 5.7812527734375, 'percentChange': 0.0, 'lastPrice': 9.37, 'contractSize': 'REGULAR', 'strike': 7.5}
10.0	2017-11-17	call	QIWI171117C00010000	6.7	6.5	7.2	0.0	0.0	6.0	106.0	4.757816552734374	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-02 18:57:43	{'expiration': 1510876800, 'lastTradeDate': 1509649063, 'contractSymbol': 'QIWI171117C00010000', 'bid': 6.5, 'openInterest': 106, 'currency': 'USD', 'inTheMoney': True, 'volume': 6, 'ask': 7.2, 'change': 0.0, 'impliedVolatility': 4.757816552734374, 'percentChange': 0.0, 'lastPrice': 6.7, 'contractSize': 'REGULAR', 'strike': 10.0}
12.5	2017-11-17	call	QIWI171117C00012500	4.6	4.1	4.9	0.0	0.0	4.0	6.0	2.2968792578125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-10 15:13:38	{'expiration': 1510876800, 'lastTradeDate': 1507648418, 'contractSymbol': 'QIWI171117C00012500', 'bid': 4.1, 'openInterest': 6, 'currency': 'USD', 'inTheMoney': True, 'volume': 4, 'ask': 4.9, 'change': 0.0, 'impliedVolatility': 2.2968792578125, 'percentChange': 0.0, 'lastPrice': 4.6, 'contractSize': 'REGULAR', 'strike': 12.5}
15.0	2017-11-17	call	QIWI171117C00015000	1.9	1.7	1.95	0.0	0.0	1.0	50.0	0.937500625	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-06 16:34:33	{'expiration': 1510876800, 'lastTradeDate': 1509986073, 'contractSymbol': 'QIWI171117C00015000', 'bid': 1.7, 'openInterest': 50, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 1.95, 'change': 0.0, 'impliedVolatility': 0.937500625, 'percentChange': 0.0, 'lastPrice': 1.9, 'contractSize': 'REGULAR', 'strike': 15.0}
17.5	2017-11-17	call	QIWI171117C00017500	0.35	0.3	0.4	0.14999999	74.99999	167.0	850.0	0.9687503125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-14 20:35:43	{'expiration': 1510876800, 'lastTradeDate': 1510691743, 'contractSymbol': 'QIWI171117C00017500', 'bid': 0.3, 'openInterest': 850, 'currency': 'USD', 'inTheMoney': False, 'volume': 167, 'ask': 0.4, 'change': 0.14999999, 'impliedVolatility': 0.9687503125, 'percentChange': 74.99999, 'lastPrice': 0.35, 'contractSize': 'REGULAR', 'strike': 17.5}
20.0	2017-11-17	call	QIWI171117C00020000	0.04	0.0	0.1	0.0	0.0	21.0	468.0	1.1875040625	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-11-07 17:08:39	{'expiration': 1510876800, 'lastTradeDate': 1510074519, 'contractSymbol': 'QIWI171117C00020000', 'bid': 0.0, 'openInterest': 468, 'currency': 'USD', 'inTheMoney': False, 'volume': 21, 'ask': 0.1, 'change': 0.0, 'impliedVolatility': 1.1875040625, 'percentChange': 0.0, 'lastPrice': 0.04, 'contractSize': 'REGULAR', 'strike': 20.0}
22.5	2017-11-17	call	QIWI171117C00022500	0.15	0.0	0.3	0.0	0.0	1.0	138.0	2.2734418164062498	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-10 16:59:07	{'expiration': 1510876800, 'lastTradeDate': 1507654747, 'contractSymbol': 'QIWI171117C00022500', 'bid': 0.0, 'openInterest': 138, 'currency': 'USD', 'inTheMoney': False, 'volume': 1, 'ask': 0.3, 'change': 0.0, 'impliedVolatility': 2.2734418164062498, 'percentChange': 0.0, 'lastPrice': 0.15, 'contractSize': 'REGULAR', 'strike': 22.5}
25.0	2017-11-17	call	QIWI171117C00025000	0.06	0.0	0.1	0.0	0.0	28.0	172.0	2.2968792578125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-10-19 13:47:51	{'expiration': 1510876800, 'lastTradeDate': 1508420871, 'contractSymbol': 'QIWI171117C00025000', 'bid': 0.0, 'openInterest': 172, 'currency': 'USD', 'inTheMoney': False, 'volume': 28, 'ask': 0.1, 'change': 0.0, 'impliedVolatility': 2.2968792578125, 'percentChange': 0.0, 'lastPrice': 0.06, 'contractSize': 'REGULAR', 'strike': 25.0}
30.0	2017-11-17	call	QIWI171117C00030000	0.1	0.05	0.15	0.0	0.0	1.0	738.0	3.50781373046875	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-08-17 16:16:09	{'expiration': 1510876800, 'lastTradeDate': 1502986569, 'contractSymbol': 'QIWI171117C00030000', 'bid': 0.05, 'openInterest': 738, 'currency': 'USD', 'inTheMoney': False, 'volume': 1, 'ask': 0.15, 'change': 0.0, 'impliedVolatility': 3.50781373046875, 'percentChange': 0.0, 'lastPrice': 0.1, 'contractSize': 'REGULAR', 'strike': 30.0}
35.0	2017-11-17	call	QIWI171117C00035000	1.0	0.0	0.45	0.0	0.0	15.0	15.0	4.898441376953125	QIWI	False	QIWI	16.9	2017-11-14 21:00:12	2017-07-01 03:56:01	{'expiration': 1510876800, 'lastTradeDate': 1498881361, 'contractSymbol': 'QIWI171117C00035000', 'bid': 0.0, 'openInterest': 15, 'currency': 'USD', 'inTheMoney': False, 'volume': 15, 'ask': 0.45, 'change': 0.0, 'impliedVolatility': 4.898441376953125, 'percentChange': 0.0, 'lastPrice': 1.0, 'contractSize': 'REGULAR', 'strike': 35.0}
