Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
25.0	2017-12-22	call	SQ171222C00025000	14.75	14.5	15.3	0.0	0.0	30.0	30.0	0.84961087890625	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-13 18:38:11	{'expiration': 1513900800, 'lastTradeDate': 1510598291, 'contractSymbol': 'SQ171222C00025000', 'bid': 14.5, 'openInterest': 30, 'currency': 'USD', 'inTheMoney': True, 'volume': 30, 'ask': 15.3, 'change': 0.0, 'impliedVolatility': 0.84961087890625, 'percentChange': 0.0, 'lastPrice': 14.75, 'contractSize': 'REGULAR', 'strike': 25.0}
30.0	2017-12-22	call	SQ171222C00030000	8.89	9.1	9.5	0.0	0.0	2.0	3.0	1.0000000000000003e-05	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-11 04:50:35	{'expiration': 1513900800, 'lastTradeDate': 1510375835, 'contractSymbol': 'SQ171222C00030000', 'bid': 9.1, 'openInterest': 3, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 9.5, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 8.89, 'contractSize': 'REGULAR', 'strike': 30.0}
31.5	2017-12-22	call	SQ171222C00031500	6.0	7.7	8.1	0.0	0.0	4.0	4.0	1.0000000000000003e-05	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-11 04:50:35	{'expiration': 1513900800, 'lastTradeDate': 1510375835, 'contractSymbol': 'SQ171222C00031500', 'bid': 7.7, 'openInterest': 4, 'currency': 'USD', 'inTheMoney': True, 'volume': 4, 'ask': 8.1, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 6.0, 'contractSize': 'REGULAR', 'strike': 31.5}
32.0	2017-12-22	call	SQ171222C00032000	4.59	7.0	7.7	0.0	0.0	1.0	2.0	1.0000000000000003e-05	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-09 14:54:10	{'expiration': 1513900800, 'lastTradeDate': 1510239250, 'contractSymbol': 'SQ171222C00032000', 'bid': 7.0, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 7.7, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 4.59, 'contractSize': 'REGULAR', 'strike': 32.0}
34.0	2017-12-22	call	SQ171222C00034000	3.6	5.4	5.8	0.0	0.0	8.0	152.0	0.28321029296874994	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-11 04:50:36	{'expiration': 1513900800, 'lastTradeDate': 1510375836, 'contractSymbol': 'SQ171222C00034000', 'bid': 5.4, 'openInterest': 152, 'currency': 'USD', 'inTheMoney': True, 'volume': 8, 'ask': 5.8, 'change': 0.0, 'impliedVolatility': 0.28321029296874994, 'percentChange': 0.0, 'lastPrice': 3.6, 'contractSize': 'REGULAR', 'strike': 34.0}
34.5	2017-12-22	call	SQ171222C00034500	5.78	5.6	6.0	3.88	204.21054	2.0	2.0	0.5405319384765627	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-14 19:08:23	{'expiration': 1513900800, 'lastTradeDate': 1510686503, 'contractSymbol': 'SQ171222C00034500', 'bid': 5.6, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 6.0, 'change': 3.88, 'impliedVolatility': 0.5405319384765627, 'percentChange': 204.21054, 'lastPrice': 5.78, 'contractSize': 'REGULAR', 'strike': 34.5}
35.0	2017-12-22	call	SQ171222C00035000	4.18	5.1	5.5	0.0	0.0	2.0	15.0	0.50586431640625	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-13 14:31:03	{'expiration': 1513900800, 'lastTradeDate': 1510583463, 'contractSymbol': 'SQ171222C00035000', 'bid': 5.1, 'openInterest': 15, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 5.5, 'change': 0.0, 'impliedVolatility': 0.50586431640625, 'percentChange': 0.0, 'lastPrice': 4.18, 'contractSize': 'REGULAR', 'strike': 35.0}
35.5	2017-12-22	call	SQ171222C00035500	2.8	4.2	4.5	0.0	0.0	3.0	33.0	0.31641308593749995	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-09 17:30:41	{'expiration': 1513900800, 'lastTradeDate': 1510248641, 'contractSymbol': 'SQ171222C00035500', 'bid': 4.2, 'openInterest': 33, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 4.5, 'change': 0.0, 'impliedVolatility': 0.31641308593749995, 'percentChange': 0.0, 'lastPrice': 2.8, 'contractSize': 'REGULAR', 'strike': 35.5}
36.0	2017-12-22	call	SQ171222C00036000	4.9	4.3	4.7	3.25	196.9697	3.0	64.0	0.48828636718750007	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-14 14:32:45	{'expiration': 1513900800, 'lastTradeDate': 1510669965, 'contractSymbol': 'SQ171222C00036000', 'bid': 4.3, 'openInterest': 64, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 4.7, 'change': 3.25, 'impliedVolatility': 0.48828636718750007, 'percentChange': 196.9697, 'lastPrice': 4.9, 'contractSize': 'REGULAR', 'strike': 36.0}
36.5	2017-12-22	call	SQ171222C00036500	3.6	3.9	4.2	0.0	0.0	10.0	360.0	0.45166563964843753	SQ	False	SQ	39.74	2017-11-14 21:01:11	2017-11-13 14:30:04	{'expiration': 1513900800, 'lastTradeDate': 1510583404, 'contractSymbol': 'SQ171222C00036500', 'bid': 3.9, 'openInterest': 360, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 4.2, 'change': 0.0, 'impliedVolatility': 0.45166563964843753, 'percentChange': 0.0, 'lastPrice': 3.6, 'contractSize': 'REGULAR', 'strike': 36.5}
