Strike	Expiry	Type	Symbol	Last	Bid	Ask	Chg	PctChg	Vol	Open_Int	IV	Root	IsNonstandard	Underlying	Underlying_Price	Quote_Time	Last_Trade_Date	JSON
125.0	2017-11-17	call	TSLA171117C00125000	190.3	183.45	184.05	11.820007	6.6225953	1.0	2.0	3.5781260546875	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-14 14:32:54	{'expiration': 1510876800, 'lastTradeDate': 1510669974, 'contractSymbol': 'TSLA171117C00125000', 'bid': 183.45, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 184.05, 'change': 11.820007, 'impliedVolatility': 3.5781260546875, 'percentChange': 6.6225953, 'lastPrice': 190.3, 'contractSize': 'REGULAR', 'strike': 125.0}
130.0	2017-11-17	call	TSLA171117C00130000	173.12	172.35	173.65	-0.38000488	-0.21902299	15.0	17.0	1.0000000000000003e-05	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-10 20:40:28	{'expiration': 1510876800, 'lastTradeDate': 1510346428, 'contractSymbol': 'TSLA171117C00130000', 'bid': 172.35, 'openInterest': 17, 'currency': 'USD', 'inTheMoney': True, 'volume': 15, 'ask': 173.65, 'change': -0.38000488, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': -0.21902299, 'lastPrice': 173.12, 'contractSize': 'REGULAR', 'strike': 130.0}
135.0	2017-11-17	call	TSLA171117C00135000	170.3	173.4	174.05	0.0	0.0	1.0	1.0	3.0781273046874995	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-15 01:01:37	{'expiration': 1510876800, 'lastTradeDate': 1510707697, 'contractSymbol': 'TSLA171117C00135000', 'bid': 173.4, 'openInterest': 1, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 174.05, 'change': 0.0, 'impliedVolatility': 3.0781273046874995, 'percentChange': 0.0, 'lastPrice': 170.3, 'contractSize': 'REGULAR', 'strike': 135.0}
140.0	2017-11-17	call	TSLA171117C00140000	176.08	202.6	207.25	0.0	0.0	10.0	10.0	13.558106994934082	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-07-06 13:58:47	{'expiration': 1510876800, 'lastTradeDate': 1499349527, 'contractSymbol': 'TSLA171117C00140000', 'bid': 202.6, 'openInterest': 10, 'currency': 'USD', 'inTheMoney': True, 'volume': 10, 'ask': 207.25, 'change': 0.0, 'impliedVolatility': 13.558106994934082, 'percentChange': 0.0, 'lastPrice': 176.08, 'contractSize': 'REGULAR', 'strike': 140.0}
145.0	2017-11-17	call	TSLA171117C00145000	194.62	198.2	201.4	0.0	0.0	8.0	0.0	13.062990116882323	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-06-03 03:50:47	{'expiration': 1510876800, 'lastTradeDate': 1496461847, 'contractSymbol': 'TSLA171117C00145000', 'bid': 198.2, 'openInterest': 0, 'currency': 'USD', 'inTheMoney': True, 'volume': 8, 'ask': 201.4, 'change': 0.0, 'impliedVolatility': 13.062990116882323, 'percentChange': 0.0, 'lastPrice': 194.62, 'contractSize': 'REGULAR', 'strike': 145.0}
150.0	2017-11-17	call	TSLA171117C00150000	191.5	192.9	197.4	0.0	0.0	1.0	26.0	12.677736451416017	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-08-28 13:54:07	{'expiration': 1510876800, 'lastTradeDate': 1503928447, 'contractSymbol': 'TSLA171117C00150000', 'bid': 192.9, 'openInterest': 26, 'currency': 'USD', 'inTheMoney': True, 'volume': 1, 'ask': 197.4, 'change': 0.0, 'impliedVolatility': 12.677736451416017, 'percentChange': 0.0, 'lastPrice': 191.5, 'contractSize': 'REGULAR', 'strike': 150.0}
160.0	2017-11-17	call	TSLA171117C00160000	143.27	183.55	187.3	0.0	0.0	2.0	2.0	11.877932263793946	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-06-03 03:50:47	{'expiration': 1510876800, 'lastTradeDate': 1496461847, 'contractSymbol': 'TSLA171117C00160000', 'bid': 183.55, 'openInterest': 2, 'currency': 'USD', 'inTheMoney': True, 'volume': 2, 'ask': 187.3, 'change': 0.0, 'impliedVolatility': 11.877932263793946, 'percentChange': 0.0, 'lastPrice': 143.27, 'contractSize': 'REGULAR', 'strike': 160.0}
165.0	2017-11-17	call	TSLA171117C00165000	172.28	178.2	182.4	0.0	0.0	3.0	3.0	11.45630166793823	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-06-03 03:50:47	{'expiration': 1510876800, 'lastTradeDate': 1496461847, 'contractSymbol': 'TSLA171117C00165000', 'bid': 178.2, 'openInterest': 3, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 182.4, 'change': 0.0, 'impliedVolatility': 11.45630166793823, 'percentChange': 0.0, 'lastPrice': 172.28, 'contractSize': 'REGULAR', 'strike': 165.0}
170.0	2017-11-17	call	TSLA171117C00170000	133.08	132.25	134.45	0.0	0.0	3.0	17.0	1.0000000000000003e-05	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-11-08 16:29:25	{'expiration': 1510876800, 'lastTradeDate': 1510158565, 'contractSymbol': 'TSLA171117C00170000', 'bid': 132.25, 'openInterest': 17, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 134.45, 'change': 0.0, 'impliedVolatility': 1.0000000000000003e-05, 'percentChange': 0.0, 'lastPrice': 133.08, 'contractSize': 'REGULAR', 'strike': 170.0}
180.0	2017-11-17	call	TSLA171117C00180000	133.95	163.45	167.4	0.0	0.0	3.0	7.0	10.359378525390628	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-07-06 14:30:00	{'expiration': 1510876800, 'lastTradeDate': 1499351400, 'contractSymbol': 'TSLA171117C00180000', 'bid': 163.45, 'openInterest': 7, 'currency': 'USD', 'inTheMoney': True, 'volume': 3, 'ask': 167.4, 'change': 0.0, 'impliedVolatility': 10.359378525390628, 'percentChange': 0.0, 'lastPrice': 133.95, 'contractSize': 'REGULAR', 'strike': 180.0}
190.0	2017-11-17	call	TSLA171117C00190000	161.86	153.6	157.3	0.0	0.0	4.0	5.0	9.67725004547119	TSLA	False	TSLA	308.7	2017-11-14 21:00:00	2017-10-19 18:36:47	{'expiration': 1510876800, 'lastTradeDate': 1508438207, 'contractSymbol': 'TSLA171117C00190000', 'bid': 153.6, 'openInterest': 5, 'currency': 'USD', 'inTheMoney': True, 'volume': 4, 'ask': 157.3, 'change': 0.0, 'impliedVolatility': 9.67725004547119, 'percentChange': 0.0, 'lastPrice': 161.86, 'contractSize': 'REGULAR', 'strike': 190.0}
